Topic, Description
Sampling strategy, trees that showed no evidence of past breakage were collected
Leaf area, Leaf area was determined with a scanner combined with an area-determination software.
Stem cross sectional area, It was defined as the geometric mean of the two stem diameters measured.
Height, Measured by a measuring tape.
Crown area, This was calculated as the projection of an ellipse defiend byt eh tow crown diameters.
Biomass, trees were dried at 80 degrees for 1 week in an oven and their oven dry mass were measured.
Traits, Species with moderately shade tolerance for all
Growth environment, Under the closed canopies in a primary forest.
"Year collected","1996"
