Year,#,SpecCode,H.cm,Hl.cm,D.cm,DDH.cm3,Ac.cm2,Al.cm2,SLA.cm2.g,Ll.cm,Nb,Wtl.g,Wbl.g,Wts.g,Wbs.g,Wl.g,Ws.g,W.g
1987,13,"Nephel,",103,35,0.71,52.6,3629,2720,200,20,0,0,13.6,15.1,4,13.6,19.1,32.7
1987,62,"Nephel,",108,48,0.89,86.4,5476,3173,225,18,0,0,14.1,20.9,4,14.1,24.9,39
1987,54,"Nephel,",113,50,0.64,46.3,4128,2453,223,20,0,0,11,13.4,2.8,11,16.2,27.2
1987,9,"Nephel,",117,73,0.65,49.3,3066,1804,194,17,0,0,9.3,15.9,1.8,9.3,17.7,27
1987,33,"Nephel,",132,45,0.95,118.7,6773,4522,190,16,0,0,23.8,30.9,5.8,23.8,36.7,60.5
1987,53,"Nephel,",200,123,1.07,228.9,8742,5467,173,12.5,0,0,31.6,56.8,8.4,31.6,65.2,96.8
1987,32,"Nephel,",245,78,1.51,559.8,11399,13766,171,18,0,0,80.5,188.7,26.9,80.5,215.6,296.1
1987,59,"Nephel,",258,115,1.13,329,5671,5090,168,21.5,0,0,30.3,105.3,10.1,30.3,115.4,145.7
1984,22,"Phylla,",68,38,0.64,28.3,942,853,208,13,5,2.62,1.48,8.6,0.61,4.1,9.21,13.31
1984,1,"Phylla,",173,140,0.98,167.7,9071,2692,226,14,-1,0.14,11.77,54.49,10.83,11.91,65.32,77.23
1984,29,"Phylla,",182,85,0.96,169.5,3845,1682,219,13,10,0.09,7.59,55.01,3.97,7.68,58.98,66.66
1984,53,"Phylla,",210,68,1.47,456.9,9032,8870,214,17,18,0.88,40.57,116.66,28.6,41.45,145.26,186.71
1987,7,"Phylla,",213,106,1.11,262.4,7422,4250,253,15,9,1.1,15.7,75.2,11.5,16.8,86.7,103.5
1984,9,"Shorea,",98,45,0.75,55.7,3325,1859,201,14,10,0.74,8.51,15.08,2.91,9.25,17.99,27.24
1984,8,"Shorea,",157,50,0.88,121.3,5027,2006,191,15,11,0.34,10.16,36.29,6.03,10.5,42.32,52.82
1984,47,"Shorea,",214,22,1.48,468,15080,13015,202,14,24,2.2,62.23,159.16,59.01,64.43,218.17,282.6
1984,16,"Shorea,",227,73,1.36,420,6597,5665,181,12,26,1.58,29.72,123.43,16.73,31.3,140.16,171.46
1984,7,"Shorea,",230,110,1.47,500.4,8207,5651,170,16,11,0.26,32.98,136.2,19.55,33.24,155.75,188.99
1987,26,"Shorea,",265,92,1.99,1049.3,8609,9723,206,14,16,0.8,46.4,212.7,33.8,47.2,246.5,293.7
1987,6,"Shorea,",285,87,1.77,892.2,13365,18359,212,15,19,1,85.6,285.7,72.1,86.6,357.8,444.4
1987,55,"Swinto,",83,53,0.76,47.7,1590,655,168,24,0,3.9,0,10.1,0,3.9,10.1,14
1987,41,"Swinto,",102,77,0.57,33.1,776,352,185,19.5,0,0,1.9,8.7,0,1.9,8.7,10.6
1984,32,"Swinto,",108,58,0.7,53.7,1622,690,164,30,3,1.66,2.55,11.96,0.86,4.21,12.82,17.03
1984,40,"Swinto,",122,56,1.25,190.5,2851,1614,152,27,3,6.5,4.12,50.01,2.26,10.62,52.27,62.89
1984,33,"Swinto,",130,58,0.9,106.5,1272,1093,174,28,0,6.28,0,18.75,0,6.28,18.75,25.03
1984,52,"Swinto,",149,38,1.09,178.6,2462,3044,149,31,4,9.53,10.9,37.51,2.24,20.43,39.75,60.18
1984,30,"Swinto,",168,58,1.01,171.4,2369,1954,129,30,1,14.12,1.03,33,0.43,15.15,33.43,48.58
1984,76,"Swinto,",178,127,1.05,198,3732,1424,129,32,3,4.69,6.35,47.21,1.68,11.04,48.89,59.93
1987,8,"Swinto,",210,24,1.4,413.4,5662,4594,144,16,12,6.6,25.3,80.7,16.6,31.9,97.3,129.2
1984,59,"Swinto,",241,101,1.49,537.5,4350,3779,142,34,6,17.33,9.28,114.77,5.31,26.61,120.08,146.69
1987,2,"Swinto,",271,46,1.9,981.5,9861,2869,163,23.5,13,0.9,16.7,25.9,5.9,17.6,31.8,49.4
