"var_in","method","unit_in","var_out","notes"
"t.leaf.area","a1","cm2","a.lf",NA
"t.height","?","cm","h.t",NA
"t.leaf.mass","m1","g","m.lf",NA
"t.stem.mass","m1","g","m.st",NA
"t.root.mass","m1","g","m.rt",NA
"species",NA,NA,"species",NA
