"lookupVariable","lookupValue","newVariable","newValue","source"
NA,NA,"species","Betula pendula","D Barneche [from paper]"
NA,NA,"family","Betulaceae","D Barneche [from web]"
NA,NA,"pft","DA","D Barneche [from web]"
NA,NA,"location","Juupajoki, Finland","DBarneche[from_author_reply]"
NA,NA,"longitude","24.283","DBarneche[from_author_reply]"
NA,NA,"latitude","61.85","DBarneche[from_author_reply]"
NA,NA,"growingCondition","FW","DBarneche[from_author_reply]"
NA,NA,"status","2","DBarneche[from_author_reply]"
NA,NA,"vegetation","BorF","DBarneche[from_author_reply]"
NA,NA,"h.bh","1.3","default"
