"lookupVariable","lookupValue","newVariable","newValue","source"
NA,NA,"pft","EG",""
NA,NA,"vegetation","BorF",""
NA,NA,"family","Pinaceae","DBarneche[from_author_reply]"
NA,NA,"growingCondition","FE","DBarneche[from_author_reply]"
NA,NA,"location","southern Finland","DBarneche[from_paper]"
NA,NA,"h.bh","1.3","default"
