spdataset,dataset,species,age,dbh,sapbh,sapcb,h_t,h_c,cw,m_lf,a_lf,wbr,m_st,a_cs,SAcon,Vell,sp,authorname,reference,country,remark,a_cp,a_st,a_ss_dbh,a_ss_crownbase
Kantola-PIAB,Kantola,PIAB,NA,32.15,NA,NA,28.5,17,5.15,23.87230383,NA,53.41555374,NA,223.9203627,159.9226155,236.0815249,Picea abies,L.,Kantola and Makela 2014,Finland,,20.83072279,0.081180521,NA,NA
Kantola-PIAB,Kantola,PIAB,NA,37.2,NA,NA,30.9,16.6,5.35,28.17132456,NA,64.85911199,NA,228.0840104,163.7821422,248.7793188,Picea abies,L.,Kantola and Makela 2015,Finland,,22.48005893,0.108686539,NA,NA
Kantola-PIAB,Kantola,PIAB,NA,21.25,NA,NA,23.2,10.5,3.75,7.683214801,NA,13.95819984,NA,101.9199869,73.87315907,77.31263171,Picea abies,L.,Kantola and Makela 2016,Finland,,11.04466167,0.035465636,NA,NA
Kantola-PIAB,Kantola,PIAB,NA,26.9,NA,NA,26.7,11.1,3.15,12.0290591,NA,16.35212479,NA,89.07683606,63.26614143,57.66903824,Picea abies,L.,Kantola and Makela 2017,Finland,,7.793113276,0.056832197,NA,NA
Kantola-PIAB,Kantola,PIAB,NA,30.35,NA,NA,27.1,14.3,4.35,21.00210277,NA,26.57202715,NA,159.1391382,113.6968367,141.681509,Picea abies,L.,Kantola and Makela 2018,Finland,,14.86169675,0.072344792,NA,NA
Kantola-PIAB,Kantola,PIAB,NA,24.75,NA,NA,25.3,13.1,3.3,12.01720629,NA,20.71445829,NA,109.4577046,76.99503392,74.69607773,Picea abies,L.,Kantola and Makela 2019,Finland,,8.552985999,0.048110546,NA,NA
Kantola-PIAB,Kantola,PIAB,NA,32.8,NA,NA,27.3,17.1,4.9,23.62497014,NA,44.85040009,NA,213.5822837,151.818468,214.9744729,Picea abies,L.,Kantola and Makela 2020,Finland,,18.8574099,0.084496276,NA,NA
Kantola-PIAB,Kantola,PIAB,NA,37.05,NA,NA,28.1,17,5,28.89409464,NA,47.67181841,NA,217.0008499,154.588666,222.5294796,Picea abies,L.,Kantola and Makela 2021,Finland,,19.63495408,0.107811802,NA,NA
Kantola-PIAB,Kantola,PIAB,NA,33.55,NA,NA,27.8,18.8,5.05,47.22538734,NA,74.42575909,NA,241.1475524,170.5000821,251.0378622,Picea abies,L.,Kantola and Makela 2022,Finland,,20.02961666,0.088404614,NA,NA
Kantola-PIAB,Kantola,PIAB,NA,27.8,NA,NA,25,17.1,5.15,23.16792182,NA,44.05389752,NA,225.154145,160.7225046,237.4702398,Picea abies,L.,Kantola and Makela 2023,Finland,,20.83072279,0.060698712,NA,NA
Kantola-PIAB,Kantola,PIAB,NA,29.35,NA,NA,28,17.7,5.95,24.23787847,NA,46.2977313,NA,271.3019289,195.5539238,328.0996901,Picea abies,L.,Kantola and Makela 2024,Finland,,27.80505848,0.067655965,NA,NA
Kantola-PIAB,Kantola,PIAB,NA,31.95,NA,NA,30.1,20.5,5.45,24.80078636,NA,46.64410366,NA,283.630418,200.3691971,318.819949,Picea abies,L.,Kantola and Makela 2025,Finland,,23.32828895,0.080173641,NA,NA
Kantola-PIAB,Kantola,PIAB,NA,31.85,NA,NA,28.4,18,5.1,21.27769437,NA,40.5034239,NA,233.8485617,166.0671188,245.1384748,Picea abies,L.,Kantola and Makela 2026,Finland,,20.42820623,0.079672557,NA,NA
Kantola-PIAB,Kantola,PIAB,NA,25.1,NA,NA,27.4,15.7,3.85,12.06537788,NA,18.79213215,NA,152.8585189,107.2993805,121.8483728,Picea abies,L.,Kantola and Makela 2027,Finland,,11.64156428,0.04948087,NA,NA
Kantola-PIAB,Kantola,PIAB,NA,2.65,NA,NA,2.5,2.1,1.4,0.674117056,NA,0.570657458,NA,8.2899269,6.40732865,2.15513256,Picea abies,L.,Kantola and Makela 2028,Finland,,1.5393804,0.000551546,NA,NA
Kantola-PIAB,Kantola,PIAB,NA,1.7,NA,NA,2.1,2,1.2,0.502244445,NA,0.378465065,NA,6.631722477,5.066876183,1.507964474,Picea abies,L.,Kantola and Makela 2029,Finland,,1.130973355,0.00022698,NA,NA
Kantola-PIAB,Kantola,PIAB,NA,4.65,NA,NA,4.1,3.7,2.1,1.145470469,NA,1.310539298,NA,21.26580094,16.15063572,8.543561221,Picea abies,L.,Kantola and Makela 2030,Finland,,3.463605901,0.001698227,NA,NA
Kantola-PIAB,Kantola,PIAB,NA,3.8,NA,NA,3.2,3,1.35,0.887221536,NA,0.714756507,NA,10.72763307,7.952156404,2.862776306,Picea abies,L.,Kantola and Makela 2031,Finland,,1.431388153,0.001134115,NA,NA
Kantola-PIAB,Kantola,PIAB,NA,2.75,NA,NA,2.9,2.6,1.55,0.62594411,NA,0.51540826,NA,11.12302727,8.492468132,3.270659752,Picea abies,L.,Kantola and Makela 2032,Finland,,1.886919088,0.000593957,NA,NA
