"lookupVariable","lookupValue","newVariable","newValue","source"
NA,NA,"pft","EG",""
NA,NA,"species","Pinus sylvestris",""
NA,NA,"family","Pinaceae",""
NA,NA,"location","Finland",""
NA,NA,"growingCondition","PM",""
NA,NA,"vegetation","BorF",""
NA,NA,"h.bh","1.33","DBarneche[from_author]"
