dataset,Country,Forest.type,Species,Family,a.lf,h.t,m.lf,m.st,m.rt,lf.sz,a.cs,h.c,a.cp,d.ba
Lusk2004,Chile,WTRF,Aristotelia chilensis,Elaeocarpaceae,0.00047,0.04,1.10E-05,2.00E-06,8.00E-06,NA,NA,NA,NA,NA
Lusk2004,Chile,WTRF,Aristotelia chilensis,Elaeocarpaceae,0.00765,0.152,0.00019,0.000113,0.000227,NA,NA,NA,NA,NA
Lusk2004,Chile,WTRF,Aristotelia chilensis,Elaeocarpaceae,0.002,0.068,6.50E-05,3.90E-05,5.00E-05,NA,NA,NA,NA,NA
Lusk2004,Chile,WTRF,Aristotelia chilensis,Elaeocarpaceae,0.00522,0.132,0.000139,0.000118,0.000223,NA,NA,NA,NA,NA
Lusk2004,Chile,WTRF,Aristotelia chilensis,Elaeocarpaceae,0.00439,0.115,0.000123,6.40E-05,6.80E-05,NA,NA,NA,NA,NA
Lusk2004,Chile,WTRF,Aristotelia chilensis,Elaeocarpaceae,0.01745,0.254,0.000422,0.000318,0.000521,NA,NA,NA,NA,NA
Lusk2004,Chile,WTRF,Aristotelia chilensis,Elaeocarpaceae,0.01674,0.425,0.000315,0.000788,0.00048,NA,NA,NA,NA,NA
Lusk2004,Chile,WTRF,Aristotelia chilensis,Elaeocarpaceae,0.01108,0.257,0.000223,0.000301,0.000233,NA,NA,NA,NA,NA
Lusk2004,Chile,WTRF,Aristotelia chilensis,Elaeocarpaceae,0.05479,0.75,0.001424,0.003458,0.003112,NA,NA,NA,NA,NA
Lusk2004,Chile,WTRF,Aristotelia chilensis,Elaeocarpaceae,0.00417,0.17,0.000138,0.000241,0.000347,NA,NA,NA,NA,NA
Lusk2004,Chile,WTRF,Aristotelia chilensis,Elaeocarpaceae,0.00665,0.13,0.000149,9.90E-05,0.000132,NA,NA,NA,NA,NA
Lusk2004,Chile,WTRF,Aristotelia chilensis,Elaeocarpaceae,0.00144,0.084,2.60E-05,4.60E-05,4.60E-05,NA,NA,NA,NA,NA
Lusk2004,Chile,WTRF,Aristotelia chilensis,Elaeocarpaceae,0.02576,0.36,0.000594,6.00E-04,0.000483,NA,NA,NA,NA,NA
Lusk2004,Chile,WTRF,Aristotelia chilensis,Elaeocarpaceae,0.00145,0.092,3.60E-05,6.20E-05,0.000114,NA,NA,NA,NA,NA
Lusk2004,Chile,WTRF,Aristotelia chilensis,Elaeocarpaceae,0.00013,0.025,4.00E-06,1.00E-06,3.00E-06,NA,NA,NA,NA,NA
Lusk2004,Chile,WTRF,Aristotelia chilensis,Elaeocarpaceae,0.00017,0.032,5.00E-06,1.00E-06,2.00E-06,NA,NA,NA,NA,NA
Lusk2004,Chile,WTRF,Aristotelia chilensis,Elaeocarpaceae,0.00049,0.038,1.60E-05,5.00E-06,7.00E-06,NA,NA,NA,NA,NA
Lusk2004,Chile,WTRF,Aextoxicon punctatum,Aextoxicaceae,0.02207,0.285,0.001775,0.000736,0.001216,NA,NA,NA,NA,NA
Lusk2004,Chile,WTRF,Aextoxicon punctatum,Aextoxicaceae,0.0285,0.409,0.00243,0.00188,0.00178,NA,NA,NA,NA,NA
Lusk2004,Chile,WTRF,Aextoxicon punctatum,Aextoxicaceae,0.03138,0.305,0.002847,0.001154,0.002124,NA,NA,NA,NA,NA
Lusk2004,Chile,WTRF,Aextoxicon punctatum,Aextoxicaceae,0.00603,0.115,0.000355,0.000198,0.000385,NA,NA,NA,NA,NA
Lusk2004,Chile,WTRF,Aextoxicon punctatum,Aextoxicaceae,0.03944,0.465,0.003198,0.001586,0.002739,NA,NA,NA,NA,NA
Lusk2004,Chile,WTRF,Aextoxicon punctatum,Aextoxicaceae,0.00265,0.086,0.000117,0.000107,0.000214,NA,NA,NA,NA,NA
Lusk2004,Chile,WTRF,Aextoxicon punctatum,Aextoxicaceae,0.00168,0.073,6.60E-05,6.60E-05,0.000105,NA,NA,NA,NA,NA
Lusk2004,Chile,WTRF,Aextoxicon punctatum,Aextoxicaceae,0.00072,0.054,4.20E-05,4.00E-05,8.40E-05,NA,NA,NA,NA,NA
Lusk2004,Chile,WTRF,Aextoxicon punctatum,Aextoxicaceae,0.00065,0.039,4.00E-05,3.90E-05,8.30E-05,NA,NA,NA,NA,NA
Lusk2004,Chile,WTRF,Aextoxicon punctatum,Aextoxicaceae,0.00522,0.115,0.000366,0.000218,0.000299,NA,NA,NA,NA,NA
Lusk2004,Chile,WTRF,Aextoxicon punctatum,Aextoxicaceae,0.00053,0.042,3.30E-05,4.40E-05,7.60E-05,NA,NA,NA,NA,NA
Lusk2004,Chile,WTRF,Aextoxicon punctatum,Aextoxicaceae,0.00371,0.088,0.000132,9.40E-05,0.000168,NA,NA,NA,NA,NA
Lusk2004,Chile,WTRF,Aextoxicon punctatum,Aextoxicaceae,0.00464,0.098,0.000287,0.000129,0.000247,NA,NA,NA,NA,NA
Lusk2004,Chile,WTRF,Aextoxicon punctatum,Aextoxicaceae,0.01148,0.175,0.000746,0.000595,0.001293,NA,NA,NA,NA,NA
Lusk2004,Chile,WTRF,Aextoxicon punctatum,Aextoxicaceae,0.0121,0.192,0.001002,0.000505,0.000653,NA,NA,NA,NA,NA
Lusk2004,Chile,WTRF,Aextoxicon punctatum,Aextoxicaceae,0.00248,0.076,8.00E-05,5.50E-05,0.000143,NA,NA,NA,NA,NA
Lusk2004,Chile,WTRF,Aextoxicon punctatum,Aextoxicaceae,0.00319,0.102,0.000226,0.000185,0.000408,NA,NA,NA,NA,NA
Lusk2004,Chile,WTRF,Aextoxicon punctatum,Aextoxicaceae,0.00492,0.083,0.000258,0.000146,0.000308,NA,NA,NA,NA,NA
Lusk2004,Chile,WTRF,Aextoxicon punctatum,Aextoxicaceae,0.00603,0.12,0.00035,0.00019,0.000289,NA,NA,NA,NA,NA
Lusk2004,Chile,WTRF,Eucryphia cordifolia,Cunionaceae,0.00427,0.246,0.00031,0.000263,0.000229,NA,NA,NA,NA,NA
Lusk2004,Chile,WTRF,Eucryphia cordifolia,Cunoniaceae,0.00189,0.086,8.10E-05,3.00E-05,3.10E-05,NA,NA,NA,NA,NA
Lusk2004,Chile,WTRF,Eucryphia cordifolia,Cunoniaceae,0.00019,0.062,8.00E-06,5.00E-06,3.00E-06,NA,NA,NA,NA,NA
Lusk2004,Chile,WTRF,Eucryphia cordifolia,Cunoniaceae,0.00341,0.102,0.000151,5.70E-05,6.20E-05,NA,NA,NA,NA,NA
Lusk2004,Chile,WTRF,Eucryphia cordifolia,Cunoniaceae,0.00189,0.12,0.000105,0.000122,0.000153,NA,NA,NA,NA,NA
Lusk2004,Chile,WTRF,Eucryphia cordifolia,Cunoniaceae,0.00035,0.032,1.70E-05,8.00E-06,1.20E-05,NA,NA,NA,NA,NA
Lusk2004,Chile,WTRF,Eucryphia cordifolia,Cunoniaceae,0.00212,0.097,8.10E-05,3.80E-05,3.60E-05,NA,NA,NA,NA,NA
Lusk2004,Chile,WTRF,Eucryphia cordifolia,Cunoniaceae,0.01395,0.304,0.000548,0.000552,0.000727,NA,NA,NA,NA,NA
Lusk2004,Chile,WTRF,Eucryphia cordifolia,Cunoniaceae,0.00124,0.07,6.70E-05,2.20E-05,3.00E-05,NA,NA,NA,NA,NA
Lusk2004,Chile,WTRF,Eucryphia cordifolia,Cunoniaceae,0.00315,0.123,0.000124,7.10E-05,6.00E-05,NA,NA,NA,NA,NA
Lusk2004,Chile,WTRF,Eucryphia cordifolia,Cunoniaceae,0.01215,0.275,0.001772,0.001209,0.001406,NA,NA,NA,NA,NA
Lusk2004,Chile,WTRF,Eucryphia cordifolia,Cunoniaceae,0.00163,0.094,4.80E-05,6.00E-05,4.40E-05,NA,NA,NA,NA,NA
Lusk2004,Chile,WTRF,Eucryphia cordifolia,Cunoniaceae,9.00E-05,0.026,2.00E-06,1.00E-06,1.00E-06,NA,NA,NA,NA,NA
Lusk2004,Chile,WTRF,Eucryphia cordifolia,Cunoniaceae,0.00297,0.15,6.00E-05,5.60E-05,2.60E-05,NA,NA,NA,NA,NA
Lusk2004,Chile,WTRF,Myrceugenia planipes,Myrtaceae,0.02519,0.401,0.00272,0.00151,0.0014,NA,NA,NA,NA,NA
Lusk2004,Chile,WTRF,Myrceugenia planipes,Myrtaceae,0.00043,0.047,3.20E-05,2.30E-05,2.20E-05,NA,NA,NA,NA,NA
Lusk2004,Chile,WTRF,Myrceugenia planipes,Myrtaceae,0.01356,0.184,0.001108,0.000371,0.000728,NA,NA,NA,NA,NA
Lusk2004,Chile,WTRF,Myrceugenia planipes,Myrtaceae,0.01253,0.235,0.001311,0.000812,0.000738,NA,NA,NA,NA,NA
Lusk2004,Chile,WTRF,Myrceugenia planipes,Myrtaceae,0.0119,0.145,0.000648,0.000264,0.00039,NA,NA,NA,NA,NA
Lusk2004,Chile,WTRF,Myrceugenia planipes,Myrtaceae,0.00145,0.198,0.00012,6.00E-05,0.00013,NA,NA,NA,NA,NA
Lusk2004,Chile,WTRF,Myrceugenia planipes,Myrtaceae,0.00624,0.15,0.000645,0.000299,0.000543,NA,NA,NA,NA,NA
Lusk2004,Chile,WTRF,Myrceugenia planipes,Myrtaceae,0.01181,0.195,0.000766,0.00042,0.000289,NA,NA,NA,NA,NA
Lusk2004,Chile,WTRF,Myrceugenia planipes,Myrtaceae,0.03705,0.475,0.003207,0.001458,0.001403,NA,NA,NA,NA,NA
Lusk2004,Chile,WTRF,Myrceugenia planipes,Myrtaceae,0.00053,0.045,3.80E-05,3.00E-05,4.30E-05,NA,NA,NA,NA,NA
Lusk2004,Chile,WTRF,Myrceugenia planipes,Myrtaceae,0.02787,0.4,0.003349,0.002785,0.004222,NA,NA,NA,NA,NA
Lusk2004,Chile,WTRF,Myrceugenia planipes,Myrtaceae,0.00093,0.051,6.20E-05,3.00E-05,6.30E-05,NA,NA,NA,NA,NA
Lusk2004,Chile,WTRF,Myrceugenia planipes,Myrtaceae,0.00596,0.141,0.00028,0.000221,0.000267,NA,NA,NA,NA,NA
Lusk2004,Chile,WTRF,Myrceugenia planipes,Myrtaceae,0.00725,0.15,0.000458,0.000272,0.000408,NA,NA,NA,NA,NA
Lusk2004,Chile,WTRF,Myrceugenia planipes,Myrtaceae,0.0045,0.17,0.000409,0.000175,0.000225,NA,NA,NA,NA,NA
Lusk2004,Chile,WTRF,Myrceugenia planipes,Myrtaceae,0.00847,0.245,0.000823,0.000543,0.000525,NA,NA,NA,NA,NA
Lusk2004,Chile,WTRF,Myrceugenia planipes,Myrtaceae,0.00228,0.16,0.000155,5.00E-05,0.000176,NA,NA,NA,NA,NA
Lusk2004,Chile,WTRF,Myrceugenia planipes,Myrtaceae,0.01037,0.192,0.000685,0.000342,0.000353,NA,NA,NA,NA,NA
Lusk2004,Chile,WTRF,Myrceugenia planipes,Myrtaceae,0.00174,0.076,0.000102,4.60E-05,0.000108,NA,NA,NA,NA,NA
Lusk2004,Chile,WTRF,Myrceugenia planipes,Myrtaceae,0.00044,0.049,2.70E-05,2.30E-05,5.30E-05,NA,NA,NA,NA,NA
Lusk2004,Chile,WTRF,Myrceugenia planipes,Myrtaceae,0.00616,0.128,0.000312,0.000141,0.00028,NA,NA,NA,NA,NA
