"lookupVariable","lookupValue","newVariable","newValue","source"
"","","vegetation","TempF","email from authors during review"
"species", "Frangula crenata","species", "Rhamnus crenara", "Name changed by Masae I. Ishihara, see methods for details"
"species","Toxicodendron trichocarpum","species", "Rhus trichocarpa", "Name changed by Masae I. Ishihara, see methods for details"
"species", "Cerasus spp.","species","Prunus sp.", "Name changed by Masae I. Ishihara, see methods for details"
"family", "Adoxaceae","family","Caprifoliaceae", "Name changed by Masae I. Ishihara, see methods for details"
"family", "Ternstroemiaceae","family","Theaceae", "Name changed by Masae I. Ishihara, see methods for details"
"family", "Linnaeaceae","family","Caprifoliaceae", "Name changed by Masae I. Ishihara, see methods for details"
