Topic,Description
Sampling strategy,"Harvest in stand 6, 7, 8, and 9 were conducted in August 2001, November 2001, October 2006, July 2004, respectively (Katakura et al. 2007). All stands were secondary forest. Sample trees were selected to cover diameter range. Sample trees were then treated with the stratified clip technique by cutting them into parts contained in horizontal layers of 1 m depth."
Height,"Method not reported in  Katakura et al. (2007)."
Biomass,"Samples were oven-dried at 80 degrees C for 72 hours and dry weights were measured (Katakura et al. 2007)."
Other variables,"Species name and family names  were converted by M. Ishihara according to the following references: Satake Y, Hara H (1989a) Wild flower of Japan Woody plants I (in Japanese). Heibonsha, Tokyo; Satake Y, Hara H (1989b) Wild flower of Japan Woody plants II (in Japanese). Heibonsha, Tokyo."
