Species,Temp,CO2,Potnum,LA,Height,Basaldia,LeafDW,StemDW,RootDW,LMA,LAR
Sideroxylon,Elv,400,334,71,23,1.76,0.41,0.16,0.99,57.75,4.56
Saligna,Elv,280,509,157,23.5,1.91,0.38,0.13,0.14,24.20,24.34
E. saligna,Elv,280,458,869,31,3.92,2.56,0.17,2.06,29.46,18.16
E. saligna,Elv,280,473,952,39,4.90,2.43,1.27,1.25,25.53,19.23
E. saligna,Elv,280,457,620,34,3.15,1.54,0.75,1.31,24.84,17.22
E. saligna,Elv,280,453,892,39.5,4.97,2.58,1.28,2.13,28.92,14.89
E. saligna,Elv,280,467,1149,45,3.90,2.73,1.67,2.10,23.76,17.69
E. saligna,Elv,280,469,1087,46,5.00,2.87,1.84,2.05,26.40,16.08
E. saligna,Elv,280,476,969,38,4.06,3.06,1.62,1.45,31.58,15.80
E. saligna,Elv,280,451,1008,42,4.36,2.74,1.35,1.70,27.18,17.41
Sideroxylon,Elv,280,433,164,49,2.44,0.87,0.50,10.14,53.05,1.42
Sideroxylon,Elv,280,425,170,32,2.68,0.81,0.50,1.14,47.65,6.95
Sideroxylon,Elv,280,441,313,45,2.87,1.31,0.91,2.15,41.85,7.16
Sideroxylon,Elv,280,436,240,43,1.98,0.54,0.38,1.28,22.50,10.92
Sideroxylon,Elv,280,418,126,39,2.21,0.61,0.35,1.43,48.41,5.27
Sideroxylon,Elv,280,437,230,34,2.60,0.94,0.60,0.94,40.87,9.29
Sideroxylon,Elv,280,423,156,32,1.83,0.62,0.31,0.95,39.74,8.30
Sideroxylon,Elv,280,424,160,37,1.66,0.64,0.27,1.20,40.00,7.59
Sideroxylon,Elv,280,427,155,46,2.18,0.88,0.47,1.56,56.77,5.33
Saligna,Elv,640,590,1806,38.8,7.15,4.97,2.86,3.40,27.52,16.08
Saligna,Elv,640,584,1737,54.8,7.39,6.47,5.18,6.61,37.25,9.51
Saligna,Elv,640,577,2453,52.5,6.17,7.26,5.23,6.19,29.60,13.13
Saligna,Elv,640,582,1452,52.9,6.34,5.69,3.23,6.24,39.19,9.58
Saligna,Elv,640,516,872,42.3,5.45,3.3,1.97,4.62,37.84,8.82
Saligna,Elv,640,525,1936,47.6,9.17,12.34,5.88,18.58,63.74,5.26
Saligna,Elv,640,587,1019,48,5.77,2.52,1.99,4.08,24.73,11.86
Saligna,Elv,640,551,1852,47.8,7.64,7.25,4.55,3.80,39.15,11.87
Saligna,Elv,640,520,822,62,3.90,3.75,2.69,4.17,45.62,7.75
Sideroxylon,Elv,640,555,379,54.3,4.47,1.4,1.06,3.74,36.94,6.11
Sideroxylon,Elv,640,569,284,40.1,3.88,1.61,1.05,1.88,56.69,6.26
Sideroxylon,Elv,640,570,491,62.4,5.33,2.72,1.77,5.67,55.40,4.83
Sideroxylon,Elv,640,541,760,57.5,6.78,3.73,2.95,4.90,49.08,6.56
Sideroxylon,Elv,640,534,359,37.5,4.22,1.68,1.13,1.36,46.80,8.61
Sideroxylon,Elv,640,532,481,48.5,3.66,2.15,1.25,2.07,44.70,8.80
Sideroxylon,Elv,640,571,386,44.9,4.16,2.07,1.71,1.74,53.63,7.00
Sideroxylon,Elv,640,515,512,65.3,4.07,2.73,1.92,8.59,53.32,3.87
Sideroxylon,Elv,640,519,300,49,5.08,1.57,1.31,2.43,52.33,5.65
