age,h.t,h.c,a.st,a.sh,a.ss,m.rt,m.st,a.cp,m.br,m.f,a.cs,pft,species,growingCondition,fertilized
12,5.9,4.9,0.005152993,0,0.004300837,0.644,5.988,2.164241351, , ,20.96629091,EG,Pinus sylvestris,PM,no

6,2.1,1.7,0.000113097,0,7.85E-05,0,0.264,0.264207719,0.053,0.072,2.542899171,EG,Pinus sylvestris,PM,no

12,4.8,3.8,0.003631678,0,0.002874751,0.447,4.261,2.061197199,1.997,1.93,16.20606608,EG,Pinus sylvestris,PM,no

13,5.8,4.6,0.006432602,0,0.004717294,0.725,8.125,5.982843996,4.527,3.864,35.08181191,EG,Pinus sylvestris,PM,no

5,4,3.2,0.001772053,0,0.0014522,0.067,1.318,1.410259751, , ,11.26669952,EG,Pinus sylvestris,PM,no

6,4.2,3.5,0.00326745,0,0.002463007,0.251,2.994,1.674153311, , ,13.42103611,EG,Pinus sylvestris,PM,no

9,6.3,5.9,0.009764258,0,0.007466185,0.999,10.65,3.870753039, , ,34.0565222,EG,Pinus sylvestris,PM,no

9,3.2,2.9,0.001075209,0,0.000855298,0.067,1.031,0.723822336,0.5,0.854,7.163687217,EG,Pinus sylvestris,PM,no

7,4.9,4.3,0.005944674,0,0.004901666,1.104,6.47,2.955922031,6.015,6.952,22.10304075,EG,Pinus sylvestris,PM,no

8,5.3,4.9,0.008824726,0,0.007088212,1.741,10.523,4.987588284,10.05,8.569,33.28406751,EG,Pinus sylvestris,PM,no

111,16.5,6.4,0.027611631,0.008171276,0.016295624,11.735,118.811,3.732523079,13.135,8.319,35.97780605,EG,Pinus sylvestris,PM,no

112,16.8,9.2,0.048305088,0.008992016,0.032375067,21.417,178.782,6.788661831,32.59,17.289,69.42423261,EG,Pinus sylvestris,PM,no

28,12.6,6.6,0.014313869,0.00090792,0.011462287,2.846,37.822,3.463602975,4.318,2.637,35.56388066,EG,Pinus sylvestris,PM,no

25,9.3,5.5,0.00636172,0.000572555,0.003963901,0.535,10.189,1.495710999,1.362,0.676,19.21421919,EG,Pinus sylvestris,PM,no

28,12.2,5.9,0.00907625,0.000530929,0.006408844,1.739,22.44,1.720334684,2.018,1.41,22.10496119,EG,Pinus sylvestris,PM,no

25,11,5.2,0.007163022,0.00090792,0.00524351,1.269,19.019,2.659041776,1.891,1.036,24.74735707,EG,Pinus sylvestris,PM,no

21,5,3,0.000706858,7.85E-05,0.000494015,0.049,1.209,0.723822336,0.108,0.072,7.392806746,EG,Pinus sylvestris,PM,no

26,10.6,5.4,0.008413374,0.000314159,0.006189718,1.426,18.114,1.767144375,2.35,1.869,20.61088618,EG,Pinus sylvestris,PM,no

26,12.8,6.9,0.018145824,0.000855298,0.014981457,6.361,49.466,7.163139359,9.604,6.33,55.01828379,EG,Pinus sylvestris,PM,no

23,8,4.2,0.003067959,0.000113097,0.002306123,0.11,5.96,2.061197199,0.858,0.501,17.73156042,EG,Pinus sylvestris,PM,no

26,12.8,7.2,0.017907848,0.002206182,0.012427541,6.395,51.176,7.163139359,8.005,4.721,57.14232106,EG,Pinus sylvestris,PM,no

26,6.5,2.9,0.003685281,0.000176714,0.002199113,0.444,4.325,0.580879991,0.375,0.399,6.370253524,EG,Pinus sylvestris,PM,no

12,5.7,4.6,0.003685281,0,0.002827431,0.302,4.849,1.720334684,1.379,1.086,17.48237795,EG,Pinus sylvestris,PM,no

11,5.5,4,0.002507185,0,0.002123715,0.211,3.746,1.495710999,1.073,0.871,14.24843848,EG,Pinus sylvestris,PM,no

11,6.2,5.2,0.006432602,0,0.005152993,0.971,8.235,3.463602975,3.216,2.501,28.58506051,EG,Pinus sylvestris,PM,no

12,5.8,4.6,0.004300837,0,0.003421192,0.855,6.235,2.377869471,2.156,1.8,20.82136846,EG,Pinus sylvestris,PM,no

14,7.9,6.5,0.013273218,0,0.009331308,2.372,17.133,3.664350576,6.269,3.993,36.13741849,EG,Pinus sylvestris,PM,no

