"var_in","method","unit_in","var_out","notes"
"dataset",NA,NA,NA,NA
"location",NA,NA,"location",NA
"latitude",NA,"deg","latitude",NA
"longitude",NA,"deg","longitude",NA
"vegetation",NA,NA,"vegetation",NA
"map",NA,"mm","map",NA
"mat",NA,"deg","mat",NA
"species",NA,NA,"species",NA
"family",NA,NA,"family",NA
"pft",NA,NA,"pft",NA
"age","?","yr","age",NA
"h.t","?","m","h.t",NA
"d.ba","d4","m","d.ba",NA
"d.cr","f,f","m","d.cr",NA
"c.d","?","m","c.d",NA
"growingCondition",NA,NA,"growingCondition",NA
"status",NA,NA,"status",NA
"light","?",NA,"light",NA
