"dataset","location","latitude","longitude","vegetation","map","mat","species","family","pft","age","h.t","h.c","d.ba","d.cr","c.d","growingCondition","status","light"
"Claveau2002","Duparquet Lake",48,-79,"BorF",857,0.8,"Pinus banksiana","Pinaceae","EG",17,1.94,0.36,0.022,0.955,1.58,"FW",0,"33.4"
"Claveau2002","Duparquet Lake",48,-79,"BorF",857,0.8,"Pinus banksiana","Pinaceae","EG",14,0.89,0.26,0.010822536,0.335,0.63,"FW",0,"39.5"
"Claveau2002","Duparquet Lake",48,-79,"BorF",857,0.8,"Pinus banksiana","Pinaceae","EG",16,0.7,0.2,0.006047888,0.19,0.5,"FW",0,"39"
"Claveau2002","Duparquet Lake",48,-79,"BorF",857,0.8,"Pinus banksiana","Pinaceae","EG",20,0.8,0.39,0.010185916,0.255,0.41,"FW",0,"57.6"
"Claveau2002","Duparquet Lake",48,-79,"BorF",857,0.8,"Pinus banksiana","Pinaceae","EG",16,0.62,0.14,0.0106,0.285,0.48,"FW",0,"63"
"Claveau2002","Duparquet Lake",48,-79,"BorF",857,0.8,"Pinus banksiana","Pinaceae","EG",11,0.49,0.07,0.006047888,0.215,0.42,"FW",0,"61.2"
"Claveau2002","Duparquet Lake",48,-79,"BorF",857,0.8,"Pinus banksiana","Pinaceae","EG",15,0.92,0.18,0.010185916,0.285,0.74,"FW",0,"62.4"
"Claveau2002","Duparquet Lake",48,-79,"BorF",857,0.8,"Pinus banksiana","Pinaceae","EG",19,0.94,0.12,0.013369015,0.39,0.82,"FW",0,"45.3"
"Claveau2002","Duparquet Lake",48,-79,"BorF",857,0.8,"Pinus banksiana","Pinaceae","EG",15,1.3,0.53,0.0157,0.47,0.77,"FW",0,"64.1"
"Claveau2002","Duparquet Lake",48,-79,"BorF",857,0.8,"Pinus banksiana","Pinaceae","EG",13,1.01,0.02,0.016,0.415,0.99,"FW",0,"57.4"
"Claveau2002","Duparquet Lake",48,-79,"BorF",857,0.8,"Pinus banksiana","Pinaceae","EG",14,1.84,0.56,0.018,0.735,1.28,"FW",0,"65.5"
"Claveau2002","Duparquet Lake",48,-79,"BorF",857,0.8,"Pinus banksiana","Pinaceae","EG",12,0.84,0.38,0.012414086,0.29,0.46,"FW",0,"61.9"
"Claveau2002","Duparquet Lake",48,-79,"BorF",857,0.8,"Pinus banksiana","Pinaceae","EG",11,0.92,0.18,0.011777466,0.315,0.74,"FW",0,"58.6"
"Claveau2002","Duparquet Lake",48,-79,"BorF",857,0.8,"Pinus banksiana","Pinaceae","EG",15,1.04,0.29,0.012,0.435,0.75,"FW",0,"53.8"
"Claveau2002","Duparquet Lake",48,-79,"BorF",857,0.8,"Pinus banksiana","Pinaceae","EG",16,0.82,0.205,0.010275,0.37,0.615,"FW",0,"33.8"
"Claveau2002","Duparquet Lake",48,-79,"BorF",857,0.8,"Pinus banksiana","Pinaceae","EG",12,0.36,0.02,0.004456338,0.215,0.34,"FW",0,"37.6"
"Claveau2002","Duparquet Lake",48,-79,"BorF",857,0.8,"Pinus banksiana","Pinaceae","EG",13,0.49,0.04,0.005729578,0.19,0.45,"FW",0,"31.1"
"Claveau2002","Duparquet Lake",48,-79,"BorF",857,0.8,"Pinus banksiana","Pinaceae","EG",12,0.42,0.09,0.006375,0.195,0.33,"FW",0,"31.3"
"Claveau2002","Duparquet Lake",48,-79,"BorF",857,0.8,"Pinus banksiana","Pinaceae","EG",11,0.41,0.07,0.006047888,0.135,0.34,"FW",0,"54.2"
"Claveau2002","Duparquet Lake",48,-79,"BorF",857,0.8,"Pinus banksiana","Pinaceae","EG",12,0.36,0.05,0.006625,0.225,0.31,"FW",0,"51.3"
"Claveau2002","Duparquet Lake",48,-79,"BorF",857,0.8,"Pinus banksiana","Pinaceae","EG",20,1.58,0.25,0.0226,0.72,1.33,"FW",0,"78.8"
"Claveau2002","Duparquet Lake",48,-79,"BorF",857,0.8,"Pinus banksiana","Pinaceae","EG",21,1.34,0.41,0.0146,0.465,0.93,"FW",0,"56.8"
"Claveau2002","Duparquet Lake",48,-79,"BorF",857,0.8,"Pinus banksiana","Pinaceae","EG",18,1.01,0.07,0.01145,0.31,0.94,"FW",0,"28.4"
"Claveau2002","Duparquet Lake",48,-79,"BorF",857,0.8,"Pinus banksiana","Pinaceae","EG",18,1.43,0.34,0.0173,0.45,1.09,"FW",0,"65.6"
"Claveau2002","Duparquet Lake",48,-79,"BorF",857,0.8,"Pinus banksiana","Pinaceae","EG",25,1.75,0.11,0.0251,0.935,1.64,"FW",0,"46.5"
"Claveau2002","Duparquet Lake",48,-79,"BorF",857,0.8,"Pinus banksiana","Pinaceae","EG",35,4.46,1.79,0.035075,1.15,2.67,"FW",0,"27.7"
"Claveau2002","Duparquet Lake",48,-79,"BorF",857,0.8,"Pinus banksiana","Pinaceae","EG",30,4.38,2.96,0.0358,0.88,1.42,"FW",0,"29.7"
"Claveau2002","Duparquet Lake",48,-79,"BorF",857,0.8,"Pinus banksiana","Pinaceae","EG",22,1.3,0.33,0.018,0.565,0.97,"FW",0,"62.7"
"Claveau2002","Gavin Lake",52,-121,"BorF",722,4.2,"Pinus contorta","Pinaceae","EG",11,3.41,0.35,0.05165,1.485,3.06,"FW",0,"44.8"
"Claveau2002","Gavin Lake",52,-121,"BorF",722,4.2,"Pinus contorta","Pinaceae","EG",NA,1.07,0.07,NA,0.385,1,"FW",0,"31.9"
"Claveau2002","Gavin Lake",52,-121,"BorF",722,4.2,"Pinus contorta","Pinaceae","EG",NA,2.31,0.3,NA,0.7,2.01,"FW",0,"58.6"
"Claveau2002","Gavin Lake",52,-121,"BorF",722,4.2,"Pinus contorta","Pinaceae","EG",8,3.22,0.33,0.0412,1.265,2.89,"FW",0,"58.3"
"Claveau2002","Gavin Lake",52,-121,"BorF",722,4.2,"Pinus contorta","Pinaceae","EG",11,2.44,0.18,0.0366,0.93,2.26,"FW",0,"59.1"
"Claveau2002","Gavin Lake",52,-121,"BorF",722,4.2,"Pinus contorta","Pinaceae","EG",NA,1.92,0.25,NA,0.75,1.67,"FW",0,"55.6"
"Claveau2002","Gavin Lake",52,-121,"BorF",722,4.2,"Pinus contorta","Pinaceae","EG",10,3.4,0.56,0.03925,1.345,2.84,"FW",0,"55.6"
"Claveau2002","Gavin Lake",52,-121,"BorF",722,4.2,"Pinus contorta","Pinaceae","EG",NA,1.74,0.36,NA,0.585,1.38,"FW",0,"48.3"
"Claveau2002","Gavin Lake",52,-121,"BorF",722,4.2,"Pinus contorta","Pinaceae","EG",10,0.67,0.15,0.0098,0.23,0.52,"FW",0,"41.3"
"Claveau2002","Gavin Lake",52,-121,"BorF",722,4.2,"Pinus contorta","Pinaceae","EG",6,0.97,0.09,0.0151,0.295,0.88,"FW",0,"46"
"Claveau2002","Gavin Lake",52,-121,"BorF",722,4.2,"Pinus contorta","Pinaceae","EG",10,3.13,0.21,0.036,1.02,2.92,"FW",0,"60.3"
"Claveau2002","Gavin Lake",52,-121,"BorF",722,4.2,"Pinus contorta","Pinaceae","EG",NA,1.53,0.09,NA,0.535,1.44,"FW",0,"52.3"
"Claveau2002","Gavin Lake",52,-121,"BorF",722,4.2,"Pinus contorta","Pinaceae","EG",NA,2.15,0.33,NA,0.75,1.82,"FW",0,"56.5"
"Claveau2002","Gavin Lake",52,-121,"BorF",722,4.2,"Pinus contorta","Pinaceae","EG",11,0.54,0.06,0.0045,0.09,0.48,"FW",0,"6.1"
"Claveau2002","Gavin Lake",52,-121,"BorF",722,4.2,"Pinus contorta","Pinaceae","EG",12,1.15,0.21,0.0152,0.4,0.94,"FW",0,"52.8"
"Claveau2002","Gavin Lake",52,-121,"BorF",722,4.2,"Pinus contorta","Pinaceae","EG",12,0.75,0.03,0.0121,0.16,0.72,"FW",0,"48.3"
"Claveau2002","Gavin Lake",52,-121,"BorF",722,4.2,"Pinus contorta","Pinaceae","EG",NA,1.68,0.27,NA,0.52,1.41,"FW",0,"42.6"
"Claveau2002","Gavin Lake",52,-121,"BorF",722,4.2,"Pinus contorta","Pinaceae","EG",9,3.16,0.43,0.0428,1.155,2.73,"FW",0,"46.9"
"Claveau2002","Gavin Lake",52,-121,"BorF",722,4.2,"Pinus contorta","Pinaceae","EG",NA,0.47,0.07,NA,0.195,0.4,"FW",0,"36.7"
"Claveau2002","Gavin Lake",52,-121,"BorF",722,4.2,"Pinus contorta","Pinaceae","EG",NA,0.77,0.12,NA,0.28,0.65,"FW",0,"34.8"
"Claveau2002","Gavin Lake",52,-121,"BorF",722,4.2,"Pinus contorta","Pinaceae","EG",7,0.39,0.08,0.0054,0.11,0.31,"FW",0,"30.5"
"Claveau2002","Gavin Lake",52,-121,"BorF",722,4.2,"Pinus contorta","Pinaceae","EG",NA,1.6,NA,NA,0.405,NA,"FW",0,"38.5"
"Claveau2002","Gavin Lake",52,-121,"BorF",722,4.2,"Pinus contorta","Pinaceae","EG",9,2.33,0.28,0.0253,0.6,2.05,"FW",0,"61.8"
"Claveau2002","Gavin Lake",52,-121,"BorF",722,4.2,"Pinus contorta","Pinaceae","EG",11,5.04,0.57,0.0527,1.235,4.47,"FW",0,"63.1"
"Claveau2002","Gavin Lake",52,-121,"BorF",722,4.2,"Pinus contorta","Pinaceae","EG",11,0.96,0.18,0.00935,0.29,0.78,"FW",0,"57.4"
"Claveau2002","Gavin Lake",52,-121,"BorF",722,4.2,"Pinus contorta","Pinaceae","EG",NA,1.64,0.37,NA,0.41,1.27,"FW",0,"44.1"
"Claveau2002","Gavin Lake",52,-121,"BorF",722,4.2,"Pinus contorta","Pinaceae","EG",11,4.39,0.66,0.0535,1.21,3.73,"FW",0,"63"
"Claveau2002","Gavin Lake",52,-121,"BorF",722,4.2,"Pinus contorta","Pinaceae","EG",11,1.9,0.32,0.0247,0.565,1.58,"FW",0,"49.6"
"Claveau2002","Gavin Lake",52,-121,"BorF",722,4.2,"Pinus contorta","Pinaceae","EG",NA,1.47,0.21,NA,0.365,1.26,"FW",0,"34.5"
"Claveau2002","Gavin Lake",52,-121,"BorF",722,4.2,"Pinus contorta","Pinaceae","EG",NA,0.93,0.2,NA,0.335,0.73,"FW",0,"35.2"
"Claveau2002","Gavin Lake",52,-121,"BorF",722,4.2,"Pinus contorta","Pinaceae","EG",NA,1.63,NA,NA,0.6,NA,"FW",0,"42.4"
"Claveau2002","Gavin Lake",52,-121,"BorF",722,4.2,"Pinus contorta","Pinaceae","EG",NA,2.08,0.14,NA,0.75,1.94,"FW",0,"43.7"
"Claveau2002","Gavin Lake",52,-121,"BorF",722,4.2,"Pinus contorta","Pinaceae","EG",NA,0.8,0.12,NA,0.265,0.68,"FW",0,"33.1"
"Claveau2002","Gavin Lake",52,-121,"BorF",722,4.2,"Pinus contorta","Pinaceae","EG",NA,0.57,0.07,NA,0.245,0.5,"FW",0,"32.3"
"Claveau2002","Gavin Lake",52,-121,"BorF",722,4.2,"Pinus contorta","Pinaceae","EG",7,1.5,0.15,0.0204,0.61,1.35,"FW",0,"36"
"Claveau2002","Gavin Lake",52,-121,"BorF",722,4.2,"Pinus contorta","Pinaceae","EG",NA,0.64,0.13,NA,0.285,0.51,"FW",0,"34.9"
"Claveau2002","Gavin Lake",52,-121,"BorF",722,4.2,"Pinus contorta","Pinaceae","EG",NA,1.69,0.37,NA,0.59,1.32,"FW",0,"35.8"
"Claveau2002","Gavin Lake",52,-121,"BorF",722,4.2,"Pinus contorta","Pinaceae","EG",10,1.2,0.32,0.0132,0.43,0.88,"FW",0,"31.8"
"Claveau2002","Gavin Lake",52,-121,"BorF",722,4.2,"Pinus contorta","Pinaceae","EG",NA,1.06,0.19,NA,0.33,0.87,"FW",0,"46.1"
"Claveau2002","Gavin Lake",52,-121,"BorF",722,4.2,"Pinus contorta","Pinaceae","EG",NA,0.9,0.17,NA,0.305,0.73,"FW",0,"33.6"
"Claveau2002","Gavin Lake",52,-121,"BorF",722,4.2,"Pinus contorta","Pinaceae","EG",10,1.4,0.14,0.0178,0.51,1.26,"FW",0,"21.8"
"Claveau2002","Gavin Lake",52,-121,"BorF",722,4.2,"Pinus contorta","Pinaceae","EG",9,1.25,0.28,0.01235,0.475,0.97,"FW",0,"20.8"
"Claveau2002","Gavin Lake",52,-121,"BorF",722,4.2,"Pinus contorta","Pinaceae","EG",10,1.66,0.36,0.0214,0.525,1.3,"FW",0,"25.5"
"Claveau2002","Gavin Lake",52,-121,"BorF",722,4.2,"Pinus contorta","Pinaceae","EG",10,1.3,0.3,0.015,0.455,1,"FW",0,"64"
"Claveau2002","Gavin Lake",52,-121,"BorF",722,4.2,"Pinus contorta","Pinaceae","EG",NA,0.96,0.25,NA,0.295,0.71,"FW",0,"58.3"
"Claveau2002","Gavin Lake",52,-121,"BorF",722,4.2,"Pinus contorta","Pinaceae","EG",NA,1.3,0.23,NA,0.395,1.07,"FW",0,"36.8"
"Claveau2002","Gavin Lake",52,-121,"BorF",722,4.2,"Pinus contorta","Pinaceae","EG",9,2.44,0.46,0.0326,1.135,1.98,"FW",0,"39.2"
"Claveau2002","Gavin Lake",52,-121,"BorF",722,4.2,"Pinus contorta","Pinaceae","EG",NA,0.68,0.1,NA,0.19,0.58,"FW",0,"36.1"
"Claveau2002","Gavin Lake",52,-121,"BorF",722,4.2,"Pinus contorta","Pinaceae","EG",11,1.31,0.32,NA,0.44,0.99,"FW",0,"43.2"
"Claveau2002","Gavin Lake",52,-121,"BorF",722,4.2,"Pinus contorta","Pinaceae","EG",10,1.72,0.24,0.02165,0.51,1.48,"FW",0,"19.1"
"Claveau2002","Gavin Lake",52,-121,"BorF",722,4.2,"Pinus contorta","Pinaceae","EG",10,2.46,0.7,0.0265,0.705,1.76,"FW",0,"34.3"
"Claveau2002","Gavin Lake",52,-121,"BorF",722,4.2,"Pinus contorta","Pinaceae","EG",NA,0.97,0.22,NA,0.36,0.75,"FW",0,"30.6"
"Claveau2002","Gavin Lake",52,-121,"BorF",722,4.2,"Pinus contorta","Pinaceae","EG",10,0.9,0.2,0.01015,0.315,0.7,"FW",0,"27"
"Claveau2002","Gavin Lake",52,-121,"BorF",722,4.2,"Pinus contorta","Pinaceae","EG",NA,0.79,0.24,NA,0.165,0.55,"FW",0,"33"
"Claveau2002","Gavin Lake",52,-121,"BorF",722,4.2,"Pinus contorta","Pinaceae","EG",NA,0.51,0.04,NA,0.22,0.47,"FW",0,"38.1"
"Claveau2002","Gavin Lake",52,-121,"BorF",722,4.2,"Pinus contorta","Pinaceae","EG",10,2.51,0.68,0.0261,0.625,1.83,"FW",0,"45.7"
"Claveau2002","Gavin Lake",52,-121,"BorF",722,4.2,"Pinus contorta","Pinaceae","EG",10,1.07,0.2,0.0156,0.355,0.87,"FW",0,"45.6"
"Claveau2002","Gavin Lake",52,-121,"BorF",722,4.2,"Pinus contorta","Pinaceae","EG",NA,1.68,0.37,NA,0.5,1.31,"FW",0,"41.7"
"Claveau2002","Gavin Lake",52,-121,"BorF",722,4.2,"Pinus contorta","Pinaceae","EG",NA,1.97,0.37,NA,0.625,1.6,"FW",0,"39.7"
"Claveau2002","Gavin Lake",52,-121,"BorF",722,4.2,"Pinus contorta","Pinaceae","EG",10,0.96,0.23,0.0115,0.265,0.73,"FW",0,"34.6"
"Claveau2002","Gavin Lake",52,-121,"BorF",722,4.2,"Pinus contorta","Pinaceae","EG",NA,0.67,0.06,NA,0.24,0.61,"FW",0,"35.5"
"Claveau2002","Gavin Lake",52,-121,"BorF",722,4.2,"Pinus contorta","Pinaceae","EG",10,3.3,0.5,0.030025,1.035,2.8,"FW",0,"25.5"
"Claveau2002","Gavin Lake",52,-121,"BorF",722,4.2,"Pinus contorta","Pinaceae","EG",11,0.78,0.29,0.0114,0.245,0.49,"FW",0,"21"
"Claveau2002","Gavin Lake",52,-121,"BorF",722,4.2,"Pinus contorta","Pinaceae","EG",NA,1.04,0.37,NA,0.295,0.67,"FW",0,"32"
"Claveau2002","Gavin Lake",52,-121,"BorF",722,4.2,"Pinus contorta","Pinaceae","EG",NA,1.23,0.38,NA,0.325,0.85,"FW",0,"35.5"
"Claveau2002","Gavin Lake",52,-121,"BorF",722,4.2,"Pinus contorta","Pinaceae","EG",11,0.46,0.07,0.0074,0.205,0.39,"FW",0,"35.6"
"Claveau2002","Gavin Lake",52,-121,"BorF",722,4.2,"Pinus contorta","Pinaceae","EG",9,2.73,0.58,0.0291,0.74,2.15,"FW",0,"36.7"
"Claveau2002","Gavin Lake",52,-121,"BorF",722,4.2,"Pinus contorta","Pinaceae","EG",NA,1.65,0.19,NA,0.52,1.46,"FW",0,"32.6"
"Claveau2002","Gavin Lake",52,-121,"BorF",722,4.2,"Pinus contorta","Pinaceae","EG",NA,1.53,0.23,NA,0.395,1.3,"FW",0,"34.8"
"Claveau2002","Gavin Lake",52,-121,"BorF",722,4.2,"Pinus contorta","Pinaceae","EG",NA,2.18,0.2,NA,0.62,1.98,"FW",0,"37.5"
"Claveau2002","Gavin Lake",52,-121,"BorF",722,4.2,"Pinus contorta","Pinaceae","EG",NA,0.65,0.07,NA,0.2,0.58,"FW",0,"36.9"
"Claveau2002","Gavin Lake",52,-121,"BorF",722,4.2,"Pinus contorta","Pinaceae","EG",10,2.66,0.32,0.02825,0.64,2.34,"FW",0,"39.3"
"Claveau2002","Gavin Lake",52,-121,"BorF",722,4.2,"Pinus contorta","Pinaceae","EG",NA,1.14,0.12,NA,0.34,1.02,"FW",0,"47.8"
"Claveau2002","Gavin Lake",52,-121,"BorF",722,4.2,"Pinus contorta","Pinaceae","EG",NA,0.63,0.09,NA,0.25,0.54,"FW",0,"48.3"
"Claveau2002","Gavin Lake",52,-121,"BorF",722,4.2,"Pinus contorta","Pinaceae","EG",11,0.58,0.18,0.0085,0.295,0.4,"FW",0,"46.8"
"Claveau2002","Gavin Lake",52,-121,"BorF",722,4.2,"Pinus contorta","Pinaceae","EG",11,2.9,0.43,0.0422,0.985,2.47,"FW",0,"83.8"
"Claveau2002","Gavin Lake",52,-121,"BorF",722,4.2,"Pinus contorta","Pinaceae","EG",NA,1.76,0.35,NA,0.54,1.41,"FW",0,"55.6"
"Claveau2002","Gavin Lake",52,-121,"BorF",722,4.2,"Pinus contorta","Pinaceae","EG",NA,0.6,0.16,NA,0.17,0.44,"FW",0,"46.5"
"Claveau2002","Gavin Lake",52,-121,"BorF",722,4.2,"Pinus contorta","Pinaceae","EG",NA,4.27,0.45,NA,1.205,3.82,"FW",0,"70.7"
"Claveau2002","Gavin Lake",52,-121,"BorF",722,4.2,"Pinus contorta","Pinaceae","EG",NA,2.7,0.23,NA,1.05,2.47,"FW",0,"64.2"
"Claveau2002","Gavin Lake",52,-121,"BorF",722,4.2,"Pinus contorta","Pinaceae","EG",12,3.91,0.2,0.0624,1.84,3.71,"FW",0,"80.1"
"Claveau2002","Gavin Lake",52,-121,"BorF",722,4.2,"Pinus contorta","Pinaceae","EG",12,4.57,0.63,0.06002,1.705,3.94,"FW",0,"90.9"
"Claveau2002","Gavin Lake",52,-121,"BorF",722,4.2,"Pinus contorta","Pinaceae","EG",NA,4.66,0.3,NA,2.23,4.36,"FW",0,"88.6"
"Claveau2002","Gavin Lake",52,-121,"BorF",722,4.2,"Pinus contorta","Pinaceae","EG",NA,3.42,0.4,NA,1.39,3.02,"FW",0,"89.4"
"Claveau2002","Gavin Lake",52,-121,"BorF",722,4.2,"Pinus contorta","Pinaceae","EG",10,4.6,0.67,0.05765,1.84,3.93,"FW",0,"85.3"
"Claveau2002","Gavin Lake",52,-121,"BorF",722,4.2,"Pinus contorta","Pinaceae","EG",NA,3.49,0.31,NA,1.685,3.18,"FW",0,"92.4"
