"var_in","method","unit_in","var_out","notes"
"dataset",NA,NA,NA,NA
"location",NA,NA,"location",NA
"latitude",NA,"deg","latitude",NA
"longitude",NA,"deg","longitude",NA
"Vegetation",NA,NA,"vegetation",NA
"map",NA,"mm","map",NA
"mat",NA,"deg","mat",NA
"species",NA,NA,"species",NA
"family",NA,NA,"family",NA
"ID",NA,NA,NA,NA
"site",NA,NA,NA,NA
"stand age","?","yr","age",NA
"d.ba","d4","m","d.ba",NA
"d.bh","d3","m","d.bh",NA
"h.t","?","m","h.t",NA
"m.so","m3,j","kg","m.so",NA
"m.s.t.",NA,NA,NA,NA
"m.br","m3,j","kg","m.br",NA
"m.lf","m3","kg","m.lf",NA
"m.sb","m3,j","kg","m.sb",NA
"a.lf","x1,k3","m2","a.lf",NA
"grouping",NA,NA,"grouping",NA
