"dataset","location","latitude","longitude","vegetation","map","mat","grouping","lai","species","family","pft","age","a.lf","a.ssba","a.ssbh","a.ssbc","a.shba","a.shbh","a.shbc","a.sbba","a.sbbh","a.sbbc","a.stba","a.stbh","a.stbc","a.cp","a.cs","h.t","h.c","d.ba","d.bh","d.cr","c.d","m.lf","m.ss","m.sh","m.sb","m.st","m.so","m.br","m.rf","m.rc","m.rt","m.to","a.ilf","ma.ilf","r.st","r.ss","r.sb","r.sh","n.lf","n.ss","n.sb","n.sh","n.rf","n.rc","growingCondition","status","light","Note","studyName"
"Ishihara0000","Japan-Chiba Forest of Tokyo University, Koyano-sawa-Compartment 8, D2",35.2,140.1,"TempF",NA,NA,NA,NA,"Zelkova serrata","Ulmaceae","DA",NA,340.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,26.4,NA,NA,0.44,NA,NA,30.65,NA,NA,NA,1423.71,1593.73,139.37,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"PM",NA,NA,"Suzuki, M; Tange, T; Suzuki, T; Suzuki, S. (1990) Growth and biomass of manmade Zelkova serrata stands in Tokyo University Forest in Chiba [in Japanese with English abstract]. Bulletin of the Tokyo University Forests 82: 113-129.","Suzuki1990"
"Ishihara0000","Japan-Chiba Forest of Tokyo University, Koyano-sawa-Compartment 8, D2",35.2,140.1,"TempF",NA,NA,NA,NA,"Zelkova serrata","Ulmaceae","DA",NA,379.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25.6,NA,NA,0.365,NA,NA,30.07,NA,NA,NA,981.06,1243.35,232.22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"PM",NA,NA,"Suzuki, M; Tange, T; Suzuki, T; Suzuki, S. (1990) Growth and biomass of manmade Zelkova serrata stands in Tokyo University Forest in Chiba [in Japanese with English abstract]. Bulletin of the Tokyo University Forests 82: 113-129.","Suzuki1990"
"Ishihara0000","Japan-Chiba Forest of Tokyo University, Koyano-sawa-Compartment 8, D2",35.2,140.1,"TempF",NA,NA,NA,NA,"Zelkova serrata","Ulmaceae","DA",NA,156.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,24.2,NA,NA,0.26,NA,NA,11.74,NA,NA,NA,434.66,511.01,64.61,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"PM",NA,NA,"Suzuki, M; Tange, T; Suzuki, T; Suzuki, S. (1990) Growth and biomass of manmade Zelkova serrata stands in Tokyo University Forest in Chiba [in Japanese with English abstract]. Bulletin of the Tokyo University Forests 82: 113-129.","Suzuki1990"
"Ishihara0000","Japan-Chiba Forest of Tokyo University, Koyano-sawa-Compartment 8, D2",35.2,140.1,"TempF",NA,NA,NA,NA,"Zelkova serrata","Ulmaceae","DA",NA,296.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,23.1,NA,NA,0.36,NA,NA,22.6,NA,NA,NA,755.69,938.47,160.18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"PM",NA,NA,"Suzuki, M; Tange, T; Suzuki, T; Suzuki, S. (1990) Growth and biomass of manmade Zelkova serrata stands in Tokyo University Forest in Chiba [in Japanese with English abstract]. Bulletin of the Tokyo University Forests 82: 113-129.","Suzuki1990"
"Ishihara0000","Japan-Chiba Forest of Tokyo University, Koyano-sawa-Compartment 8, D2",35.2,140.1,"TempF",NA,NA,NA,NA,"Zelkova serrata","Ulmaceae","DA",NA,120.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21,NA,NA,0.225,NA,NA,9.79,NA,NA,NA,303.96,370.74,56.99,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"PM",NA,NA,"Suzuki, M; Tange, T; Suzuki, T; Suzuki, S. (1990) Growth and biomass of manmade Zelkova serrata stands in Tokyo University Forest in Chiba [in Japanese with English abstract]. Bulletin of the Tokyo University Forests 82: 113-129.","Suzuki1990"
"Ishihara0000","Japan-Chiba Forest of Tokyo University, Koyano-sawa-Compartment 8, D2",35.2,140.1,"TempF",NA,NA,NA,NA,"Zelkova serrata","Ulmaceae","DA",NA,57.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20.6,NA,NA,0.25,NA,NA,3.71,NA,NA,NA,239.7,260.75,17.34,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"PM",NA,NA,"Suzuki, M; Tange, T; Suzuki, T; Suzuki, S. (1990) Growth and biomass of manmade Zelkova serrata stands in Tokyo University Forest in Chiba [in Japanese with English abstract]. Bulletin of the Tokyo University Forests 82: 113-129.","Suzuki1990"
"Ishihara0000","Japan-Chiba Forest of Tokyo University, Koyano-sawa-Compartment 8, D2",35.2,140.1,"TempF",NA,NA,NA,NA,"Zelkova serrata","Ulmaceae","DA",NA,17.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20.4,NA,NA,0.155,NA,NA,0.99,NA,NA,NA,115.69,130.53,13.85,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"PM",NA,NA,"Suzuki, M; Tange, T; Suzuki, T; Suzuki, S. (1990) Growth and biomass of manmade Zelkova serrata stands in Tokyo University Forest in Chiba [in Japanese with English abstract]. Bulletin of the Tokyo University Forests 82: 113-129.","Suzuki1990"
"Ishihara0000","Japan-Chiba Forest of Tokyo University, Koyano-sawa-Compartment 8, D2",35.2,140.1,"TempF",NA,NA,NA,NA,"Zelkova serrata","Ulmaceae","DA",NA,15.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,19.7,NA,NA,0.16,NA,NA,0.77,NA,NA,NA,107.18,114.85,6.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"PM",NA,NA,"Suzuki, M; Tange, T; Suzuki, T; Suzuki, S. (1990) Growth and biomass of manmade Zelkova serrata stands in Tokyo University Forest in Chiba [in Japanese with English abstract]. Bulletin of the Tokyo University Forests 82: 113-129.","Suzuki1990"
"Ishihara0000","Japan-Chiba Forest of Tokyo University, Koyano-sawa-Compartment 8, D2",35.2,140.1,"TempF",NA,NA,NA,NA,"Zelkova serrata","Ulmaceae","DA",NA,38.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17.7,NA,NA,0.15,NA,NA,1.38,NA,NA,NA,83.8,93.7,8.52,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"PM",NA,NA,"Suzuki, M; Tange, T; Suzuki, T; Suzuki, S. (1990) Growth and biomass of manmade Zelkova serrata stands in Tokyo University Forest in Chiba [in Japanese with English abstract]. Bulletin of the Tokyo University Forests 82: 113-129.","Suzuki1990"
"Ishihara0000","Japan-Chiba Forest of Tokyo University, Koyano-sawa-Compartment 8, D2",35.2,140.1,"TempF",NA,NA,NA,NA,"Zelkova serrata","Ulmaceae","DA",NA,13.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.8,NA,NA,0.08,NA,NA,0.5,NA,NA,NA,14.22,18.63,3.91,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"PM",NA,NA,"Suzuki, M; Tange, T; Suzuki, T; Suzuki, S. (1990) Growth and biomass of manmade Zelkova serrata stands in Tokyo University Forest in Chiba [in Japanese with English abstract]. Bulletin of the Tokyo University Forests 82: 113-129.","Suzuki1990"
