contributor,family,species,age (months),total height (cm),stem diameter at base (mm),leaf area (cm2),total leaf mass (g),total root mass (g),stem mass (g),Single leaf area (cm2),lma (g cm-2),Plant functional type,Growing condition,Status,Light,Other notes about growing conditions,Location,Lat,Long,Vegetation,map,mat,reference
Baltzer 2007,Ulmaceae,UA,4,8.2,1.29,21.31,0.0801,0.0779,0.0373,,,DA,GH,3,L,N,"Toronto, ON",43.6481 N,79.4042 W,TempF,,,Baltzer and Thomas. 2007. Oecologia 153: 452
Baltzer 2007,Ulmaceae,UA,4,3.1,0.75,4,0.0232,0.0126,0.01,,,DA,GH,3,L,N,"Toronto, ON",43.6481 N,79.4042 W,TempF,,,Baltzer and Thomas. 2007. Oecologia 153: 453
Baltzer 2007,Ulmaceae,UA,4,4.6,1.45,6.71,0.0431,0.0451,0.0281,,,DA,GH,3,L,N,"Toronto, ON",43.6481 N,79.4042 W,TempF,,,Baltzer and Thomas. 2007. Oecologia 153: 454
Baltzer 2007,Ulmaceae,UA,4,10.1,2.54,72.06,0.2897,0.3948,0.1072,,,DA,GH,3,L,N,"Toronto, ON",43.6481 N,79.4042 W,TempF,,,Baltzer and Thomas. 2007. Oecologia 153: 455
Baltzer 2007,Ulmaceae,UA,4,4.1,0.89,2.54,0.0113,0.0186,0.0109,,,DA,GH,3,L,N,"Toronto, ON",43.6481 N,79.4042 W,TempF,,,Baltzer and Thomas. 2007. Oecologia 153: 456
Baltzer 2007,Ulmaceae,UA,4,3.9,1.16,5.13,0.0101,0.0259,0.0185,,,DA,GH,3,S,C,"Toronto, ON",43.6481 N,79.4042 W,TempF,,,Baltzer and Thomas. 2007. Oecologia 153: 457
Baltzer 2007,Ulmaceae,UA,4,6.3,0.85,5.4,0.0124,0.0116,0.0113,,,DA,GH,3,S,C,"Toronto, ON",43.6481 N,79.4042 W,TempF,,,Baltzer and Thomas. 2007. Oecologia 153: 458
Baltzer 2007,Ulmaceae,UA,4,5.1,0.95,8.32,0.0196,0.0206,0.013,,,DA,GH,3,S,C,"Toronto, ON",43.6481 N,79.4042 W,TempF,,,Baltzer and Thomas. 2007. Oecologia 153: 459
Baltzer 2007,Ulmaceae,UA,4,4.9,0.77,2.93,0.0067,0.0034,0.0061,,,DA,GH,3,S,C,"Toronto, ON",43.6481 N,79.4042 W,TempF,,,Baltzer and Thomas. 2007. Oecologia 153: 460
Baltzer 2007,Ulmaceae,UA,4,4.7,0.93,3.49,0.0074,0.0069,0.0101,,,DA,GH,3,S,C,"Toronto, ON",43.6481 N,79.4042 W,TempF,,,Baltzer and Thomas. 2007. Oecologia 153: 461
Baltzer 2007,Ulmaceae,UA,4,5.6,0.91,4.83,0.0109,0.0184,0.0089,,,DA,GH,3,S,C,"Toronto, ON",43.6481 N,79.4042 W,TempF,,,Baltzer and Thomas. 2007. Oecologia 153: 462
Baltzer 2007,Ulmaceae,UA,4,5.1,1.26,4.55,0.0123,0.0256,0.0148,,,DA,GH,3,S,N,"Toronto, ON",43.6481 N,79.4042 W,TempF,,,Baltzer and Thomas. 2007. Oecologia 153: 463
Baltzer 2007,Ulmaceae,UA,4,5.3,0.83,2.03,0.0057,0.0049,0.0107,,,DA,GH,3,S,N,"Toronto, ON",43.6481 N,79.4042 W,TempF,,,Baltzer and Thomas. 2007. Oecologia 153: 464
Baltzer 2007,Ulmaceae,UA,4,4.4,0.92,9.16,0.023,0.0268,0.0145,,,DA,GH,3,S,N,"Toronto, ON",43.6481 N,79.4042 W,TempF,,,Baltzer and Thomas. 2007. Oecologia 153: 465
Baltzer 2007,Ulmaceae,UA,4,3.7,0.5,4.98,0.019,0.0087,0.0121,,,DA,GH,3,S,N,"Toronto, ON",43.6481 N,79.4042 W,TempF,,,Baltzer and Thomas. 2007. Oecologia 153: 466
Baltzer 2007,Ulmaceae,UA,4,5.4,1.22,9.37,0.0196,0.0138,0.0081,,,DA,GH,3,S,N,"Toronto, ON",43.6481 N,79.4042 W,TempF,,,Baltzer and Thomas. 2007. Oecologia 153: 467
Baltzer 2007,Aceraceae,AR,6,4.2,2.14,8.56,0.0387,0.1074,0.0252,1.4,,DA,GH,3,L,C,"Toronto, ON",43.6481 N,79.4042 W,TempF,,,Baltzer and Thomas. 2007. Oecologia 153: 468
Baltzer 2007,Aceraceae,AR,6,3.2,1.64,12.04,0.05,0.0977,0.0277,2.14,,DA,GH,3,L,C,"Toronto, ON",43.6481 N,79.4042 W,TempF,,,Baltzer and Thomas. 2007. Oecologia 153: 469
Baltzer 2007,Aceraceae,AR,6,3.6,2.16,7.58,0.0274,0.1101,0.0421,2.6,,DA,GH,3,L,C,"Toronto, ON",43.6481 N,79.4042 W,TempF,,,Baltzer and Thomas. 2007. Oecologia 153: 470
Baltzer 2007,Aceraceae,AR,6,5.2,1.3,5.14,0.0224,0.0696,0.0481,,,DA,GH,3,L,C,"Toronto, ON",43.6481 N,79.4042 W,TempF,,,Baltzer and Thomas. 2007. Oecologia 153: 471
Baltzer 2007,Aceraceae,AR,6,4,1.63,5.75,0.0118,0.0817,0.0288,,,DA,GH,3,L,C,"Toronto, ON",43.6481 N,79.4042 W,TempF,,,Baltzer and Thomas. 2007. Oecologia 153: 472
Baltzer 2007,Aceraceae,AR,6,5.8,2.96,91,0.2954,0.3359,0.1175,12.9,0.3498,DA,GH,3,L,C,"Toronto, ON",43.6481 N,79.4042 W,TempF,,,Baltzer and Thomas. 2007. Oecologia 153: 473
Baltzer 2007,Aceraceae,AR,6,3.7,1.64,5.35,0.0244,0.0892,0.0307,,,DA,GH,3,L,C,"Toronto, ON",43.6481 N,79.4042 W,TempF,,,Baltzer and Thomas. 2007. Oecologia 153: 474
Baltzer 2007,Aceraceae,AR,6,5.4,2.85,55.6,0.2278,0.544,0.1786,3.21,0.0046,DA,GH,3,L,C,"Toronto, ON",43.6481 N,79.4042 W,TempF,,,Baltzer and Thomas. 2007. Oecologia 153: 475
Baltzer 2007,Aceraceae,AR,6,3.4,1.83,8.89,0.0357,0.0974,0.0346,4.19,,DA,GH,3,L,C,"Toronto, ON",43.6481 N,79.4042 W,TempF,,,Baltzer and Thomas. 2007. Oecologia 153: 476
Baltzer 2007,Aceraceae,AR,6,4.7,2.26,17.25,0.0687,0.1564,0.0619,4.76,0.0043,DA,GH,3,L,C,"Toronto, ON",43.6481 N,79.4042 W,TempF,,,Baltzer and Thomas. 2007. Oecologia 153: 477
Baltzer 2007,Aceraceae,AR,6,3.6,0.19,18.42,0.0727,0.1781,0.0432,4.95,,DA,GH,3,L,C,"Toronto, ON",43.6481 N,79.4042 W,TempF,,,Baltzer and Thomas. 2007. Oecologia 153: 478
Baltzer 2007,Aceraceae,AR,6,3.7,1.87,10.3,0.0425,0.0723,0.0265,2.23,,DA,GH,3,L,C,"Toronto, ON",43.6481 N,79.4042 W,TempF,,,Baltzer and Thomas. 2007. Oecologia 153: 479
Baltzer 2007,Aceraceae,AR,6,4.4,1.41,6.91,0.0294,0.0902,0.0372,2.65,,DA,GH,3,L,C,"Toronto, ON",43.6481 N,79.4042 W,TempF,,,Baltzer and Thomas. 2007. Oecologia 153: 480
Baltzer 2007,Aceraceae,AR,6,4.6,1.27,10.13,0.0335,0.0453,0.0349,2.42,,DA,GH,3,L,C,"Toronto, ON",43.6481 N,79.4042 W,TempF,,,Baltzer and Thomas. 2007. Oecologia 153: 481
Baltzer 2007,Aceraceae,AR,6,9.1,4.58,195.17,0.8338,0.9049,0.2821,19.36,,DA,GH,3,L,N,"Toronto, ON",43.6481 N,79.4042 W,TempF,,,Baltzer and Thomas. 2007. Oecologia 153: 482
Baltzer 2007,Aceraceae,AR,6,3.4,1.45,5.07,0.0208,0.0902,0.0252,,,DA,GH,3,L,N,"Toronto, ON",43.6481 N,79.4042 W,TempF,,,Baltzer and Thomas. 2007. Oecologia 153: 483
Baltzer 2007,Aceraceae,AR,6,3.4,1.45,7.36,0.0264,0.0575,0.0244,,,DA,GH,3,L,N,"Toronto, ON",43.6481 N,79.4042 W,TempF,,,Baltzer and Thomas. 2007. Oecologia 153: 484
Baltzer 2007,Aceraceae,AR,6,3.6,2.98,20.22,0.0815,0.1537,0.0606,2.82,,DA,GH,3,L,N,"Toronto, ON",43.6481 N,79.4042 W,TempF,,,Baltzer and Thomas. 2007. Oecologia 153: 485
Baltzer 2007,Aceraceae,AR,6,12.8,5.07,172.29,0.6264,0.9097,0.3468,12.08,,DA,GH,3,L,N,"Toronto, ON",43.6481 N,79.4042 W,TempF,,,Baltzer and Thomas. 2007. Oecologia 153: 486
Baltzer 2007,Aceraceae,AR,6,6.2,3.63,74.24,0.3114,0.3502,0.1845,,,DA,GH,3,L,N,"Toronto, ON",43.6481 N,79.4042 W,TempF,,,Baltzer and Thomas. 2007. Oecologia 153: 487
Baltzer 2007,Aceraceae,AR,6,3.5,2.82,11.28,0.0477,0.1131,0.0352,,,DA,GH,3,L,N,"Toronto, ON",43.6481 N,79.4042 W,TempF,,,Baltzer and Thomas. 2007. Oecologia 153: 488
Baltzer 2007,Aceraceae,AR,6,3.8,1.55,10.3,0.0383,0.1182,0.0246,,,DA,GH,3,L,N,"Toronto, ON",43.6481 N,79.4042 W,TempF,,,Baltzer and Thomas. 2007. Oecologia 153: 489
Baltzer 2007,Aceraceae,AR,6,2.8,1.76,3.47,0.0149,0.0735,0.0225,,,DA,GH,3,L,N,"Toronto, ON",43.6481 N,79.4042 W,TempF,,,Baltzer and Thomas. 2007. Oecologia 153: 490
Baltzer 2007,Aceraceae,AR,6,5.3,3.05,36.31,0.1134,0.1342,0.0553,9.69,,DA,GH,3,L,N,"Toronto, ON",43.6481 N,79.4042 W,TempF,,,Baltzer and Thomas. 2007. Oecologia 153: 491
Baltzer 2007,Aceraceae,AR,6,4.8,1.92,18.49,0.0645,0.1041,0.032,5.62,,DA,GH,3,L,N,"Toronto, ON",43.6481 N,79.4042 W,TempF,,,Baltzer and Thomas. 2007. Oecologia 153: 492
Baltzer 2007,Aceraceae,AR,6,9.4,2.31,236.81,0.9579,0.8283,0.4444,28.3,0.0043,DA,GH,3,L,N,"Toronto, ON",43.6481 N,79.4042 W,TempF,,,Baltzer and Thomas. 2007. Oecologia 153: 493
Baltzer 2007,Aceraceae,AR,6,7.3,1.95,202.1,0.6375,0.2983,0.1758,20.07,0.0035,DA,GH,3,L,N,"Toronto, ON",43.6481 N,79.4042 W,TempF,,,Baltzer and Thomas. 2007. Oecologia 153: 494
Baltzer 2007,Aceraceae,AR,6,4.6,2.88,37.36,0.1354,0.2406,0.0903,9.02,,DA,GH,3,L,N,"Toronto, ON",43.6481 N,79.4042 W,TempF,,,Baltzer and Thomas. 2007. Oecologia 153: 495
Baltzer 2007,Aceraceae,AR,6,6.5,2.23,190.78,0.671,0.3703,0.1569,18.6,0.0033,DA,GH,3,L,N,"Toronto, ON",43.6481 N,79.4042 W,TempF,,,Baltzer and Thomas. 2007. Oecologia 153: 496
Baltzer 2007,Aceraceae,AR,6,5.2,2.19,49.53,0.165,0.1029,0.0417,,,DA,GH,3,L,N,"Toronto, ON",43.6481 N,79.4042 W,TempF,,,Baltzer and Thomas. 2007. Oecologia 153: 497
Baltzer 2007,Aceraceae,AR,6,6.2,3.01,44.34,0.2055,0.3163,0.1276,8.81,0.0024,DA,GH,3,L,N,"Toronto, ON",43.6481 N,79.4042 W,TempF,,,Baltzer and Thomas. 2007. Oecologia 153: 498
Baltzer 2007,Aceraceae,AR,6,2.6,0.93,3.16,0.0058,0.0055,0.0084,,,DA,GH,3,S,C,"Toronto, ON",43.6481 N,79.4042 W,TempF,,,Baltzer and Thomas. 2007. Oecologia 153: 499
Baltzer 2007,Aceraceae,AR,6,5,0.82,4.81,0.0095,0.0091,0.111,1.76,0.003,DA,GH,3,S,C,"Toronto, ON",43.6481 N,79.4042 W,TempF,,,Baltzer and Thomas. 2007. Oecologia 153: 500
Baltzer 2007,Aceraceae,AR,6,5.3,0.96,7.35,0.018,0.0184,0.0218,,,DA,GH,3,S,C,"Toronto, ON",43.6481 N,79.4042 W,TempF,,,Baltzer and Thomas. 2007. Oecologia 153: 501
Baltzer 2007,Aceraceae,AR,6,6.2,0.79,3.61,0.0067,0.005,0.012,,,DA,GH,3,S,C,"Toronto, ON",43.6481 N,79.4042 W,TempF,,,Baltzer and Thomas. 2007. Oecologia 153: 502
Baltzer 2007,Aceraceae,AR,6,5.1,0.63,3.15,0.0066,0.0085,0.0114,1.5,0.0026,DA,GH,3,S,C,"Toronto, ON",43.6481 N,79.4042 W,TempF,,,Baltzer and Thomas. 2007. Oecologia 153: 503
Baltzer 2007,Aceraceae,AR,6,4.2,1.61,20.4,0.0451,0.0462,0.0304,5.94,0.0023,DA,GH,3,S,C,"Toronto, ON",43.6481 N,79.4042 W,TempF,,,Baltzer and Thomas. 2007. Oecologia 153: 504
Baltzer 2007,Aceraceae,AR,6,1.78,5.8,32.98,0.0771,0.0681,0.0505,3.98,0.0025,DA,GH,3,S,C,"Toronto, ON",43.6481 N,79.4042 W,TempF,,,Baltzer and Thomas. 2007. Oecologia 153: 505
Baltzer 2007,Aceraceae,AR,6,4.4,0.75,1.9,0.0039,0.0031,0.0055,0.95,,DA,GH,3,S,C,"Toronto, ON",43.6481 N,79.4042 W,TempF,,,Baltzer and Thomas. 2007. Oecologia 153: 506
Baltzer 2007,Aceraceae,AR,6,2.3,0.94,3.67,0.008,0.0043,0.0073,,,DA,GH,3,S,N,"Toronto, ON",43.6481 N,79.4042 W,TempF,,,Baltzer and Thomas. 2007. Oecologia 153: 507
Baltzer 2007,Aceraceae,AR,6,5.1,1.22,,0.0074,0.0167,0.0182,,,DA,GH,3,S,N,"Toronto, ON",43.6481 N,79.4042 W,TempF,,,Baltzer and Thomas. 2007. Oecologia 153: 508
Baltzer 2007,Aceraceae,AR,6,5.1,0.97,5.47,0.0142,0.0142,0.0212,2.6,,DA,GH,3,S,N,"Toronto, ON",43.6481 N,79.4042 W,TempF,,,Baltzer and Thomas. 2007. Oecologia 153: 509
Baltzer 2007,Aceraceae,AS,6,5,2.45,45.67,0.288,0.1382,0.079,26.4,0.0028,DA,GH,3,L,C,"Toronto, ON",43.6481 N,79.4042 W,TempF,,,Baltzer and Thomas. 2007. Oecologia 153: 510
Baltzer 2007,Aceraceae,AS,6,6,2.6,45.18,0.205,0.6445,0.0811,,,DA,GH,3,L,C,"Toronto, ON",43.6481 N,79.4042 W,TempF,,,Baltzer and Thomas. 2007. Oecologia 153: 511
Baltzer 2007,Aceraceae,AS,6,5.2,2.41,31.96,0.1322,0.3437,0.0688,,,DA,GH,3,L,C,"Toronto, ON",43.6481 N,79.4042 W,TempF,,,Baltzer and Thomas. 2007. Oecologia 153: 512
Baltzer 2007,Aceraceae,AS,6,5.5,2.25,35.87,0.1692,0.6224,0.0846,,,DA,GH,3,L,C,"Toronto, ON",43.6481 N,79.4042 W,TempF,,,Baltzer and Thomas. 2007. Oecologia 153: 513
Baltzer 2007,Aceraceae,AS,6,5,2.2,32.74,0.1359,0.4276,0.0711,,,DA,GH,3,L,C,"Toronto, ON",43.6481 N,79.4042 W,TempF,,,Baltzer and Thomas. 2007. Oecologia 153: 514
Baltzer 2007,Aceraceae,AS,6,4.7,2,26.85,0.1398,0.1512,0.0425,13.8,,DA,GH,3,L,C,"Toronto, ON",43.6481 N,79.4042 W,TempF,,,Baltzer and Thomas. 2007. Oecologia 153: 515
Baltzer 2007,Aceraceae,AS,6,5.4,1.98,23.73,0.101,0.4991,0.0825,11.67,0.0041,DA,GH,3,L,C,"Toronto, ON",43.6481 N,79.4042 W,TempF,,,Baltzer and Thomas. 2007. Oecologia 153: 516
Baltzer 2007,Aceraceae,AS,6,3.4,2.1,40.62,0.1029,0.702,0.0631,21.09,0.0095,DA,GH,3,L,C,"Toronto, ON",43.6481 N,79.4042 W,TempF,,,Baltzer and Thomas. 2007. Oecologia 153: 517
Baltzer 2007,Aceraceae,AS,6,5.7,2.56,44.83,0.2238,0.518,0.1149,22.32,,DA,GH,3,L,C,"Toronto, ON",43.6481 N,79.4042 W,TempF,,,Baltzer and Thomas. 2007. Oecologia 153: 518
Baltzer 2007,Aceraceae,AS,6,5.8,1.62,22.23,0.1025,0.1919,0.0676,11.37,,DA,GH,3,L,C,"Toronto, ON",43.6481 N,79.4042 W,TempF,,,Baltzer and Thomas. 2007. Oecologia 153: 519
Baltzer 2007,Aceraceae,AS,6,4.8,2.93,35.47,0.1925,0.6669,0.0915,18.13,0.0056,DA,GH,3,L,C,"Toronto, ON",43.6481 N,79.4042 W,TempF,,,Baltzer and Thomas. 2007. Oecologia 153: 520
Baltzer 2007,Aceraceae,AS,6,4.9,1.42,27.38,0.1456,0.0573,0.0557,,,DA,GH,3,L,N,"Toronto, ON",43.6481 N,79.4042 W,TempF,,,Baltzer and Thomas. 2007. Oecologia 153: 521
Baltzer 2007,Aceraceae,AS,6,6.1,1.68,28.02,0.1117,0.2237,0.0533,14.13,,DA,GH,3,L,N,"Toronto, ON",43.6481 N,79.4042 W,TempF,,,Baltzer and Thomas. 2007. Oecologia 153: 522
Baltzer 2007,Aceraceae,AS,6,5.8,2.93,70.58,0.3832,1.3674,0.1701,11.14,0.0064,DA,GH,3,L,N,"Toronto, ON",43.6481 N,79.4042 W,TempF,,,Baltzer and Thomas. 2007. Oecologia 153: 523
Baltzer 2007,Aceraceae,AS,6,4.7,2.17,43.02,0.1375,0.3255,0.0823,,,DA,GH,3,L,N,"Toronto, ON",43.6481 N,79.4042 W,TempF,,,Baltzer and Thomas. 2007. Oecologia 153: 524
Baltzer 2007,Aceraceae,AS,6,5.6,2.4,34.44,0.1812,0.5758,0.1073,17.47,0.0051,DA,GH,3,L,N,"Toronto, ON",43.6481 N,79.4042 W,TempF,,,Baltzer and Thomas. 2007. Oecologia 153: 525
Baltzer 2007,Aceraceae,AS,6,4.9,1.69,24.29,0.1255,0.0846,0.0593,12.3,,DA,GH,3,L,N,"Toronto, ON",43.6481 N,79.4042 W,TempF,,,Baltzer and Thomas. 2007. Oecologia 153: 526
Baltzer 2007,Aceraceae,AS,6,5,2.05,33.45,0.1681,0.4402,0.0734,17.78,,DA,GH,3,L,N,"Toronto, ON",43.6481 N,79.4042 W,TempF,,,Baltzer and Thomas. 2007. Oecologia 153: 527
Baltzer 2007,Aceraceae,AS,6,6.1,2.1,29.36,0.1409,0.347,0.0897,13.63,0.0046,DA,GH,3,L,N,"Toronto, ON",43.6481 N,79.4042 W,TempF,,,Baltzer and Thomas. 2007. Oecologia 153: 528
Baltzer 2007,Aceraceae,AS,6,6.2,2.09,17.07,0.0822,0.2218,0.0567,,,DA,GH,3,L,N,"Toronto, ON",43.6481 N,79.4042 W,TempF,,,Baltzer and Thomas. 2007. Oecologia 153: 529
Baltzer 2007,Aceraceae,AS,6,5.5,1.94,36.9,0.2181,0.1204,0.0822,,,DA,GH,3,L,N,"Toronto, ON",43.6481 N,79.4042 W,TempF,,,Baltzer and Thomas. 2007. Oecologia 153: 530
Baltzer 2007,Aceraceae,AS,6,5.1,2.76,40.28,0.1825,0.6424,0.0884,20.3,,DA,GH,3,L,N,"Toronto, ON",43.6481 N,79.4042 W,TempF,,,Baltzer and Thomas. 2007. Oecologia 153: 531
Baltzer 2007,Aceraceae,AS,6,7.7,0.87,12.43,0.035,0.0191,0.0218,,,DA,GH,3,S,C,"Toronto, ON",43.6481 N,79.4042 W,TempF,,,Baltzer and Thomas. 2007. Oecologia 153: 532
Baltzer 2007,Aceraceae,AS,6,6.8,2.13,20.86,0.0659,0.1127,0.0841,10.41,,DA,GH,3,S,C,"Toronto, ON",43.6481 N,79.4042 W,TempF,,,Baltzer and Thomas. 2007. Oecologia 153: 533
Baltzer 2007,Aceraceae,AS,6,5.5,1.2,12.21,0.0309,0.031,0.0258,,,DA,GH,3,S,C,"Toronto, ON",43.6481 N,79.4042 W,TempF,,,Baltzer and Thomas. 2007. Oecologia 153: 534
Baltzer 2007,Aceraceae,AS,6,6.6,1.72,12.44,0.04,0.1116,0.0595,,,DA,GH,3,S,C,"Toronto, ON",43.6481 N,79.4042 W,TempF,,,Baltzer and Thomas. 2007. Oecologia 153: 535
Baltzer 2007,Aceraceae,AS,6,7.6,1.84,13.01,0.0414,0.0916,0.0551,6.74,0.0033,DA,GH,3,S,C,"Toronto, ON",43.6481 N,79.4042 W,TempF,,,Baltzer and Thomas. 2007. Oecologia 153: 536
Baltzer 2007,Aceraceae,AS,6,3.7,2.07,16.92,0.0598,0.1008,0.042,7.27,0.0032,DA,GH,3,S,C,"Toronto, ON",43.6481 N,79.4042 W,TempF,,,Baltzer and Thomas. 2007. Oecologia 153: 537
Baltzer 2007,Aceraceae,AS,6,6.1,1.75,19.08,0.0586,0.1209,0.0751,9.32,0.0032,DA,GH,3,S,C,"Toronto, ON",43.6481 N,79.4042 W,TempF,,,Baltzer and Thomas. 2007. Oecologia 153: 538
Baltzer 2007,Aceraceae,AS,6,4.3,1.72,17.08,0.0592,0.1214,0.0392,8.2,0.0034,DA,GH,3,S,N,"Toronto, ON",43.6481 N,79.4042 W,TempF,,,Baltzer and Thomas. 2007. Oecologia 153: 539
Baltzer 2007,Aceraceae,AS,6,6.1,1.84,17.63,0.0533,0.1513,0.0565,8.77,0.003,DA,GH,3,S,N,"Toronto, ON",43.6481 N,79.4042 W,TempF,,,Baltzer and Thomas. 2007. Oecologia 153: 540
Baltzer 2007,Aceraceae,AS,6,5.7,1.46,19.75,0.0581,0.0283,0.0344,4.02,0.003,DA,GH,3,S,N,"Toronto, ON",43.6481 N,79.4042 W,TempF,,,Baltzer and Thomas. 2007. Oecologia 153: 541
Baltzer 2007,Aceraceae,AS,6,6.3,2.62,17.17,0.0569,0.1918,0.0742,,,DA,GH,3,S,N,"Toronto, ON",43.6481 N,79.4042 W,TempF,,,Baltzer and Thomas. 2007. Oecologia 153: 542
Baltzer 2007,Aceraceae,AS,6,6.3,1.49,12.13,0.0324,0.0607,0.0391,4.02,,DA,GH,3,S,N,"Toronto, ON",43.6481 N,79.4042 W,TempF,,,Baltzer and Thomas. 2007. Oecologia 153: 543
Baltzer 2007,Aceraceae,AS,6,5.8,1.39,8.88,0.0267,0.0381,0.036,4.31,,DA,GH,3,S,N,"Toronto, ON",43.6481 N,79.4042 W,TempF,,,Baltzer and Thomas. 2007. Oecologia 153: 544
Baltzer 2007,Betulaceae,BA,6,1.7,0.93,,0.007,0.0125,0.0078,1.34,,DA,GH,3,L,C,"Toronto, ON",43.6481 N,79.4042 W,TempF,,,Baltzer and Thomas. 2007. Oecologia 153: 545
Baltzer 2007,Betulaceae,BA,6,5.2,2.22,110.46,0.4059,0.3833,0.1171,25.88,0.0036,DA,GH,3,L,C,"Toronto, ON",43.6481 N,79.4042 W,TempF,,,Baltzer and Thomas. 2007. Oecologia 153: 546
Baltzer 2007,Betulaceae,BA,6,6.9,2.11,101.89,0.2487,0.4178,0.1435,18.26,0.003,DA,GH,3,L,C,"Toronto, ON",43.6481 N,79.4042 W,TempF,,,Baltzer and Thomas. 2007. Oecologia 153: 548
Baltzer 2007,Betulaceae,BA,6,2.2,1.11,1.31,0.0071,0.0111,0.0083,,,DA,GH,3,L,C,"Toronto, ON",43.6481 N,79.4042 W,TempF,,,Baltzer and Thomas. 2007. Oecologia 153: 549
Baltzer 2007,Betulaceae,BA,6,2.2,0.78,1.77,0.0065,0.0052,0.0064,,,DA,GH,3,L,C,"Toronto, ON",43.6481 N,79.4042 W,TempF,,,Baltzer and Thomas. 2007. Oecologia 153: 550
Baltzer 2007,Betulaceae,BA,6,1.4,0.92,1.24,0.0072,0.0071,0.1578,,,DA,GH,3,L,C,"Toronto, ON",43.6481 N,79.4042 W,TempF,,,Baltzer and Thomas. 2007. Oecologia 153: 551
Baltzer 2007,Betulaceae,BA,6,1.8,0.76,0.94,0.0046,0.2755,0.112,,,DA,GH,3,L,C,"Toronto, ON",43.6481 N,79.4042 W,TempF,,,Baltzer and Thomas. 2007. Oecologia 153: 552
Baltzer 2007,Betulaceae,BA,6,7.7,2.96,41.16,0.145,0.2248,0.0008,13.54,0.0041,DA,GH,3,L,C,"Toronto, ON",43.6481 N,79.4042 W,TempF,,,Baltzer and Thomas. 2007. Oecologia 153: 553
Baltzer 2007,Betulaceae,BA,6,2.2,0.49,0.57,0.0018,0.0062,0.0047,,,DA,GH,3,L,C,"Toronto, ON",43.6481 N,79.4042 W,TempF,,,Baltzer and Thomas. 2007. Oecologia 153: 554
Baltzer 2007,Betulaceae,BA,6,2.1,0.86,2.81,0.0084,0.0124,0.0062,1.24,,DA,GH,3,L,C,"Toronto, ON",43.6481 N,79.4042 W,TempF,,,Baltzer and Thomas. 2007. Oecologia 153: 555
Baltzer 2007,Betulaceae,BA,6,1.7,1.6,0.74,0.0027,0.007,0.0349,,,DA,GH,3,L,C,"Toronto, ON",43.6481 N,79.4042 W,TempF,,,Baltzer and Thomas. 2007. Oecologia 153: 556
Baltzer 2007,Betulaceae,BA,6,3.5,2.35,12.22,0.0503,0.0812,0.0127,3.83,,DA,GH,3,L,C,"Toronto, ON",43.6481 N,79.4042 W,TempF,,,Baltzer and Thomas. 2007. Oecologia 153: 557
Baltzer 2007,Betulaceae,BA,6,1.3,1.11,2.73,0.0103,0.0149,0.445,0.96,,DA,GH,3,L,C,"Toronto, ON",43.6481 N,79.4042 W,TempF,,,Baltzer and Thomas. 2007. Oecologia 153: 558
Baltzer 2007,Betulaceae,BA,6,,,204.2,0.7693,0.8822,0.0203,26.87,,DA,GH,3,L,C,"Toronto, ON",43.6481 N,79.4042 W,TempF,,,Baltzer and Thomas. 2007. Oecologia 153: 559
Baltzer 2007,Betulaceae,BA,6,3.2,1.61,8.19,0.0289,0.0341,0.0076,3.46,,DA,GH,3,L,C,"Toronto, ON",43.6481 N,79.4042 W,TempF,,,Baltzer and Thomas. 2007. Oecologia 153: 560
Baltzer 2007,Betulaceae,BA,6,1.8,1.2,1.95,0.0076,0.0202,0.0069,,,DA,GH,3,L,C,"Toronto, ON",43.6481 N,79.4042 W,TempF,,,Baltzer and Thomas. 2007. Oecologia 153: 561
Baltzer 2007,Betulaceae,BA,6,1.3,1.16,0.64,0.0032,0.0077,0.0082,0.64,,DA,GH,3,L,C,"Toronto, ON",43.6481 N,79.4042 W,TempF,,,Baltzer and Thomas. 2007. Oecologia 153: 562
Baltzer 2007,Betulaceae,BA,6,2,0.7,1.47,0.004,0.01,0.0212,,,DA,GH,3,L,C,"Toronto, ON",43.6481 N,79.4042 W,TempF,,,Baltzer and Thomas. 2007. Oecologia 153: 563
Baltzer 2007,Betulaceae,BA,6,1.8,1.45,2.34,0.012,0.03,0.0171,,,DA,GH,3,L,N,"Toronto, ON",43.6481 N,79.4042 W,TempF,,,Baltzer and Thomas. 2007. Oecologia 153: 564
Baltzer 2007,Betulaceae,BA,6,2.3,1.13,164.3,0.4634,0.2131,0.1687,42.04,0.0029,DA,GH,3,L,N,"Toronto, ON",43.6481 N,79.4042 W,TempF,,,Baltzer and Thomas. 2007. Oecologia 153: 565
Baltzer 2007,Betulaceae,BA,6,2.2,0.91,9.08,0.0192,0.0147,0.0124,,,DA,GH,3,L,N,"Toronto, ON",43.6481 N,79.4042 W,TempF,,,Baltzer and Thomas. 2007. Oecologia 153: 566
Baltzer 2007,Betulaceae,BA,6,1.2,1.04,6.03,0.0201,0.0145,0.0099,,,DA,GH,3,L,N,"Toronto, ON",43.6481 N,79.4042 W,TempF,,,Baltzer and Thomas. 2007. Oecologia 153: 567
Baltzer 2007,Betulaceae,BA,6,1.9,0.75,1.43,0.0065,0.0062,0.0056,,,DA,GH,3,L,N,"Toronto, ON",43.6481 N,79.4042 W,TempF,,,Baltzer and Thomas. 2007. Oecologia 153: 568
