Spp Abbrev,species,site,latitude,longitude,map,class,DBH,AGB,Ht,source,CD,BD,crown height,height below branch,volume,biomass wood,biomass bark,biomass branch,biomass leaf,leaf area,Sample,Soil
Eumel,Eucalyptus melanophloia,mitchel,-23,147,,2,5.888732894,10.08810396,4.2,H,,,,,,,,,,,,
Eumel,Eucalyptus melanophloia,mitchel,-23,147,,2,11.93662073,45.82633166,8.6,H,,,,,,,,,,,,
Eumel,Eucalyptus melanophloia,mitchel,-23,147,,2,15.43802948,139.491416,11.5,H,,,,,,,,,,,,
Eumel,Eucalyptus melanophloia,mitchel,-23,147,,2,26.32422759,539.8106088,15.2,H,,,,,,,,,,,,
Eumel,Eucalyptus melanophloia,mitchel,-23,147,,2,45.99577855,858.0149584,15.1,H,,,,,,,,,,,,
Eumel,Eucalyptus melanophloia,Summerdell,-23,146,,3,46.63239833,1871.766086,16.1,H,,,,,,,,,,,,
Eumel,Eucalyptus melanophloia,Summerdell,-23,146,,3,35.17324242,658.0499983,16.7,H,,,,,,,,,,,,
Eumel,Eucalyptus melanophloia,Summerdell,-23,146,,3,38.99296106,1188.763026,16.5,H,,,,,,,,,,,,
Eumel,Eucalyptus melanophloia,Summerdell,-23,146,,3,35.36422836,583.2282559,12.1,H,,,,,,,,,,,,
Eumel,Eucalyptus melanophloia,Summerdell,-23,146,,3,31.51267873,805.0059134,14.1,H,,,,,,,,,,,,
Eumel,Eucalyptus melanophloia,Summerdell,-23,146,,3,30.39859413,525.611667,13.1,H,,,,,,,,,,,,
Eumel,Eucalyptus melanophloia,Summerdell,-23,146,,3,29.44366447,548.6930356,15.3,H,,,,,,,,,,,,
Eumel,Eucalyptus melanophloia,Summerdell,-23,146,,3,28.87070668,588.4074576,16.9,H,,,,,,,,,,,,
Eumel,Eucalyptus melanophloia,Summerdell,-23,146,,3,27.53380515,380.5925618,15.75,H,,,,,,,,,,,,
Eumel,Eucalyptus melanophloia,Summerdell,-23,146,,3,21.48591732,256.4503189,13.4,H,,,,,,,,,,,,
Eumel,Eucalyptus melanophloia,Summerdell,-23,146,,3,20.37183272,178.771911,12.6,H,,,,,,,,,,,,
Eumel,Eucalyptus melanophloia,Summerdell,-23,146,,3,20.53098766,205.5508858,13.4,H,,,,,,,,,,,,
Eumel,Eucalyptus melanophloia,Summerdell,-23,146,,3,16.2338042,90.96120363,11.6,H,,,,,,,,,,,,
Eumel,Eucalyptus melanophloia,Summerdell,-23,146,,3,12.89155039,58.12928269,9.1,H,,,,,,,,,,,,
Eumel,Eucalyptus melanophloia,Summerdell,-23,146,,3,12.09577567,40.03876148,9.2,H,,,,,,,,,,,,
Eumel,Eucalyptus melanophloia,Summerdell,-23,146,,3,10.18591636,25.29358759,8.3,H,,,,,,,,,,,,
