No.,ht1 (cm),ht2 (cm),Delta t (days),Wood1 (g),Delta wood (g),Leaf1 (g),Delta leaf (g),Leaf area1 (cm2),Leaf area2 (cm2),Area/leaf (cm2),ISF,Wood2 (g),Leaf2 (g),species
5,150.3,151.7,334,129.69,1.66,16.35,5.72,3719,2347,650,0.0338,131.35,10.31821726,Tachigali
3,102.3,136.3,335,81.38,47.52,38.93,30.08,7930,12285,1021,0.0486,128.9,60.30959016,Tachigali
12,140,187.8,335,79.63,66.08,37.98,44.62,5067,8800,661,0.0872,145.71,65.96092362,Tachigali
4,96,101.9,335,77.78,9.22,26.25,13.99,5422,7552,963,0.026,87,36.56215419,Tachigali
10,120,121.2,334,65.16,2.34,28.39,6.38,5714,4230,642,0.0233,67.5,21.01674834,Tachigali
9,138.5,140.1,334,71.89,1.32,19.82,6.04,1912,2319,556,0.0194,73.21,24.03900628,Tachigali
7,125.8,126.7,334,87.96,-0.09,13.9,4.74,2560,3434,874,0.0244,87.87,18.64554688,Tachigali
11,172,197.5,335,187.42,29.14,21.74,45.48,3369,7051,881,0.1171,216.56,45.49977441,Tachigali
24,192,269.8,337,111.84,164.39,67.08,46.7,6810,10500,,0.1953,276.23,103.4273128,Protium panamensis
19,182.5,242.2,342,93.78,59.35,47.39,29.39,5400,7940,479,0.0488,153.13,69.68085185,Protium panamensis
20,141,204,342,63.41,122.77,22.25,66.46,2840,9650,687,0.1353,186.18,75.60299296,Protium panamensis
26,149,151.2,340,46.86,1.12,16.97,2.53,2740,1840,409,0.0429,47.98,11.39591241,Protium panamensis
1,143,145.6,340,34.3,1.9,23.06,3.22,3600,3470,503,0.0217,36.2,22.22727778,Protium panamensis
2,153.2,160.6,340,48.66,15.26,25.44,12.37,3850,5500,936,0.0386,63.92,36.34285714,Protium panamensis
4,134.6,143.3,340,48.85,3.56,18.36,6.96,2570,2150,487,0.0258,52.41,15.35953307,Protium panamensis
5,116.5,130.1,340,31.01,9.49,18.7,7.9,3110,3350,657,0.032,40.5,20.14308682,Protium panamensis
6b,161,165.4,340,63.77,5.04,26.33,9.82,4250,4250,817,0.043,68.81,26.33,Protium panamensis
8,104,108.6,340,25.09,3.52,27.2,6.3,3420,3200,396,0.0272,28.61,25.4502924,Protium panamensis
30,179,252.3,330,139.76,190.07,83.34,94.54,7920,13000,749,0.1376,329.83,136.7954545,Protium panamensis
