genus,species,total root mass (g),total stem mass (g),branch mass (g),branch mass + stem mass (g),total leaf mass (g),total leaf area (cm^2),individual leaf area (cm^2),height (cm),crown area (cm^2),crown height (cm),base diameter (mm)
Dipterocarpus,stellatus,12.7,17.4,5.07,,10.329,1867.949308,111.9431331,107,4490.2,47,8.048602363
Dipterocarpus,stellatus,23.7,46.4,11.2,,18.79,3708.115044,85.84702261,132,5091.51,47,11.84736258
Dipterocarpus,stellatus,0.203,0.511,0,,0.758,157.4478895,66.97063665,20,301.44,4,2.798213716
Dipterocarpus,stellatus,0.407,0.526,0,,1.04,227,44.1,25,328.13,8,3.09354166
Dipterocarpus,stellatus,0.469,0.999,0,,1.214,236.6978431,50.45895468,31,361.1,9,3.2
Dipterocarpus,stellatus,0.977,1.29,0,,1.997,406.5101883,56.38955653,37,417.62,16,4.049691346
Dipterocarpus,stellatus,2.07,2.68,0,,2.47,419.9,88.2,38,1004.8,14,4.69893605
Dipterocarpus,stellatus,3.36,3.61,0,,1.63,341,66.9113925,38,673.53,3,6.04814021
Dipterocarpus,stellatus,2.66,6.53,0,,1.47,264,61,75,527.52,4,6.399218702
Dipterocarpus,stellatus,4.84,5.75,0,,5.19,925.7536086,87.4025565,55,880.77,13,5.999166609
Dipterocarpus,tempehes,1.19,2.6,0.25,,1.535,335.0278267,45.73217145,51,791.28,4,5.623166368
Dipterocarpus,tempehes,1.28,1.81,0.382,,1.871,391.1129448,45.80716404,50,851.725,8,5.4
Dipterocarpus,tempehes,3.63,6.93,0.824,,2.73,532.6669656,52.88665244,80,769.3,30,6.648308055
Dipterocarpus,tempehes,4.53,5.35,1.14,,2.38,469.8213864,44.27825252,62,1248.935,25,6.5
Dipterocarpus,tempehes,4.25,5.02,1.23,,3.715,867.344298,40.76447451,50,1061.32,9,7.7
Dipterocarpus,tempehes,7.09,15.8,1.75,,7.67,1672.689059,86.10462217,93,1770.175,37,8.948742928
Dipterocarpus,tempehes,6.6,12.4,2.12,,10.42,1980.049226,96.00233227,97,2704.325,60,8.4
Dipterocarpus,tempehes,7.55,12.7,2.16,,6.6,1268.28955,59.43519327,83,2166.6,47,8.690799733
Dipterocarpus,tempehes,5.07,6.94,2.46,,6.05,1335.515274,84.46322176,70,1667.34,25,7.348469228
Dipterocarpus,tempehes,16.3,47.8,4.22,,7.91,1558.535847,73.73815586,122,3768,54,13.54252561
Dipterocarpus,tempehes,15.6,30.1,4.66,,9.554,1766.731746,125.7175854,137,4052.17,83,12.8
Dipterocarpus,tempehes,0.25,0.742,5.59,,0.849,188.2214756,75.59965953,31,541.65,3,3.4
Dipterocarpus,tempehes,9.87,27.8,6.74,,11.8,2533.501413,93.16236272,131,6124.57,75,11.1
Dipterocarpus,tempehes,15.9,34.2,7.48,,12.54,2303.885684,75.22338419,113,3957.185,57,13.5
Dipterocarpus,tempehes,16.7,29.6,8.3,,16.62,2875.742739,104.6506657,111,4526.31,53,11.44115379
Dipterocarpus,tempehes,0.586,1.13,0,,1.67,362,100,36,851.725,5,4
Dipterocarpus,tempehes,0.934,1.74,0,,2.67,483.2752412,82.50853978,38,541.65,3,5.096076922
