"","","","","","","lookupVariable","lookupValue","newVariable","newValue","source"
"1",1,1,1,1,1,NA,NA," growingCondition","FW ","from paper[D Barneche]"
"2",2,2,2,2,2,NA,NA," vegetation","TropRF","from paper[D Barneche]"
"3",3,3,3,3,3,NA,NA," pft","EA ","from paper[D Barneche]"
"4",4,4,4,4,4,NA,NA," location","Lambir Hills National Park, Sarawak, Malaysia ","from paper[D Barneche]"
"5",5,5,5,5,5,NA,NA," latitude","4.03 ","from paper[D Barneche]"
"6",6,6,6,6,6,NA,NA," longitude","113.83 ","from paper[D Barneche]"
"7",7,7,7,7,7,NA,NA," map","2700 ","from paper[D Barneche]"
"8",8,8,8,8,8,NA,NA," mat","26","from paper[D Barneche]"
