Replicate #,Species,Glasshouse#,CO2,H2O,Number of leaves,Leaf area (m2),Leaf mass (g),SLA (kg.m2),Aboveground mass (Leaves + Stems (g)),Main stem mass (g),Lateral Stem mass (g),Whole stem mass (g),Coarse root mass (g),Fine root mass (g),Whole root mass (g),Height (m),Basal diameter (mm),"Total biomass (Leaves, stems and roots (g))",Root_shoot ratio (g.g),Crown width (m),Root mass ratio (g.g),Stem mass ratio (g.g),Leaf mass ratio (g.g)
3,POP,2,Elevated,Low water,263,0.55796,93.61,5.960474308,199.21,34.6,71,105.6,82.5,70.6,153.1,1.49,14,352.31,0.768535716,1.38,0.434560472,0.299736028,0.2657035
4,POP,2,Elevated,High water,424,0.83253,191.49,4.347642175,319.59,47,81.1,128.1,166.9,116.7,283.6,1.2,15.8,603.19,0.887386965,1.27,0.470166946,0.212370895,0.31746216
5,POP,2,Elevated,High water,604,1.49144,277.8,5.3687545,552.6,50.7,224.1,274.8,248.9,325.6,574.5,1.27,24.7,1127.1,1.039630836,1.6,0.509715198,0.243811552,0.24647325
6,POP,2,Elevated,High water,387,0.80041,134.66,5.943932868,289.76,61.1,94,155.1,168.7,154.9,323.6,1.47,21.5,613.36,1.116786306,1.5,0.527585757,0.25286944,0.219544802
13,POP,3,Elevated,Low water,276,0.55868,90.49,6.173941872,241.09,43.7,106.9,150.6,80.1,93.6,173.7,1.62,13.3,414.79,0.72047783,1.59,0.418766123,0.363075291,0.218158586
14,POP,3,Elevated,Low water,382,0.80135,216.08,3.708580155,385.18,50,119.1,169.1,194,226.5,420.5,1.25,15.4,805.68,1.091697388,1.6,0.521919372,0.209884818,0.26819581
15,POP,3,Elevated,Low water,327,0.67912,119.97,5.66074852,258.97,51,88,139,211.7,210.9,422.6,1.35,17.9,681.57,1.631849249,1.4,0.620039028,0.203940901,0.176020071
16,POP,3,Elevated,High water,724,1.3985,246.51,5.673197842,610.71,69,295.2,364.2,287.9,240.5,528.4,1.45,23.8,1139.11,0.865222446,1.65,0.463870917,0.319723293,0.21640579
17,POP,3,Elevated,High water,425,1.29848,300.82,4.31646832,482.12,71.7,109.6,181.3,295.9,168.5,464.4,1.32,21.9,946.52,0.963245665,1.37,0.490639395,0.19154376,0.317816845
18,POP,3,Elevated,High water,439,0.87905,205.29,4.281991329,465.89,96.8,163.8,260.6,198.6,126.2,324.8,1.73,21.2,790.69,0.697160274,1.71,0.410780458,0.329585552,0.259633991
25,POP,4,Ambient,Low water,163,0.42386,69.79,6.073362946,138.29,30.5,38,68.5,99.2,57.1,156.3,1.02,11.1,294.59,1.130233567,0.99,0.530567908,0.232526562,0.23690553
26,POP,4,Ambient,Low water,110,0.45275,85.88,5.271891011,126.38,15.8,24.7,40.5,101,104.3,205.3,0.8,9.2,331.68,1.624465897,1.025,0.658688398,0.065772587,0.275539014
27,POP,4,Ambient,Low water,149,0.40632,111.81,3.634022002,174.31,21.2,41.3,62.5,132.1,96.2,228.3,1.16,11,402.61,1.309735529,1.37,0.567049999,0.155237078,0.277712923
28,POP,4,Ambient,High water,221,0.69594,127.52,5.457496863,287.72,45.5,114.7,160.2,218.8,136.1,354.9,1.38,17.9,642.62,1.233490894,1.45,0.552270393,0.249291961,0.198437646
29,POP,4,Ambient,High water,394,1.05775,170.73,6.195454812,327.33,63.8,92.8,156.6,206.8,192.6,399.4,1.64,21.1,726.73,1.220175358,1.31,0.549585128,0.215485806,0.234929066
30,POP,4,Ambient,High water,363,0.67431,92.18,7.315144283,285.08,46.9,146,192.9,118.4,78,196.4,1.44,17.5,481.48,0.688929423,1.31,0.407908947,0.400639694,0.191451358
37,POP,5,Ambient,Low water,183,0.45488,68.35,6.655157279,146.75,29.5,48.9,78.4,77.8,68.9,146.7,1.26,15.3,293.45,0.999659284,1.21,0.499914807,0.267166468,0.232918726
38,POP,5,Ambient,Low water,133,0.39622,80.59,4.91649088,145.89,34.8,30.5,65.3,157.9,77.5,235.4,1.18,13.2,381.29,1.613544451,0.87,0.617377849,0.17126072,0.211361431
39,POP,5,Ambient,Low water,191,0.54729,133.24,4.107550285,204.24,24.9,46.1,71,142.3,132.9,275.2,0.92,10.5,479.44,1.347434391,1.085,0.574003004,0.148089438,0.277907559
40,POP,5,Ambient,High water,269,0.689314,146.36,4.709715769,327.76,70.5,110.9,181.4,169.6,97.3,266.9,1.44,15.9,594.66,0.814315353,1.4,0.448827902,0.305048263,0.246123835
41,POP,5,Ambient,High water,314,0.71599,94.41,7.583836458,273.21,75.5,103.3,178.8,96.4,66.2,162.6,1.57,21,435.81,0.595146591,1.62,0.373098369,0.410270531,0.216631101
42,POP,5,Ambient,High water,484,1.22026,214.73,5.682764402,523.53,94.4,214.4,308.8,198.6,192.8,391.4,1.77,20.2,914.93,0.747617138,1.47,0.42779229,0.337512159,0.23469555
