dataset,grouping,location,latitude,longitude,vegetation,lai,map,mat,family,species,pft,age,a.lf,a.ssba,a.ssbh,a.ssbc,a.shba,a.shbh,a.shbc,a.sbba,a.sbbh,a.sbbc,a.stba,a.stbh,a.stbc,a.cp,a.cs,h.t,h.c,d.ba,d.bh,d.cr,c.d,m.lf,m.ss,m.sh,m.sb,m.st,m.so,m.br,m.rf,m.rc,m.rt,m.to,a.ilf,ma.ilf,r.st,r.ss,r.sb,r.sh,n.lf,n.ss,n.sb,n.sh,n.rf,n.rc,growingCondition,status,light,method_lai,method_age,method_a.lf,method_a.ssba,method_a.ssbh,method_a.ssbc,method_a.shba,method_a.shbh,method_a.shbc,method_a.sbba,method_a.sbbh,method_a.sbbc,method_a.stba,method_a.stbh,method_a.stbc,method_a.cp,method_a.cs,method_h.t,method_h.c,method_d.ba,method_d.bh,method_d.cr,method_c.d,method_m.lf,method_m.ss,method_m.sh,method_m.sb,method_m.st,method_m.so,method_m.br,method_m.rf,method_m.rc,method_m.rt,method_m.to,method_a.ilf,method_ma.ilf,method_r.st,method_r.ss,method_r.sb,method_r.sh,method_n.lf,method_n.ss,method_n.sb,method_n.sh,method_n.rf,method_n.rc,method_light
Lusk2011,NA,"Parque Nacional Puyehue, Chile",-40.65,-72.18,TempRF,NA,3500,NA,Aextoxicaceae,Aextoxicon punctatum,EA,NA,0.00705,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.011884307,0.031484827,0.125,0.10220324,0.00254,NA,NA,NA,0.00057,NA,NA,NA,0.00039,NA,NA,NA,NA,0.00045,NA,0.000881107,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FW,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,d,NA,NA,NA,m0,NA,NA,NA,m0,NA,NA,NA,NA,m0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Lusk2011,NA,"Parque Nacional Puyehue, Chile",-40.65,-72.18,TempRF,NA,3500,NA,Aextoxicaceae,Aextoxicon punctatum,EA,NA,0.01352,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0263963,0.072880306,0.25,0.204194773,0.00635,NA,NA,NA,0.00132,NA,NA,NA,0.00092,NA,NA,NA,NA,0.00068,NA,0.001501642,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FW,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,d,NA,NA,NA,m0,NA,NA,NA,m0,NA,NA,NA,NA,m0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Lusk2011,NA,"Parque Nacional Puyehue, Chile",-40.65,-72.18,TempRF,NA,3500,NA,Aextoxicaceae,Aextoxicon punctatum,EA,NA,0.00861,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.018598779,0.041842994,0.18,0.120511037,0.00152,NA,NA,NA,0.00099,NA,NA,NA,0.00076,NA,NA,NA,NA,0.00088,NA,0.001433878,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FW,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,d,NA,NA,NA,m0,NA,NA,NA,m0,NA,NA,NA,NA,m0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Lusk2011,NA,"Parque Nacional Puyehue, Chile",-40.65,-72.18,TempRF,NA,3500,NA,Aextoxicaceae,Aextoxicon punctatum,EA,NA,0.00058,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.001240192,NA,0.061,0.016255669,8.00E-04,NA,NA,NA,3.70E-05,NA,NA,NA,6.30E-05,NA,NA,NA,NA,6.30E-05,NA,0.000129646,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FW,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,d,NA,NA,NA,m0,NA,NA,NA,m0,NA,NA,NA,NA,m0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Lusk2011,NA,"Parque Nacional Puyehue, Chile",-40.65,-72.18,TempRF,NA,3500,NA,Aextoxicaceae,Aextoxicon punctatum,EA,NA,0.00081,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.001223803,NA,0.043,0.025975099,0.000401,NA,NA,NA,4.00E-05,NA,NA,NA,1.50E-05,NA,NA,NA,NA,5.00E-05,NA,0.000181055,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FW,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,d,NA,NA,NA,m0,NA,NA,NA,m0,NA,NA,NA,NA,m0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Lusk2011,NA,"Parque Nacional Puyehue, Chile",-40.65,-72.18,TempRF,NA,3500,NA,Aextoxicaceae,Aextoxicon punctatum,EA,NA,0.00197,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00363944,0.006328004,0.059,0.035551478,0.00203,NA,NA,NA,0.00011,NA,NA,NA,6.00E-05,NA,NA,NA,NA,0.00017,NA,0.000328872,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FW,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,d,NA,NA,NA,m0,NA,NA,NA,m0,NA,NA,NA,NA,m0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Lusk2011,NA,"Parque Nacional Puyehue, Chile",-40.65,-72.18,TempRF,NA,3500,NA,Aextoxicaceae,Aextoxicon punctatum,EA,NA,0.0027,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.003500785,0.008398603,0.09,0.052795789,0.00152,NA,NA,NA,0.000141,NA,NA,NA,9.60E-05,NA,NA,NA,NA,5.70E-05,NA,0.000257541,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FW,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,d,NA,NA,NA,m0,NA,NA,NA,m0,NA,NA,NA,NA,m0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Lusk2011,NA,"Parque Nacional Puyehue, Chile",-40.65,-72.18,TempRF,NA,3500,NA,Aextoxicaceae,Aextoxicon punctatum,EA,NA,0.0293,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.033873787,0.101559771,0.233,0.229214547,0.00254,NA,NA,NA,0.001843,NA,NA,NA,0.000967,NA,NA,NA,NA,0.000965,NA,0.001777954,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FW,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,d,NA,NA,NA,m0,NA,NA,NA,m0,NA,NA,NA,NA,m0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Lusk2011,NA,"Parque Nacional Puyehue, Chile",-40.65,-72.18,TempRF,NA,3500,NA,Aextoxicaceae,Aextoxicon punctatum,EA,NA,0.0076,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.008642961,0.020106064,0.13,0.085652115,0.00254,NA,NA,NA,0.00042,NA,NA,NA,0.00027,NA,NA,NA,NA,0.00028,NA,0.000634022,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FW,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,d,NA,NA,NA,m0,NA,NA,NA,m0,NA,NA,NA,NA,m0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Lusk2011,NA,"Parque Nacional Puyehue, Chile",-40.65,-72.18,TempRF,NA,3500,NA,Aextoxicaceae,Aextoxicon punctatum,EA,NA,0.00196,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.003185852,0.006614475,0.095,0.041601103,0.00152,NA,NA,NA,0.000131,NA,NA,NA,9.20E-05,NA,NA,NA,NA,0.000186,NA,0.000261565,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FW,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,d,NA,NA,NA,m0,NA,NA,NA,m0,NA,NA,NA,NA,m0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
