plant nr,species,family,growth location,latitude,longitude,trunk diameter from soil level cm,trunk diameter from soil level m,trunk height cm,trunk height m,sub ground trunk length cm,coarse root length cm,longest root cm,longest root m,age years,above ground woody dry mass g,total needles mass g,cone mass g,coarse root dry mass g,fine root dry mass g,total root dry mass g,above ground total dry mass g,projected leaf area from above (cm2),projected leaf area from side (cm2),projected trunk area from above (cm2),projected trunk area from side(cm2),projected crone area from above (cm2),projected cone area from side (cm2),coarse root N%,I year needles N%,II year needles N%,III year needles N%,trunk N%,weighed average N%,this year seedling mass,last year seedling mas,2 years ago seedling mass,total needle area mm2, total needle area cm2( mm /100),total needle area m2 (mm / 1000000),total dry mass g,LMA g m-2,S/R kg kg-1,LAR m2 kg-1,LWR kg kg-1,SWR kg kg -1,RWR g g-1,fine root/ coarse root kg kg-1,RGR 1 statistika tabelis,RGR2 statistika tabelis,FISH EYE PICS,pooripaev,pooripaev +30,pooripaev +60,diffuse,1? M=Iba*(Ms+Mcr*(Mcr/Mtuvi)),2? M=Iba*(Ms+Mcr*(Mcr/Mtuvi)),3? M=Iba*(Ms+Mcr*(Mcr/Mtuvi)),1 2 3 mean? M=Iba*(Mtuvi+Mjjuur/Mtuvi),1 ?Ms=Iba*Ms,2 ?Ms=Iba*Ms,3 ?Ms=Iba*Ms,1 2 3 mean ?Ms=Iba*Ms,RGR AASTA KOHTA Ln ((Ms+Mr)/aastatega)),RGR=LN (Mr+Ms)-Ln (Mr+Ms-?M1),RGR=LN (Mr+Ms)-Ln (Mr+Ms-?M2),RGR=LN (Mr+Ms)-Ln (Mr+Ms-?M3),RGR=LN (Mr+Ms)-Ln (Mr+Ms-?M1 2 3 mean),RGR=Ln Ms-Ln (Ms-?Ms1),RGR=Ln Ms-Ln (Ms-?Ms2),RGR=Ln Ms-Ln (Ms-?Ms3),RGR=Ln Ms-Ln (Ms-?Ms1 2 3 mean),LA (Ml/Ml+?M1),LA (Ml/Ml+?M2),LA (Ml/Ml+?M3),LA (Ml/Ml+?M1 2 3 mean),Naverage in LEAVES N %,King artikkel 2003.1,King artikkel 2003.2,average 1 needle area: average of 4 year needles each year 5 needles average mm2
7,Pinus sylvestris,Pinaceae,Kalevi-Liiva,59,25,3.773,0.03773,99,0.99,9,30,330,3.3,15,453.644,181.71,,192.4757,8.961,201.4367,635.354,2082.757157,3219.591512,109.7374696,529.1734644,2192.494626,3748.764976,0.255,1.614,1.679,1.025,0.313,0.561,30.66,23.547,23.465,2276038.261,22760.3826,2.276,836.7907,,,2.72,,0.7593,0.2407,0.0466,0.4486,0.0004,"kl4,7",0.825895465,0.841075167,0.656699012,0.714744444,122.5228,118.8144,156.6566,132.6646,103.8311,100.6885,132.7576,112.4257,3.7629,0.2777,0.2298,0.2298,0.2458,0.2599,0.251,0.3462,0.2857,0.5973,0.6435,0.5778,0.6062,1.4657,8947441.192,279.1491,53.6047
1,Pinus sylvestris,Pinaceae,Kalevi-Liiva,59,25,2.245,0.02245,54,0.54,2.5,12,487,4.87,15,92.35,84.5346,,50.76,11.309,62.069,176.8846,2878.409122,669.9472052,133.987127,126.6733687,3012.396249,796.6205739,0.465,1.805,1.527,1.025,0.409,0.866,12.036,9.797,9.127,916325.8941,9163.2589,0.9163,238.9536,92.2539,2.8498,3.8347,0.3538,0.7402,0.2598,0.2228,0.3651,0.0004,"kl4,1",0.952027235,0.880946258,0.672351803,0.966133333,51.4626,38.4246,56.0168,48.6347,39.5223,29.5095,43.0199,37.3506,2.2556,0.4966,0.4153,0.4153,0.4424,0.5586,0.385,0.6271,0.5235,0.6216,0.7412,0.6627,0.6752,1.6534,317722.6119,193.0368,91.5165
hallitanud (22),Pinus sylvestris,Pinaceae,Kalevi-Liiva,59,25,2.592,0.02592,56,0.56,22,27,352,3.52,10,89.773,101.8955,,50.53651368,6.6459,57.18241368,191.6685,1302.124483,1348.878234,80.99600393,166.4953363,1383.120487,1515.373571,0.412,1.3,1.077,0.501,0.499,0.749,15.578,13.781,15.064,1231536.728,12315.3673,1.2315,248.8509,82.7385,,4.9489,0.4095,0.7702,,0.1315,0.5517,0.0006,,,,,,24.7042,47.3573,48.55,40.2039,18.7594,35.9613,36.867,30.5292,2.6413,0.4247,0.3376,0.3376,0.3666,0.2344,0.5118,0.5288,0.425,0.8049,0.7391,0.7343,0.7594,1.2131,562393.8691,155.6336,82.8423
21,Pinus sylvestris,Pinaceae,Kalevi-Liiva,59,25,3.258,0.03258,37.5,0.375,8,10,220,2.2,8,228.561,166.6864,52.0686,107.991,5.945,113.936,395.2474,1624.550354,2196.970115,95.5654321,276.8575958,1720.115786,2473.827711,0.338,1.36,1.376,1.033,0.31,0.646,30.252,39.082,42.41,1165807.284,11658.0728,1.1658,561.252,142.9794,3.469,2.0772,0.297,0.7042,0.203,0.0551,0.7913,0.0008,,,,,,85.5901,106.6125,176.2113,122.8046,69.9701,87.1559,144.053,100.393,3.7393,0.7415,0.454,0.454,0.5498,0.3655,0.4802,0.995,0.6135,0.6607,0.6567,0.5364,0.6179,1.2664,4390546.657,339.0332,61.1804
2,Pinus sylvestris,Pinaceae,Kalevi-Liiva,59,25,1.324,0.01324,40.5,0.405,6,27.5,220,2.2,12,22.389,35.2333,,16.087,2.376,18.463,57.6223,779.0398161,834.4154901,44.35195853,25.34288869,823.3917746,859.7583788,0.4,1.68,1.537,1.053,0.471,0.972,5.75,3.723,2.512,382117.8934,3821.1789,0.3821,76.0853,92.2053,3.121,5.0222,0.4631,0.7573,0.2427,0.1477,0.361,0.0004,"kl4,2",0.770364284,0.704971766,0.497366329,0.777616667,12.0033,16.1815,8.4366,12.2071,7.9163,10.6719,5.5641,8.0508,1.1651,0.2475,0.3817,0.3817,0.3369,0.4363,0.6475,0.2857,0.4565,0.7459,0.7675,0.8636,0.7923,1.5577,9841.564,150.7972,140.5573
f (10),Pinus sylvestris,Pinaceae,Kalevi-Liiva,59,25,1.687,0.01687,66,0.66,14,6,391,3.91,17,51.0628,44.5788,,32.668,3.341,36.009,95.6416,610.4558527,573.6095816,52.19164851,74.91959146,662.6475012,648.529173,0.299,1.355,1.084,0.925,0.288,0.611,5.789,5.385,3.4498,572468.1323,5724.6813,0.5725,131.6506,77.8712,2.656,4.3484,0.3386,0.7265,0.2735,0.1023,0.2871,0.0003,"kl4,10",0.772261661,0.801794846,0.443597712,0.668288889,,,,,,,,,1.5944,,,,,,,,,,,,,1.237,,167.0689,69.2875
X (27),Pinus sylvestris,Pinaceae,Kalevi-Liiva,59,25,1.409,0.01409,51.2,0.512,10.3,11.5,207,2.07,6,39.263,51.8143,,19.095,1.796,20.891,91.0773,907.2584043,1097.132514,36.51668293,100.3494428,943.7750872,1197.481957,0.389,1.073,1.183,0.59,0.457,0.734,6.124,8.434,4.74,604447.7498,6044.4775,0.6044,111.9683,85.7217,4.3596,5.3984,0.4628,0.8134,0.1866,0.0941,0.7864,0.0008,,,,,,12.9375,17.9491,28.7353,19.874,10.4628,14.5158,23.2388,16.0725,2.2748,0.6781,0.4164,0.4164,0.5036,0.3099,0.4616,0.8962,0.5559,0.8002,0.7812,0.6904,0.7572,1.0945,12404.9375,150.6785,78.3257
3,Pinus sylvestris,Pinaceae,Kalevi-Liiva,59,25,0.638,0.00638,16.5,0.165,6,18.1,177.5,1.775,7,3.1422,19.6048,,3.402,0.86,4.262,22.747,87.04037813,117.2812683,5.18196721,17.81360185,92.22234534,135.0948701,0.446,1.33,1.096,0.823,0.437,0.956,0.9439,0.9153,0.743,254270.8941,2542.7089,0.2543,27.009,77.102,5.3372,9.4143,0.7259,0.8422,0.1578,0.2528,0.4709,0.0005,"kl4,3",0.918269126,0.838969831,0.603913862,0.862966667,4.6914,4.9945,6.8255,5.5038,2.1598,2.2993,3.1422,2.5337,-0.0673,,1.839,1.839,,1.1626,1.3158,,,0.8069,0.895,0.8619,0.8546,1.1501,-21.6445,89.4597,61.9311
4,Pinus sylvestris,Pinaceae,Kalevi-Liiva,59,25,0.664,0.00664,18,0.18,3.8,7.7,136.5,1.365,7,3.036,6.6112,,2.665,1.036,3.701,9.6472,183.3660207,163.2926357,2.31888462,7.36386757,185.6849053,170.6565032,0.458,1.165,1.005,0.439,0.511,0.804,0.988,0.997,0.628,83768.7112,837.6871,0.0838,13.3482,78.9221,2.6066,6.2757,0.4953,0.7227,0.2773,0.3887,0.3702,0.0004,"kl4,4",0.924114643,0.866901899,0.605115096,0.867055556,1.7119,3.1007,2.7473,2.52,0.9669,1.7513,1.5517,1.4233,-0.2053,0.6576,0.5834,0.5834,0.6082,0.3834,0.86,0.7156,0.653,0.7943,0.7906,0.8099,0.7983,1.1362,391.1147,115.1647,49.7901
24,Pinus sylvestris,Pinaceae,Kalevi-Liiva,59,25,0.99,0.0099,43,0.43,2.5,5.2,174,1.74,7,3.092,6.5817,,2.693,0.578,3.271,9.6737,466.7536058,316.6999182,29.53146286,38.2913643,496.2850686,354.9912825,0.388,1.207,1.041,0.758,0.299,0.768,1.011,1.01,0.634,102069.2661,1020.6927,0.1021,12.9447,64.4827,2.9574,7.885,0.5084,0.7473,0.2527,0.2146,0.3658,0.0004,,,,,,1.4828,1.1971,1.4625,1.3808,0.8432,0.6807,0.8316,0.7852,-0.1906,0.2914,0.2727,0.2727,0.279,0.3184,0.2487,0.3133,0.2935,0.8161,0.9063,0.8878,0.8701,1.1786,1223.2528,94.7758,61.3944
