plant nr,species,family,growth location,latitude,longitude,trunk diameter from soil level cm,trunk diameter from soil level m,trunk height cm,trunk height m,sub ground trunk length cm,coarse root length cm,longest root cm,longest root m,age years,above ground woody dry mass g,total needles mass g,cone mass g,coarse root dry mass g,fine root dry mass g,total root dry mass g,above ground total dry mass g,projected leaf area from above (cm2),projected leaf area from side (cm2),projected trunk area from above (cm2),projected trunk area from side(cm2),projected crone area from above (cm2),projected cone area from side (cm2),coarse root N%,I year needles N%,II year needles N%,III year needles N%,trunk N%,weighed average N%,this year seedling mass,last year seedling mas,2 years ago seedling mass,total needle area mm2, total needle area cm2( mm /100),total needle area m2 (mm / 1000000),total dry mass g,LMA g m-2,S/R kg kg-1,LAR m2 kg-1,LWR kg kg-1,SWR kg kg -1,RWR g g-1,fine root/ coarse root kg kg-1,RGR 1 statistika tabelis,RGR2 statistika tabelis,FISH EYE PICS,pooripaev,pooripaev +30,pooripaev +60,diffuse,1? M=Iba*(Ms+Mcr*(Mcr/Mtuvi)),2? M=Iba*(Ms+Mcr*(Mcr/Mtuvi)),3? M=Iba*(Ms+Mcr*(Mcr/Mtuvi)),1 2 3 mean? M=Iba*(Mtuvi+Mjjuur/Mtuvi),1 ?Ms=Iba*Ms,2 ?Ms=Iba*Ms,3 ?Ms=Iba*Ms,1 2 3 mean ?Ms=Iba*Ms,RGR AASTA KOHTA Ln ((Ms+Mr)/aastatega)),RGR=LN (Mr+Ms)-Ln (Mr+Ms-?M1),RGR=LN (Mr+Ms)-Ln (Mr+Ms-?M2),RGR=LN (Mr+Ms)-Ln (Mr+Ms-?M3),RGR=LN (Mr+Ms)-Ln (Mr+Ms-?M1 2 3 mean),RGR=Ln Ms-Ln (Ms-?Ms1),RGR=Ln Ms-Ln (Ms-?Ms2),RGR=Ln Ms-Ln (Ms-?Ms3),RGR=Ln Ms-Ln (Ms-?Ms1 2 3 mean),LA (Ml/Ml+?M1),LA (Ml/Ml+?M2),LA (Ml/Ml+?M3),LA (Ml/Ml+?M1 2 3 mean),Naverage in LEAVES N %,King artikkel 2003.1,King artikkel 2003.2,average 1 needle area: average of 4 year needles each year 5 needles average mm2
18,Pinus sylvestris,Pinaceae,Mannikjarve raba,58,26,0.189,0.00189,10.5,0.105,9,1.5,8,0.08,,0.0564,0.1015,,0.1938,0.0734,0.2672,0.1579,2.19,2.39,0.16,0.58,2.35,2.97,0.432,1.218,1.033,0.676,0.373,0.55,0.0066,0.0077,0.0127,2060.9134,20.6091,0.0021,0.4251,49.25,0.5909,4.8481,0.2388,0.3714,0.6286,0.3787,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.778,,76.6165,60.659
3,Pinus sylvestris,Pinaceae,Mannikjarve raba,58,26,0.358,0.00358,18,0.18,15,2.3,25,0.25,,0.4639,0.5468,,0.8099,0.1538,0.9637,1.0107,20.46,16.37,3.8,2.78,24.26,19.15,0.369,1.508,1.145,1.074,0.377,0.601,0.0369,0.0228,0.0392,7607.0571,76.0706,0.0076,1.9744,71.8806,1.0488,3.8528,0.2769,0.5119,0.4881,0.1899,,,m2.3,0.971328702,0.912461539,0.72077552,0.969488889,,,,,,,,,,,,,,,,,,,,,,0.7227,,132.8635,27.5898
2,Pinus sylvestris,Pinaceae,Mannikjarve raba,58,26,0.317,0.00317,25.4,0.254,33,2.5,65,0.65,,1.8963,1.8164,,5.0469,0.9309,5.9778,3.7127,16.3,39.8,1.32,3.49,17.62,43.29,0.976,1.236,1.427,0.893,0.416,0.92,0.2629,0.2694,0.2935,23915.2223,239.1522,0.0239,9.6905,75.9516,0.6211,2.4679,0.1874,0.3831,0.6169,0.1844,,,"m2,2",0.989101564,0.927937363,0.799432614,0.995805556,,,,,,,,,,,,,,,,,,,,,,1.07,,155.2442,39.3816
NIMETA,Pinus sylvestris,Pinaceae,Mannikjarve raba,58,26,0.261,0.00261,26,0.26,36.5,1.5,56,0.56,,0.2479,0.3117,,1.4791,0.2373,1.7164,0.5596,,,,,0,0,0.326,0.994,0.686,0.589,0.325,0.371,0.0167,0.0175,0.0435,4178.4085,41.7841,0.0042,2.276,74.5978,0.326,1.8359,0.137,0.2459,0.7541,0.1604,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.2841,,133.9266,28.3161
25,Pinus sylvestris,Pinaceae,Mannikjarve raba,58,26,0.296,0.00296,6,0.06,5.5,2.5,42.5,0.425,,0.4312,0.1571,,0.2028,0.1608,0.3636,0.5883,13.1,8.96,5.42,3.78,18.52,12.74,0.353,0.941,0.755,0.657,0.425,0.45,0.007,0.011,0.0096,,,,0.9519,,1.618,,0.165,0.618,0.382,0.7929,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5539,,,
10,Pinus sylvestris,Pinaceae,Mannikjarve raba,58,26,4.378,0.04378,162,1.62,15,8,280,2.8,34,760.6271,143.4775,3.36,543.0568299,26.44,569.4968299,904.1046,4460.86,2102.36,1439.1,1476.96,5899.96,3579.32,0.284,0.984,0.701,0.526,0.315,0.329,6.0249,4.8172,,2663848.953,26638.4895,2.6638,1476.9614,53.861,,1.8036,0.0971,0.6121,,,0.2146,0.0002,"m2,10",0.983460269,0.927736202,0.760104067,0.985844444,,,,,,,,,3.6466,,,,,,,,,,,,,0.1551,,339.3978,77.4124
14,Pinus sylvestris,Pinaceae,Mannikjarve raba,58,26,2.982,0.02982,91,0.91,12,12,190,1.9,31,166.4221,57.8366,,41.158,13.29,54.448,224.2587,1306.89,977.51,683.78,551.2,1990.67,1528.71,0.574,1.131,1.013,0.967,0.196,0.441,5.5722,2.0418,4.0441,796548.428,7965.4843,0.7965,278.7067,72.609,4.1188,2.858,0.2075,0.8046,0.1954,0.3229,0.1816,0.0002,,,,,,5.3245,6.997,11.4162,7.9126,5.0176,6.5937,10.7582,7.4565,1.9015,0.0566,0.0389,0.0389,0.0448,0.0306,0.0404,0.0668,0.046,0.9157,0.8977,0.8432,0.8855,0.5276,1404944.55,281.5381,59.1977
12,Pinus sylvestris,Pinaceae,Mannikjarve raba,58,26,2.455,0.02455,95.5,0.955,15,4,,,21,23.8005,67.3991,,149.596,8.45,158.046,91.1996,1378.81,1131.83,539.1,923.69,1917.91,2055.52,0.417,1.099,1.002,0.752,0.25,0.54,7.0963,4.3122,,929168.5594,9291.6856,0.9292,249.2456,72.537,0.577,3.7279,0.2704,0.3659,0.6341,0.0565,0.2628,0.0003,"m2,12",0.974573837,0.92454192,0.676899388,0.978505556,,,,,,,,,2.1111,,,,,,,,,,,,,0.613,,98.1518,48.3292
11.2,Pinus sylvestris,Pinaceae,Mannikjarve raba,58,26,1.928,0.01928,76,0.76,28,7,260,2.6,27,154.1056,59.2926,,111.928,17.448,129.376,213.3982,3239.13,1217.27,902.96,716.32,4142.09,1933.59,0.372,1.131,0.995,0.95,0.237,0.422,5.8567,3.6777,2.9352,644073.1095,6440.7311,0.6441,342.7742,92.0588,1.6494,1.879,0.173,0.6226,0.3774,0.1559,0.2162,0.0002,,,,,,,,,,,,,,2.2878,,,,,,,,,,,,,0.6601,,331.3261,43.8913
1,Pinus sylvestris,Pinaceae,Mannikjarve raba,58,26,1.596,0.01596,49.5,0.495,12,3.5,120,1.2,19,72.481,34.6732,,40.341,9.489,49.83,107.1542,1102.2,730.97,374.78,298.99,1476.98,1029.96,0.589,1.421,1.081,1.024,0.327,0.589,3.5557,3.078,3.1323,418540.4872,4185.4049,0.4185,156.9842,82.8431,2.1504,2.6661,0.2209,0.6826,0.3174,0.2352,0.2661,0.0003,"m2,1",0.745587143,0.695982605,0.462645506,0.755372222,5.6019,11.812,20.9354,12.7831,4.277,9.0184,15.984,9.7598,1.7814,0.2053,0.1203,0.1203,0.1486,0.0608,0.1329,0.2491,0.1476,0.8609,0.7936,0.6845,0.7797,0.7995,76187.7543,256.0187,56.8687
7,Pinus sylvestris,Pinaceae,Mannikjarve raba,58,26,2.092,0.02092,97,0.97,20,19,170,1.7,21,160.0289,66.9635,,113.085,4.32,117.405,226.9924,1386.02,985.82,266.43,596.05,1652.45,1581.87,0.234,1.039,0.721,0.679,0.192,0.313,4.634,3.6297,4.8692,732675.3661,7326.7537,0.7327,344.3974,91.3959,1.9334,2.1274,0.1944,0.6591,0.3409,0.0382,0.2782,0.0003,m2.7,0.703132105,0.708924792,0.705373039,0.680861111,17.1243,53.5438,40.6965,37.1215,11.4211,35.7111,27.1426,24.7583,2.5654,0.1614,0.1461,0.1461,0.1512,0.074,0.2525,0.1859,0.1708,0.7964,0.6522,0.7116,0.72,0.334,1260498.377,309.8131,62.5363
13,Pinus sylvestris,Pinaceae,Mannikjarve raba,58,26,1.717,0.01717,102,1.02,15,9,133,1.33,27,83.8676,33.5158,,39.836,3.638,43.474,117.3834,1577.82,558.72,392.53,298.65,1970.35,857.37,0.461,1.125,0.926,0.696,0.216,0.416,2.773,1.3722,2.3864,360526.1985,3605.262,0.3605,160.8574,92.9636,2.7001,2.2413,0.2084,0.7297,0.2703,0.0913,0.1882,0.0002,"m2,13",0.932203462,0.899455981,0.751008898,0.963672222,,,,,,,,,1.5221,,,,,,,,,,,,,0.4997,,325.5891,72.2876
11,Pinus sylvestris,Pinaceae,Mannikjarve raba,58,26,2.117,0.02117,107,1.07,27,7,252,2.52,26,138.6079,38.5722,1.739,89.544,13.202,102.746,177.1801,,762.3,,412.33,,1174.63,0.297,1.179,1.038,0.994,0.287,0.394,2.5173,1.2537,1.1709,538512.139,5385.1214,0.5385,281.6651,71.6274,1.7244,1.9119,0.1369,0.629,0.3648,0.1474,0.217,0.0002,"m2,11",0.979017053,0.913962928,0.681446973,0.980916667,4.1795,4.4659,7.1199,5.2551,2.9488,3.1509,5.0234,3.7077,2.1719,0.0317,0.0233,0.0233,0.0261,0.0215,0.023,0.0369,0.0271,0.9022,0.9245,0.8848,0.9038,0.4397,565447.9793,329.0178,60.1739
15,Pinus sylvestris,Pinaceae,Mannikjarve raba,58,26,1.92,0.0192,85.5,0.855,11.5,17,144,1.44,26,84.0529,33.4858,0.48,48.238,13.633,61.871,117.5387,574.07,633.84,168.76,165.44,742.83,799.28,0.349,1.001,0.964,0.775,0.249,0.404,2.1574,3.1926,1.5379,413878.635,4138.7864,0.4139,179.8897,80.9073,1.8997,2.3007,0.1861,0.6534,0.3439,0.2826,0.1997,0.0002,,,,,,4.6731,5.8996,5.4819,5.3515,3.5153,4.4379,4.1237,4.0256,1.6269,0.0423,0.0413,0.0413,0.0416,0.0427,0.0542,0.0503,0.0491,0.8775,0.883,0.8904,0.8836,0.5842,67636.8408,283.9932,60.6538
9,Pinus sylvestris,Pinaceae,Mannikjarve raba,58,26,3.652,0.03652,149,1.49,13,15,230,2.3,27,552.3205,49.0275,3.727,619.274,9.878,629.152,601.348,769.21,760.56,357.08,242.42,1126.29,1002.98,0.273,0.971,0.832,0.746,0.211,0.267,2.9507,1.4964,1.7364,453046.5875,4530.4659,0.453,1234.227,108.2174,,,,,0.5098,0.016,0.2636,0.0003,"m2,9",0.642919742,0.603810868,0.523990903,0.571666667,,,,,,,,,3.7703,,,,,,,,,,,,,0.5381,,,60.9906
22,Pinus sylvestris,Pinaceae,Mannikjarve raba,58,26,0.964,0.00964,36,0.36,22,6,205,2.05,17,25.5324,14.8312,,20.004,4.276,24.28,40.3636,590.03,261.17,248.92,151.72,838.95,412.89,0.768,1.071,1.008,0.883,0.297,0.63,1.5282,0.9221,1.0011,205147.5648,2051.4756,0.2051,64.6436,72.2953,1.6624,3.1735,0.2294,0.6244,0.3756,0.2138,0.2452,0.0002,,,,,,4.471,4.9695,6.8679,5.4361,2.7704,3.0793,4.2556,3.3685,0.9853,0.1635,0.1271,0.1271,0.1392,0.1149,0.1285,0.1823,0.1419,0.7684,0.8281,0.777,0.7912,0.6571,1240.74,196.754,47.8684
27,Pinus sylvestris,Pinaceae,Mannikjarve raba,58,26,0.967,0.00967,38,0.38,20,4,155,1.55,17,25.9382,10.7857,,17.907,2.756,20.663,36.7239,552.98,405.77,298.47,192.09,851.45,597.86,0.543,1.278,0.92,0.952,0.43,0.586,1.2138,1.0219,0.9635,152423.2952,1524.233,0.1524,57.3869,70.7615,1.7773,2.6561,0.1879,0.6399,0.3601,0.1539,0.2382,0.0002,,,,,,3.4735,1.1544,2.7622,2.4634,2.3523,0.7818,1.8707,1.6683,0.9475,0.0651,0.0578,0.0578,0.0602,0.0951,0.0306,0.0749,0.0668,0.7564,0.9324,0.8522,0.847,0.7945,293.5667,240.9336,48.2059
5a,Pinus sylvestris,Pinaceae,Mannikjarve raba,58,26,0.315,0.00315,21,0.21,27.5,2,68,0.68,13,2.7238,2.4954,,7.0887,0.6931,7.7818,5.2192,56.26,78.29,50.06,74.31,106.32,152.6,0.685,1.605,1.375,1.176,0.566,0.794,0.2946,0.2212,0.2243,38493.3838,384.9338,0.0385,13.001,64.8267,0.6707,2.9608,0.1919,0.4014,0.5986,0.0978,0.1973,0.0002,,,,,,,,,,,,,,-0.2813,,,,,,,,,,,,,1.0317,,135.5869,42.8754
8,Pinus sylvestris,Pinaceae,Mannikjarve raba,58,26,1.404,0.01404,31,0.31,23,9,118,1.18,10,13.6965,8.0279,,14.257,2.152,16.409,21.7244,334.46,319.97,108.5,129.08,442.96,449.05,0.254,0.892,0.682,0.63,0.316,0.366,0.4612,0.4727,0.9036,96719.3067,967.1931,0.0967,38.1334,83.002,1.3239,2.5363,0.2105,0.5697,0.4303,0.1509,0.3641,0.0004,,,,,,6.0833,9.2804,5.8654,7.0764,2.9197,4.4542,2.8152,3.3964,1.028,0.2355,0.2919,0.2919,0.2731,0.2397,0.3933,0.2301,0.2877,0.5689,0.6432,0.7404,0.6508,0.281,306.613,224.6129,43.4003
23,Pinus sylvestris,Pinaceae,Mannikjarve raba,58,26,0.521,0.00521,16,0.16,23,2.2,55,0.55,10,2.2793,2.7518,,2.8997,0.8279,3.7276,5.0311,98.9,71.8,81.08,26.08,179.98,97.88,0.35,1.052,0.818,0.69,0.401,0.505,0.188,0.1907,0.1841,37910.8935,379.1089,0.0379,8.7587,72.586,1.3497,4.3284,0.3142,0.5744,0.4256,0.2855,0.217,0.0002,,,,,,0.5012,0.4799,1.1809,0.7207,0.1914,0.1833,0.451,0.2752,-0.658,0.2588,0.1498,0.1498,0.1862,0.0877,0.0838,0.2205,0.1307,0.8459,0.9376,0.8592,0.8809,0.542,-1.6772,132.7086,30.3139
4,Pinus sylvestris,Pinaceae,Mannikjarve raba,58,26,0.67,0.0067,28,0.28,18,11,105,1.05,10,7.9334,2.6424,,8.286,0.697,8.983,10.5758,70.75,48.83,36.08,30.58,106.83,79.41,0.662,1.523,1.352,1.252,0.382,0.642,0.2526,0.13,0.1738,36092.9391,360.9294,0.0361,19.5588,73.211,1.1773,1.8454,0.1351,0.5407,0.4593,0.0841,0.2973,0.0003,m2.4,0.974573837,0.92454192,0.676899388,0.967811111,0.9772,0.8608,1.6994,1.1791,0.4674,0.4117,0.8128,0.5639,0.4836,0.1107,0.0755,0.0755,0.0872,0.0607,0.0533,0.1081,0.074,0.73,0.8652,0.7648,0.7867,0.9153,78.6937,293.0158,45.1875
16,Pinus sylvestris,Pinaceae,Mannikjarve raba,58,26,0.362,0.00362,15,0.15,8.5,1.5,22,0.22,11,1.287,0.6733,,0.9357,0.133,1.0687,1.9603,23.71,17.92,9.25,9.72,32.96,27.64,0.296,1.02,0.676,0.62,0.363,0.412,0.0335,0.0557,0.0531,8473.9196,84.7392,0.0085,3.029,79.4556,1.8343,2.7976,0.2223,0.6472,0.3528,0.1421,0.1007,0.0001,,,,,,,,,,,,,,-1.5992,,,,,,,,,,,,,0.5758,,231.3333,29.1395
20,Pinus sylvestris,Pinaceae,Mannikjarve raba,58,26,0.421,0.00421,18.5,0.185,15,2.3,50,0.5,10,2.1764,0.9676,,2.1257,1.146,3.2717,3.144,35.96,41.09,6.91,10.09,42.87,51.18,0.456,1.207,0.976,0.849,0.384,0.51,0.0759,0.0815,0.1092,14020.9382,140.2094,0.014,6.4157,69.0111,0.961,2.1854,0.1508,0.49,0.51,0.5391,0.1859,0.0002,,,,,,,,,,,,,,-0.8435,,,,,,,,,,,,,0.6965,,224.2361,32.4055
26,Pinus sylvestris,Pinaceae,Mannikjarve raba,58,26,0.313,0.00313,9,0.09,18,1,42,0.42,5,0.4936,0.4795,,1.0167,0.1931,1.2098,0.9731,33.68,29.04,1.85,9.69,35.53,38.73,0.685,1.192,1.256,1.063,0.511,0.742,0.0346,0.0227,0.0639,7890.9022,78.909,0.0079,2.1829,60.7662,0.8043,3.6149,0.2197,0.4458,0.5542,0.1899,0.1561,0.0002,,,,,,,,,,,,,,-1.1971,,,,,,,,,,,,,0.4741,,123.3192,45.42
17,Pinus sylvestris,Pinaceae,Mannikjarve raba,58,26,0.403,0.00403,17,0.17,10.5,2,40,0.4,,0.889,0.279,,1.168,0.059,1.227,1.168,3.35,5.96,0.66,0.38,4.01,6.34,,,,,,,0.2625,0.1143,0.1624,4782.0907,47.8209,0.0048,2.395,58.3427,0.9519,1.9967,0.1165,0.4877,0.5123,0.0505,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31.195
