SpecCode,No,H.cm,CW1.cm,CW2.cm,RD.cm,RW1.cm,RW2.cm,Wl.mg,Ws.mg,Wr.mg
Ci,1,21,9,6.5,5.5,7,5,589,351,266
Ci,2,22,11,11,9,7.5,4.5,569,345,273
Sb,1,10.5,4.5,4.5,4,3,1.5,76,64,60
Sb,2,33,9,5,34,10,3,392,454,304
Daph.,1,21,17,13,9,9,10,1028,684,606
Daph.,2,10,5.5,4.5,5.5,5,2,75,56,46
Daph.,3,9,7,6,5,11.5,6,76,69,193
Ardis.,1,12,15,9,10,11,7,215,137,209
Sarca.,1,8.5,7,5,8,3,2,85,22,58
