d.order,g.epi,Engler.Family,APG.Family,TreeID,StemID,MultStem,DE,CB,D0,D0.2,DBH,DBH.2,DL,DL.2,D10,H,H.2,HL,CrwnA,CrwnW,BrL,BrL.2,WS,WB,WBc,WBo,WOSB,WSB,WBL,WL,WLc,WLo,WF,WR,WA,Age,LA,LAc,LAo,V,Lat,Long,Country,Prefecture,Site,Stand,Domi.sp,Dens,Stand.age,Alt,Forest.type,Year,Month,Day,Collector,Ref,Ref.T.E,Ref.A.E,Ref.Y,Ref.J.E,Ref.V,Ref.P,Note.E
1171,Castanopsis cuspidata,Fagaceae,Fagaceae,9,9,,E,B,NA,NA,2,NA,1.9,NA,NA,4.3,NA,1.5,NA,NA,NA,NA,0.664,0.193,NA,NA,NA,0.857,NA,0.14,NA,NA,NA,NA,0.997,9,1.209,NA,NA,NA,32.2,130.8,Japan,Kumamoto,Sumitomo Forestry Co. Forest,7,,,,,S?,1961,10,,Ishihara,Four Universities 1963,Forest production data from the perspective of material cycle 2 [in Japanese with title translated by Ishihara],"Forestry Laboratories of Kyoto University, Tokyo University, Niigata University, Shinshu University",1963,,NA,45-103,Leaf area was estimated from leaf weight.
1172,Castanopsis cuspidata,Fagaceae,Fagaceae,10,10,,E,B,NA,NA,0.9,NA,1.1,NA,NA,2.3,NA,1.03,NA,NA,NA,NA,0.114,0.042,NA,NA,NA,0.156,NA,0.054,NA,NA,NA,NA,0.21,10,0.4062,NA,NA,NA,32.2,130.8,Japan,Kumamoto,Sumitomo Forestry Co. Forest,7,,,,,S?,1961,10,,Ishihara,Four Universities 1963,Forest production data from the perspective of material cycle 2 [in Japanese with title translated by Ishihara],"Forestry Laboratories of Kyoto University, Tokyo University, Niigata University, Shinshu University",1963,,NA,45-103,Leaf area was estimated from leaf weight.
1173,Eurya japonica,Theaceae,Ternstroemiaceae,11,11,,E,B,NA,NA,2.4,NA,1.7,NA,NA,3.2,NA,2.25,NA,NA,NA,NA,0.698,0.165,NA,NA,NA,0.863,NA,0.07,NA,NA,NA,NA,0.933,,0.5994,NA,NA,NA,32.2,130.8,Japan,Kumamoto,Sumitomo Forestry Co. Forest,7,,,,,S?,1961,10,,Ishihara,Four Universities 1963,Forest production data from the perspective of material cycle 2 [in Japanese with title translated by Ishihara],"Forestry Laboratories of Kyoto University, Tokyo University, Niigata University, Shinshu University",1963,,NA,45-103,Leaf area was estimated from leaf weight.
1174,Eurya japonica,Theaceae,Ternstroemiaceae,12,12,,E,B,NA,NA,0.8,NA,0.8,NA,NA,2.25,NA,1.05,NA,NA,NA,NA,0.073,0.012,NA,NA,NA,0.085,NA,0.013,NA,NA,NA,NA,0.098,,0.1132,NA,NA,NA,32.2,130.8,Japan,Kumamoto,Sumitomo Forestry Co. Forest,7,,,,,S?,1961,10,,Ishihara,Four Universities 1963,Forest production data from the perspective of material cycle 2 [in Japanese with title translated by Ishihara],"Forestry Laboratories of Kyoto University, Tokyo University, Niigata University, Shinshu University",1963,,NA,45-103,Leaf area was estimated from leaf weight.
1175,Eurya japonica,Theaceae,Ternstroemiaceae,13,13,,E,B,NA,NA,1.2,NA,1.3,NA,NA,2.85,NA,0.95,NA,NA,NA,NA,0.153,0.063,NA,NA,NA,0.216,NA,0.083,NA,NA,NA,NA,0.299,9,0.7126,NA,NA,NA,32.2,130.8,Japan,Kumamoto,Sumitomo Forestry Co. Forest,7,,,,,S?,1961,10,,Ishihara,Four Universities 1963,Forest production data from the perspective of material cycle 2 [in Japanese with title translated by Ishihara],"Forestry Laboratories of Kyoto University, Tokyo University, Niigata University, Shinshu University",1963,,NA,45-103,Leaf area was estimated from leaf weight.
1176,Eurya japonica,Theaceae,Ternstroemiaceae,14,14,,E,B,NA,NA,0.8,NA,0.8,NA,NA,2.2,NA,1.6,NA,NA,NA,NA,0.096,0.012,NA,NA,NA,0.108,NA,0.012,NA,NA,NA,NA,0.12,,NA,NA,NA,NA,32.2,130.8,Japan,Kumamoto,Sumitomo Forestry Co. Forest,7,,,,,S?,1961,10,,Ishihara,Four Universities 1963,Forest production data from the perspective of material cycle 2 [in Japanese with title translated by Ishihara],"Forestry Laboratories of Kyoto University, Tokyo University, Niigata University, Shinshu University",1963,,NA,45-103,Leaf area was estimated from leaf weight.
1177,Eurya japonica,Theaceae,Ternstroemiaceae,15,15,,E,B,NA,NA,1,NA,1.1,NA,NA,2.1,NA,0.95,NA,NA,NA,NA,0.109,0.016,NA,NA,NA,0.125,NA,0.01,NA,NA,NA,NA,0.135,,0.0866,NA,NA,NA,32.2,130.8,Japan,Kumamoto,Sumitomo Forestry Co. Forest,7,,,,,S?,1961,10,,Ishihara,Four Universities 1963,Forest production data from the perspective of material cycle 2 [in Japanese with title translated by Ishihara],"Forestry Laboratories of Kyoto University, Tokyo University, Niigata University, Shinshu University",1963,,NA,45-103,Leaf area was estimated from leaf weight.
1178,Castanopsis cuspidata,Fagaceae,Fagaceae,16,16,,E,B,NA,NA,0.3,NA,0.6,NA,NA,1.5,NA,0.35,NA,NA,NA,NA,0.018,0.006,NA,NA,NA,0.024,NA,0.012,NA,NA,NA,NA,0.036,,0.1066,NA,NA,NA,32.2,130.8,Japan,Kumamoto,Sumitomo Forestry Co. Forest,7,,,,,S?,1961,10,,Ishihara,Four Universities 1963,Forest production data from the perspective of material cycle 2 [in Japanese with title translated by Ishihara],"Forestry Laboratories of Kyoto University, Tokyo University, Niigata University, Shinshu University",1963,,NA,45-103,Leaf area was estimated from leaf weight.
1179,Quercus myrsinifolia,Fagaceae,Fagaceae,17,17,,E,B,NA,NA,0.5,NA,1,NA,NA,2,NA,0.45,NA,NA,NA,NA,0.052,0.028,NA,NA,NA,0.08,NA,0.028,NA,NA,NA,NA,0.108,,0.2431,NA,NA,NA,32.2,130.8,Japan,Kumamoto,Sumitomo Forestry Co. Forest,7,,,,,S?,1961,10,,Ishihara,Four Universities 1963,Forest production data from the perspective of material cycle 2 [in Japanese with title translated by Ishihara],"Forestry Laboratories of Kyoto University, Tokyo University, Niigata University, Shinshu University",1963,,NA,45-103,Leaf area was estimated from leaf weight.
1180,Castanopsis cuspidata,Fagaceae,Fagaceae,18,18,,E,B,NA,NA,NA,NA,0.4,NA,NA,0.85,NA,0.31,NA,NA,NA,NA,0.005,0.003,NA,NA,NA,0.008,NA,0.006,NA,NA,NA,NA,0.014,,NA,NA,NA,NA,32.2,130.8,Japan,Kumamoto,Sumitomo Forestry Co. Forest,7,,,,,S?,1961,10,,Ishihara,Four Universities 1963,Forest production data from the perspective of material cycle 2 [in Japanese with title translated by Ishihara],"Forestry Laboratories of Kyoto University, Tokyo University, Niigata University, Shinshu University",1963,,NA,45-103,Leaf area was estimated from leaf weight.
