d.order,g.epi,Engler.Family,APG.Family,TreeID,StemID,MultStem,DE,CB,D0,D0.2,DBH,DBH.2,DL,DL.2,D10,H,H.2,HL,CrwnA,CrwnW,BrL,BrL.2,WS,WB,WBc,WBo,WOSB,WSB,WBL,WL,WLc,WLo,WF,WR,WA,Age,LA,LAc,LAo,V,Lat,Long,Country,Prefecture,Site,Stand,Domi.sp,Dens,Stand.age,Alt,Forest.type,Year,Month,Day,Collector,Ref,Ref.T.E,Ref.A.E,Ref.Y,Ref.J.E,Ref.V,Ref.P,Note.E
1,Ilex macropoda,Aquifoliaceae,Aquifoliaceae,711,711,,D,B,NA,NA,6.1,NA,NA,NA,NA,6.8,NA,NA,NA,NA,NA,NA,6.01,0.99,NA,NA,NA,7,NA,0.14,NA,NA,NA,NA,7.14,26,NA,NA,NA,0.00948,35.2,132.7,Japan,Shimane,Sanbe Forest of Shimane University,,,,,,S,1976,7,,"Utsugi, Tanouchi, Ishihara",Katagiri et al. 1984,Studies on mineral cycling in a deciduous broad-leaved forest at Sanbe Forest of Shimane University (XII): Difference of above ground biomass in a deciduous broad-leaved forest along a slope [in Japanese with English abstract],"Katagiri, Shigeo; Ishii, Hiroshi; Miyake, Noboru; Ando, Yoshinori.",1984,"Bulletin of the Faculty of Agriculture, Shimane University",18,53-60,
2,Carpinus laxiflora,Betulaceae,Betulaceae,313,313,,D,B,NA,NA,5.1,NA,NA,NA,NA,6.29,NA,NA,NA,NA,NA,NA,3.38,0.63,NA,NA,NA,4.01,NA,0.1,NA,NA,NA,NA,4.11,29,NA,NA,NA,0.00595,35.2,132.7,Japan,Shimane,Sanbe Forest of Shimane University,,,,,,S,1983,8,,"Utsugi, Tanouchi, Ishihara",Katagiri et al. 1984,Studies on mineral cycling in a deciduous broad-leaved forest at Sanbe Forest of Shimane University (XII): Difference of above ground biomass in a deciduous broad-leaved forest along a slope [in Japanese with English abstract],"Katagiri, Shigeo; Ishii, Hiroshi; Miyake, Noboru; Ando, Yoshinori.",1984,"Bulletin of the Faculty of Agriculture, Shimane University",18,53-60,
3,Carpinus laxiflora,Betulaceae,Betulaceae,707,707,,D,B,NA,NA,6.9,NA,NA,NA,NA,8.7,NA,NA,NA,NA,NA,NA,8.4,2.19,NA,NA,NA,10.59,NA,0.57,NA,NA,NA,NA,11.16,29,NA,NA,NA,0.01271,35.2,132.7,Japan,Shimane,Sanbe Forest of Shimane University,,,,,,S,1976,7,,"Utsugi, Tanouchi, Ishihara",Katagiri et al. 1984,Studies on mineral cycling in a deciduous broad-leaved forest at Sanbe Forest of Shimane University (XII): Difference of above ground biomass in a deciduous broad-leaved forest along a slope [in Japanese with English abstract],"Katagiri, Shigeo; Ishii, Hiroshi; Miyake, Noboru; Ando, Yoshinori.",1984,"Bulletin of the Faculty of Agriculture, Shimane University",18,53-60,
4,Pieris japonica,Ericaceae,Ericaceae,314,314,,E,B,NA,NA,5.8,NA,NA,NA,NA,2.95,NA,NA,NA,NA,NA,NA,1.66,0.84,NA,NA,NA,2.5,NA,0.49,NA,NA,NA,NA,2.99,36,NA,NA,NA,0.00497,35.2,132.7,Japan,Shimane,Sanbe Forest of Shimane University,,,,,,S,1983,8,,"Utsugi, Tanouchi, Ishihara",Katagiri et al. 1984,Studies on mineral cycling in a deciduous broad-leaved forest at Sanbe Forest of Shimane University (XII): Difference of above ground biomass in a deciduous broad-leaved forest along a slope [in Japanese with English abstract],"Katagiri, Shigeo; Ishii, Hiroshi; Miyake, Noboru; Ando, Yoshinori.",1984,"Bulletin of the Faculty of Agriculture, Shimane University",18,53-60,
5,Pieris japonica,Ericaceae,Ericaceae,604,604,,E,B,NA,NA,4.7,NA,NA,NA,NA,3.34,NA,NA,NA,NA,NA,NA,2.13,0.81,NA,NA,NA,2.94,NA,0.67,NA,NA,NA,NA,3.61,32,NA,NA,NA,0.00433,35.2,132.7,Japan,Shimane,Sanbe Forest of Shimane University,,,,,,S,1983,8,,"Utsugi, Tanouchi, Ishihara",Katagiri et al. 1984,Studies on mineral cycling in a deciduous broad-leaved forest at Sanbe Forest of Shimane University (XII): Difference of above ground biomass in a deciduous broad-leaved forest along a slope [in Japanese with English abstract],"Katagiri, Shigeo; Ishii, Hiroshi; Miyake, Noboru; Ando, Yoshinori.",1984,"Bulletin of the Faculty of Agriculture, Shimane University",18,53-60,
6,Carpinus tschonoskii,Betulaceae,Betulaceae,305,305,,D,B,NA,NA,10.1,NA,NA,NA,NA,12.1,NA,NA,NA,NA,NA,NA,23.55,7.76,NA,NA,NA,31.31,NA,0.75,NA,NA,NA,NA,32.06,35,NA,NA,NA,0.03958,35.2,132.7,Japan,Shimane,Sanbe Forest of Shimane University,,,,,,S,1983,8,,"Utsugi, Tanouchi, Ishihara",Katagiri et al. 1984,Studies on mineral cycling in a deciduous broad-leaved forest at Sanbe Forest of Shimane University (XII): Difference of above ground biomass in a deciduous broad-leaved forest along a slope [in Japanese with English abstract],"Katagiri, Shigeo; Ishii, Hiroshi; Miyake, Noboru; Ando, Yoshinori.",1984,"Bulletin of the Faculty of Agriculture, Shimane University",18,53-60,
7,Carpinus tschonoskii,Betulaceae,Betulaceae,708,708,,D,B,NA,NA,5.5,NA,NA,NA,NA,7.8,NA,NA,NA,NA,NA,NA,3.62,0.55,NA,NA,NA,4.17,NA,0.2,NA,NA,NA,NA,4.37,19,NA,NA,NA,0.0071,35.2,132.7,Japan,Shimane,Sanbe Forest of Shimane University,,,,,,S,1976,7,,"Utsugi, Tanouchi, Ishihara",Katagiri et al. 1984,Studies on mineral cycling in a deciduous broad-leaved forest at Sanbe Forest of Shimane University (XII): Difference of above ground biomass in a deciduous broad-leaved forest along a slope [in Japanese with English abstract],"Katagiri, Shigeo; Ishii, Hiroshi; Miyake, Noboru; Ando, Yoshinori.",1984,"Bulletin of the Faculty of Agriculture, Shimane University",18,53-60,
8,Carpinus tschonoskii,Betulaceae,Betulaceae,720,720,,D,B,NA,NA,8.2,NA,NA,NA,NA,10.15,NA,NA,NA,NA,NA,NA,15.44,2.02,NA,NA,NA,17.46,NA,0.64,NA,NA,NA,NA,18.1,31,NA,NA,NA,0.02609,35.2,132.7,Japan,Shimane,Sanbe Forest of Shimane University,,,,,,S,1982,7,,"Utsugi, Tanouchi, Ishihara",Katagiri et al. 1984,Studies on mineral cycling in a deciduous broad-leaved forest at Sanbe Forest of Shimane University (XII): Difference of above ground biomass in a deciduous broad-leaved forest along a slope [in Japanese with English abstract],"Katagiri, Shigeo; Ishii, Hiroshi; Miyake, Noboru; Ando, Yoshinori.",1984,"Bulletin of the Faculty of Agriculture, Shimane University",18,53-60,
9,Acer rufinerve,Aceraceae,Sapindaceae,436,436,,D,B,NA,NA,24.6,NA,NA,NA,NA,20.68,NA,NA,NA,NA,NA,NA,207.31,65.13,NA,NA,NA,272.44,NA,5.9,NA,NA,NA,NA,278.34,40,NA,NA,NA,0.40105,35.2,132.7,Japan,Shimane,Sanbe Forest of Shimane University,,,,,,S,1983,8,,"Utsugi, Tanouchi, Ishihara",Katagiri et al. 1984,Studies on mineral cycling in a deciduous broad-leaved forest at Sanbe Forest of Shimane University (XII): Difference of above ground biomass in a deciduous broad-leaved forest along a slope [in Japanese with English abstract],"Katagiri, Shigeo; Ishii, Hiroshi; Miyake, Noboru; Ando, Yoshinori.",1984,"Bulletin of the Faculty of Agriculture, Shimane University",18,53-60,
10,Styrax japonica,Styracaceae,Styracaceae,429,429,,D,B,NA,NA,5.3,NA,NA,NA,NA,7.22,NA,NA,NA,NA,NA,NA,3.23,1.42,NA,NA,NA,4.65,NA,0.35,NA,NA,NA,NA,5,21,NA,NA,NA,0.00649,35.2,132.7,Japan,Shimane,Sanbe Forest of Shimane University,,,,,,S,1983,8,,"Utsugi, Tanouchi, Ishihara",Katagiri et al. 1984,Studies on mineral cycling in a deciduous broad-leaved forest at Sanbe Forest of Shimane University (XII): Difference of above ground biomass in a deciduous broad-leaved forest along a slope [in Japanese with English abstract],"Katagiri, Shigeo; Ishii, Hiroshi; Miyake, Noboru; Ando, Yoshinori.",1984,"Bulletin of the Faculty of Agriculture, Shimane University",18,53-60,
11,Styrax japonica,Styracaceae,Styracaceae,446,446,,D,B,NA,NA,10.6,NA,NA,NA,NA,10.12,NA,NA,NA,NA,NA,NA,22.86,7.43,NA,NA,NA,30.29,NA,0.62,NA,NA,NA,NA,30.91,30,NA,NA,NA,0.04607,35.2,132.7,Japan,Shimane,Sanbe Forest of Shimane University,,,,,,S,1983,8,,"Utsugi, Tanouchi, Ishihara",Katagiri et al. 1984,Studies on mineral cycling in a deciduous broad-leaved forest at Sanbe Forest of Shimane University (XII): Difference of above ground biomass in a deciduous broad-leaved forest along a slope [in Japanese with English abstract],"Katagiri, Shigeo; Ishii, Hiroshi; Miyake, Noboru; Ando, Yoshinori.",1984,"Bulletin of the Faculty of Agriculture, Shimane University",18,53-60,
12,Styrax japonica,Styracaceae,Styracaceae,605,605,,D,B,NA,NA,4.9,NA,NA,NA,NA,5.77,NA,NA,NA,NA,NA,NA,2.37,0.99,NA,NA,NA,3.36,NA,0.33,NA,NA,NA,NA,3.69,32,NA,NA,NA,0.00519,35.2,132.7,Japan,Shimane,Sanbe Forest of Shimane University,,,,,,S,1983,8,,"Utsugi, Tanouchi, Ishihara",Katagiri et al. 1984,Studies on mineral cycling in a deciduous broad-leaved forest at Sanbe Forest of Shimane University (XII): Difference of above ground biomass in a deciduous broad-leaved forest along a slope [in Japanese with English abstract],"Katagiri, Shigeo; Ishii, Hiroshi; Miyake, Noboru; Ando, Yoshinori.",1984,"Bulletin of the Faculty of Agriculture, Shimane University",18,53-60,
13,Quercus acutissima,Fagaceae,Fagaceae,318,318,,D,B,NA,NA,22.1,NA,NA,NA,NA,21.2,NA,NA,NA,NA,NA,NA,217.16,42.75,NA,NA,NA,259.91,NA,4.2,NA,NA,NA,NA,264.11,41,NA,NA,NA,0.32632,35.2,132.7,Japan,Shimane,Sanbe Forest of Shimane University,,,,,,S,1983,8,,"Utsugi, Tanouchi, Ishihara",Katagiri et al. 1984,Studies on mineral cycling in a deciduous broad-leaved forest at Sanbe Forest of Shimane University (XII): Difference of above ground biomass in a deciduous broad-leaved forest along a slope [in Japanese with English abstract],"Katagiri, Shigeo; Ishii, Hiroshi; Miyake, Noboru; Ando, Yoshinori.",1984,"Bulletin of the Faculty of Agriculture, Shimane University",18,53-60,
14,Quercus acutissima,Fagaceae,Fagaceae,319,319,,D,B,NA,NA,25,NA,NA,NA,NA,19.3,NA,NA,NA,NA,NA,NA,259.16,7.61,NA,NA,NA,266.77,NA,1.88,NA,NA,NA,NA,268.65,36,NA,NA,NA,0.41443,35.2,132.7,Japan,Shimane,Sanbe Forest of Shimane University,,,,,,S,1983,8,,"Utsugi, Tanouchi, Ishihara",Katagiri et al. 1984,Studies on mineral cycling in a deciduous broad-leaved forest at Sanbe Forest of Shimane University (XII): Difference of above ground biomass in a deciduous broad-leaved forest along a slope [in Japanese with English abstract],"Katagiri, Shigeo; Ishii, Hiroshi; Miyake, Noboru; Ando, Yoshinori.",1984,"Bulletin of the Faculty of Agriculture, Shimane University",18,53-60,
15,Cornus macrophylla,Cornaceae,Cornaceae,447,447,,D,B,NA,NA,18.5,NA,NA,NA,NA,18.12,NA,NA,NA,NA,NA,NA,122.42,20.79,NA,NA,NA,143.21,NA,4.15,NA,NA,NA,NA,147.36,39,NA,NA,NA,0.21727,35.2,132.7,Japan,Shimane,Sanbe Forest of Shimane University,,,,,,S,1983,8,,"Utsugi, Tanouchi, Ishihara",Katagiri et al. 1984,Studies on mineral cycling in a deciduous broad-leaved forest at Sanbe Forest of Shimane University (XII): Difference of above ground biomass in a deciduous broad-leaved forest along a slope [in Japanese with English abstract],"Katagiri, Shigeo; Ishii, Hiroshi; Miyake, Noboru; Ando, Yoshinori.",1984,"Bulletin of the Faculty of Agriculture, Shimane University",18,53-60,
16,Cornus macrophylla,Cornaceae,Cornaceae,703,703,,D,B,NA,NA,7.3,NA,NA,NA,NA,10.1,NA,NA,NA,NA,NA,NA,13.2,1.27,NA,NA,NA,14.47,NA,0.41,NA,NA,NA,NA,14.88,24,NA,NA,NA,0.01779,35.2,132.7,Japan,Shimane,Sanbe Forest of Shimane University,,,,,,S,1976,7,,"Utsugi, Tanouchi, Ishihara",Katagiri et al. 1984,Studies on mineral cycling in a deciduous broad-leaved forest at Sanbe Forest of Shimane University (XII): Difference of above ground biomass in a deciduous broad-leaved forest along a slope [in Japanese with English abstract],"Katagiri, Shigeo; Ishii, Hiroshi; Miyake, Noboru; Ando, Yoshinori.",1984,"Bulletin of the Faculty of Agriculture, Shimane University",18,53-60,
17,Castanea crenata,Fagaceae,Fagaceae,705,705,,D,B,NA,NA,9.5,NA,NA,NA,NA,10.9,NA,NA,NA,NA,NA,NA,13.88,1.35,NA,NA,NA,15.23,NA,0.38,NA,NA,NA,NA,15.61,30,NA,NA,NA,0.03344,35.2,132.7,Japan,Shimane,Sanbe Forest of Shimane University,,,,,,S,1976,7,,"Utsugi, Tanouchi, Ishihara",Katagiri et al. 1984,Studies on mineral cycling in a deciduous broad-leaved forest at Sanbe Forest of Shimane University (XII): Difference of above ground biomass in a deciduous broad-leaved forest along a slope [in Japanese with English abstract],"Katagiri, Shigeo; Ishii, Hiroshi; Miyake, Noboru; Ando, Yoshinori.",1984,"Bulletin of the Faculty of Agriculture, Shimane University",18,53-60,
18,Quercus serrata,Fagaceae,Fagaceae,419,419,,D,B,NA,NA,31,NA,NA,NA,NA,22.65,NA,NA,NA,NA,NA,NA,390.5,105.38,NA,NA,NA,495.88,NA,9.58,NA,NA,NA,NA,505.46,38,NA,NA,NA,0.6287,35.2,132.7,Japan,Shimane,Sanbe Forest of Shimane University,,,,,,S,1983,8,,"Utsugi, Tanouchi, Ishihara",Katagiri et al. 1984,Studies on mineral cycling in a deciduous broad-leaved forest at Sanbe Forest of Shimane University (XII): Difference of above ground biomass in a deciduous broad-leaved forest along a slope [in Japanese with English abstract],"Katagiri, Shigeo; Ishii, Hiroshi; Miyake, Noboru; Ando, Yoshinori.",1984,"Bulletin of the Faculty of Agriculture, Shimane University",18,53-60,
19,Quercus serrata,Fagaceae,Fagaceae,416,416,,D,B,NA,NA,27.8,NA,NA,NA,NA,22.07,NA,NA,NA,NA,NA,NA,320.77,129.12,NA,NA,NA,449.89,NA,10.57,NA,NA,NA,NA,460.46,39,NA,NA,NA,0.53113,35.2,132.7,Japan,Shimane,Sanbe Forest of Shimane University,,,,,,S,1983,8,,"Utsugi, Tanouchi, Ishihara",Katagiri et al. 1984,Studies on mineral cycling in a deciduous broad-leaved forest at Sanbe Forest of Shimane University (XII): Difference of above ground biomass in a deciduous broad-leaved forest along a slope [in Japanese with English abstract],"Katagiri, Shigeo; Ishii, Hiroshi; Miyake, Noboru; Ando, Yoshinori.",1984,"Bulletin of the Faculty of Agriculture, Shimane University",18,53-60,
20,Quercus serrata,Fagaceae,Fagaceae,308,308,,D,B,NA,NA,15.8,NA,NA,NA,NA,15.85,NA,NA,NA,NA,NA,NA,84.64,4.34,NA,NA,NA,88.98,NA,1.19,NA,NA,NA,NA,90.17,36,NA,NA,NA,0.1439,35.2,132.7,Japan,Shimane,Sanbe Forest of Shimane University,,,,,,S,1983,8,,"Utsugi, Tanouchi, Ishihara",Katagiri et al. 1984,Studies on mineral cycling in a deciduous broad-leaved forest at Sanbe Forest of Shimane University (XII): Difference of above ground biomass in a deciduous broad-leaved forest along a slope [in Japanese with English abstract],"Katagiri, Shigeo; Ishii, Hiroshi; Miyake, Noboru; Ando, Yoshinori.",1984,"Bulletin of the Faculty of Agriculture, Shimane University",18,53-60,
21,Quercus serrata,Fagaceae,Fagaceae,310,310,,D,B,NA,NA,22.4,NA,NA,NA,NA,18.74,NA,NA,NA,NA,NA,NA,207.05,55.93,NA,NA,NA,262.98,NA,4.23,NA,NA,NA,NA,267.21,35,NA,NA,NA,0.35896,35.2,132.7,Japan,Shimane,Sanbe Forest of Shimane University,,,,,,S,1983,8,,"Utsugi, Tanouchi, Ishihara",Katagiri et al. 1984,Studies on mineral cycling in a deciduous broad-leaved forest at Sanbe Forest of Shimane University (XII): Difference of above ground biomass in a deciduous broad-leaved forest along a slope [in Japanese with English abstract],"Katagiri, Shigeo; Ishii, Hiroshi; Miyake, Noboru; Ando, Yoshinori.",1984,"Bulletin of the Faculty of Agriculture, Shimane University",18,53-60,
22,Quercus serrata,Fagaceae,Fagaceae,321,321,,D,B,NA,NA,15,NA,NA,NA,NA,19.06,NA,NA,NA,NA,NA,NA,104.83,11.35,NA,NA,NA,116.18,NA,2.12,NA,NA,NA,NA,118.3,37,NA,NA,NA,0.17201,35.2,132.7,Japan,Shimane,Sanbe Forest of Shimane University,,,,,,S,1983,8,,"Utsugi, Tanouchi, Ishihara",Katagiri et al. 1984,Studies on mineral cycling in a deciduous broad-leaved forest at Sanbe Forest of Shimane University (XII): Difference of above ground biomass in a deciduous broad-leaved forest along a slope [in Japanese with English abstract],"Katagiri, Shigeo; Ishii, Hiroshi; Miyake, Noboru; Ando, Yoshinori.",1984,"Bulletin of the Faculty of Agriculture, Shimane University",18,53-60,
23,Quercus serrata,Fagaceae,Fagaceae,325,325,,D,B,NA,NA,15.2,NA,NA,NA,NA,16.83,NA,NA,NA,NA,NA,NA,80.08,8.02,NA,NA,NA,88.1,NA,1.86,NA,NA,NA,NA,89.96,39,NA,NA,NA,0.1408,35.2,132.7,Japan,Shimane,Sanbe Forest of Shimane University,,,,,,S,1983,8,,"Utsugi, Tanouchi, Ishihara",Katagiri et al. 1984,Studies on mineral cycling in a deciduous broad-leaved forest at Sanbe Forest of Shimane University (XII): Difference of above ground biomass in a deciduous broad-leaved forest along a slope [in Japanese with English abstract],"Katagiri, Shigeo; Ishii, Hiroshi; Miyake, Noboru; Ando, Yoshinori.",1984,"Bulletin of the Faculty of Agriculture, Shimane University",18,53-60,
24,Quercus serrata,Fagaceae,Fagaceae,326,326,,D,B,NA,NA,17.9,NA,NA,NA,NA,17.09,NA,NA,NA,NA,NA,NA,103.29,5.13,NA,NA,NA,108.42,NA,0.74,NA,NA,NA,NA,109.16,38,NA,NA,NA,0.18482,35.2,132.7,Japan,Shimane,Sanbe Forest of Shimane University,,,,,,S,1983,8,,"Utsugi, Tanouchi, Ishihara",Katagiri et al. 1984,Studies on mineral cycling in a deciduous broad-leaved forest at Sanbe Forest of Shimane University (XII): Difference of above ground biomass in a deciduous broad-leaved forest along a slope [in Japanese with English abstract],"Katagiri, Shigeo; Ishii, Hiroshi; Miyake, Noboru; Ando, Yoshinori.",1984,"Bulletin of the Faculty of Agriculture, Shimane University",18,53-60,
25,Quercus serrata,Fagaceae,Fagaceae,329,329,,D,B,NA,NA,12.1,NA,NA,NA,NA,15.31,NA,NA,NA,NA,NA,NA,53.96,10.42,NA,NA,NA,64.38,NA,2.05,NA,NA,NA,NA,66.43,37,NA,NA,NA,0.08779,35.2,132.7,Japan,Shimane,Sanbe Forest of Shimane University,,,,,,S,1983,8,,"Utsugi, Tanouchi, Ishihara",Katagiri et al. 1984,Studies on mineral cycling in a deciduous broad-leaved forest at Sanbe Forest of Shimane University (XII): Difference of above ground biomass in a deciduous broad-leaved forest along a slope [in Japanese with English abstract],"Katagiri, Shigeo; Ishii, Hiroshi; Miyake, Noboru; Ando, Yoshinori.",1984,"Bulletin of the Faculty of Agriculture, Shimane University",18,53-60,
26,Quercus serrata,Fagaceae,Fagaceae,428,428,,D,B,NA,NA,5.8,NA,NA,NA,NA,8.35,NA,NA,NA,NA,NA,NA,6.32,0.4,NA,NA,NA,6.72,NA,0.09,NA,NA,NA,NA,6.81,39,NA,NA,NA,0.00996,35.2,132.7,Japan,Shimane,Sanbe Forest of Shimane University,,,,,,S,1983,8,,"Utsugi, Tanouchi, Ishihara",Katagiri et al. 1984,Studies on mineral cycling in a deciduous broad-leaved forest at Sanbe Forest of Shimane University (XII): Difference of above ground biomass in a deciduous broad-leaved forest along a slope [in Japanese with English abstract],"Katagiri, Shigeo; Ishii, Hiroshi; Miyake, Noboru; Ando, Yoshinori.",1984,"Bulletin of the Faculty of Agriculture, Shimane University",18,53-60,
27,Quercus serrata,Fagaceae,Fagaceae,439,439,,D,B,NA,NA,9.9,NA,NA,NA,NA,13.96,NA,NA,NA,NA,NA,NA,25.22,2.51,NA,NA,NA,27.73,NA,0.32,NA,NA,NA,NA,28.05,31,NA,NA,NA,0.04733,35.2,132.7,Japan,Shimane,Sanbe Forest of Shimane University,,,,,,S,1983,8,,"Utsugi, Tanouchi, Ishihara",Katagiri et al. 1984,Studies on mineral cycling in a deciduous broad-leaved forest at Sanbe Forest of Shimane University (XII): Difference of above ground biomass in a deciduous broad-leaved forest along a slope [in Japanese with English abstract],"Katagiri, Shigeo; Ishii, Hiroshi; Miyake, Noboru; Ando, Yoshinori.",1984,"Bulletin of the Faculty of Agriculture, Shimane University",18,53-60,
28,Quercus serrata,Fagaceae,Fagaceae,440,440,,D,B,NA,NA,8.9,NA,NA,NA,NA,12.76,NA,NA,NA,NA,NA,NA,20,0.47,NA,NA,NA,20.47,NA,0.17,NA,NA,NA,NA,20.64,31,NA,NA,NA,0.03523,35.2,132.7,Japan,Shimane,Sanbe Forest of Shimane University,,,,,,S,1983,8,,"Utsugi, Tanouchi, Ishihara",Katagiri et al. 1984,Studies on mineral cycling in a deciduous broad-leaved forest at Sanbe Forest of Shimane University (XII): Difference of above ground biomass in a deciduous broad-leaved forest along a slope [in Japanese with English abstract],"Katagiri, Shigeo; Ishii, Hiroshi; Miyake, Noboru; Ando, Yoshinori.",1984,"Bulletin of the Faculty of Agriculture, Shimane University",18,53-60,
29,Quercus serrata,Fagaceae,Fagaceae,441,441,,D,B,NA,NA,18.4,NA,NA,NA,NA,17.49,NA,NA,NA,NA,NA,NA,121.17,29.86,NA,NA,NA,151.03,NA,3.69,NA,NA,NA,NA,154.72,39,NA,NA,NA,0.22916,35.2,132.7,Japan,Shimane,Sanbe Forest of Shimane University,,,,,,S,1983,8,,"Utsugi, Tanouchi, Ishihara",Katagiri et al. 1984,Studies on mineral cycling in a deciduous broad-leaved forest at Sanbe Forest of Shimane University (XII): Difference of above ground biomass in a deciduous broad-leaved forest along a slope [in Japanese with English abstract],"Katagiri, Shigeo; Ishii, Hiroshi; Miyake, Noboru; Ando, Yoshinori.",1984,"Bulletin of the Faculty of Agriculture, Shimane University",18,53-60,
30,Quercus serrata,Fagaceae,Fagaceae,450,450,,D,B,NA,NA,16.9,NA,NA,NA,NA,16.6,NA,NA,NA,NA,NA,NA,95.43,8.09,NA,NA,NA,103.52,NA,1.26,NA,NA,NA,NA,104.78,39,NA,NA,NA,0.18169,35.2,132.7,Japan,Shimane,Sanbe Forest of Shimane University,,,,,,S,1983,8,,"Utsugi, Tanouchi, Ishihara",Katagiri et al. 1984,Studies on mineral cycling in a deciduous broad-leaved forest at Sanbe Forest of Shimane University (XII): Difference of above ground biomass in a deciduous broad-leaved forest along a slope [in Japanese with English abstract],"Katagiri, Shigeo; Ishii, Hiroshi; Miyake, Noboru; Ando, Yoshinori.",1984,"Bulletin of the Faculty of Agriculture, Shimane University",18,53-60,
31,Quercus serrata,Fagaceae,Fagaceae,590,590,,D,B,NA,NA,20.5,NA,NA,NA,NA,15.68,NA,NA,NA,NA,NA,NA,133.2,25.43,NA,NA,NA,158.63,NA,4.81,NA,NA,NA,NA,163.44,39,NA,NA,NA,0.24463,35.2,132.7,Japan,Shimane,Sanbe Forest of Shimane University,,,,,,S,1983,8,,"Utsugi, Tanouchi, Ishihara",Katagiri et al. 1984,Studies on mineral cycling in a deciduous broad-leaved forest at Sanbe Forest of Shimane University (XII): Difference of above ground biomass in a deciduous broad-leaved forest along a slope [in Japanese with English abstract],"Katagiri, Shigeo; Ishii, Hiroshi; Miyake, Noboru; Ando, Yoshinori.",1984,"Bulletin of the Faculty of Agriculture, Shimane University",18,53-60,
32,Quercus serrata,Fagaceae,Fagaceae,592,592,,D,B,NA,NA,13.4,NA,NA,NA,NA,12.23,NA,NA,NA,NA,NA,NA,37.94,5.62,NA,NA,NA,43.56,NA,0.96,NA,NA,NA,NA,44.52,38,NA,NA,NA,0.06439,35.2,132.7,Japan,Shimane,Sanbe Forest of Shimane University,,,,,,S,1983,8,,"Utsugi, Tanouchi, Ishihara",Katagiri et al. 1984,Studies on mineral cycling in a deciduous broad-leaved forest at Sanbe Forest of Shimane University (XII): Difference of above ground biomass in a deciduous broad-leaved forest along a slope [in Japanese with English abstract],"Katagiri, Shigeo; Ishii, Hiroshi; Miyake, Noboru; Ando, Yoshinori.",1984,"Bulletin of the Faculty of Agriculture, Shimane University",18,53-60,
33,Quercus serrata,Fagaceae,Fagaceae,593,593,,D,B,NA,NA,14,NA,NA,NA,NA,13.7,NA,NA,NA,NA,NA,NA,52.66,5.24,NA,NA,NA,57.9,NA,1.38,NA,NA,NA,NA,59.28,38,NA,NA,NA,0.09375,35.2,132.7,Japan,Shimane,Sanbe Forest of Shimane University,,,,,,S,1983,8,,"Utsugi, Tanouchi, Ishihara",Katagiri et al. 1984,Studies on mineral cycling in a deciduous broad-leaved forest at Sanbe Forest of Shimane University (XII): Difference of above ground biomass in a deciduous broad-leaved forest along a slope [in Japanese with English abstract],"Katagiri, Shigeo; Ishii, Hiroshi; Miyake, Noboru; Ando, Yoshinori.",1984,"Bulletin of the Faculty of Agriculture, Shimane University",18,53-60,
34,Quercus serrata,Fagaceae,Fagaceae,594,594,,D,B,NA,NA,8.4,NA,NA,NA,NA,10.55,NA,NA,NA,NA,NA,NA,17.74,1.04,NA,NA,NA,18.78,NA,0.34,NA,NA,NA,NA,19.12,31,NA,NA,NA,0.02807,35.2,132.7,Japan,Shimane,Sanbe Forest of Shimane University,,,,,,S,1983,8,,"Utsugi, Tanouchi, Ishihara",Katagiri et al. 1984,Studies on mineral cycling in a deciduous broad-leaved forest at Sanbe Forest of Shimane University (XII): Difference of above ground biomass in a deciduous broad-leaved forest along a slope [in Japanese with English abstract],"Katagiri, Shigeo; Ishii, Hiroshi; Miyake, Noboru; Ando, Yoshinori.",1984,"Bulletin of the Faculty of Agriculture, Shimane University",18,53-60,
35,Quercus serrata,Fagaceae,Fagaceae,596,596,,D,B,NA,NA,5,NA,NA,NA,NA,6.1,NA,NA,NA,NA,NA,NA,3.65,0.7,NA,NA,NA,4.35,NA,0.04,NA,NA,NA,NA,4.39,29,NA,NA,NA,0.0067,35.2,132.7,Japan,Shimane,Sanbe Forest of Shimane University,,,,,,S,1983,8,,"Utsugi, Tanouchi, Ishihara",Katagiri et al. 1984,Studies on mineral cycling in a deciduous broad-leaved forest at Sanbe Forest of Shimane University (XII): Difference of above ground biomass in a deciduous broad-leaved forest along a slope [in Japanese with English abstract],"Katagiri, Shigeo; Ishii, Hiroshi; Miyake, Noboru; Ando, Yoshinori.",1984,"Bulletin of the Faculty of Agriculture, Shimane University",18,53-60,
36,Quercus serrata,Fagaceae,Fagaceae,597,597,,D,B,NA,NA,11,NA,NA,NA,NA,13.7,NA,NA,NA,NA,NA,NA,37.67,4.97,NA,NA,NA,42.64,NA,1.36,NA,NA,NA,NA,44,37,NA,NA,NA,0.06457,35.2,132.7,Japan,Shimane,Sanbe Forest of Shimane University,,,,,,S,1983,8,,"Utsugi, Tanouchi, Ishihara",Katagiri et al. 1984,Studies on mineral cycling in a deciduous broad-leaved forest at Sanbe Forest of Shimane University (XII): Difference of above ground biomass in a deciduous broad-leaved forest along a slope [in Japanese with English abstract],"Katagiri, Shigeo; Ishii, Hiroshi; Miyake, Noboru; Ando, Yoshinori.",1984,"Bulletin of the Faculty of Agriculture, Shimane University",18,53-60,
