"","reference"
"1","KENZO T, FURUTANI R, HATTORI D, KENDAWANG JJ, TANAKA S, SAKURAI K & NINOMIYA I. 2009. Allometric equations for accurate estimation of above-ground biomass in logged-over tropical rainforests in Sarawak, Malaysia. Journal of Forest Research 14: 365_372"
"2","Kenzo 2004 unpub."
