"Topic","Description"
"Sampling strategy","All trees were harvested to measure all plant parts variables."
"Stem cross sectional area","The area was calculated from stem diameter including bark"
"Height","Tree height was defined as the length from ground to the apex of the tallest shoot."
"Biomass","Total fresh weight was measured in the field and representative subsamples were dried at 80degC for at least 72h to determine dry biomass."
"Traits","Species traits were defined from flora record and our observations."
"Growth environment","Growth environment was defined from our observations."
"Year collected","2001-2003"
"Acknowledgements","I. Ninomiya, K. Sakurai, J. J. Kendawang and D. Hattori"
