lookupVariable,lookupValue,newVariable,newValue,source
,,age,15,original datafile
,,family,Pinaceae,
,,pft,EG,
,,species,Pinus taeda,
,,growingCondition,PU,
,,latitude,33.235,found on map
,,longitude,-89.05,found on map
,,location,"Winston County, Mississippi USA",datafile
,,vegetation,TempF,DBarneche[from_Remko]
,,h.bh,1.37,DBarneche[from_Scott_Roberts]
