"Loblolly pine, 15-years-old at time of destructive harvest, Winston County, Mississippi (Roberts et al. 2003. Forest Ecology and Management  172:261-270)",,,,,,,,,,,,,,
"In our analysis, we didn't include families 'O' and 'C' because they were all border trees, thus had very unequal crowns.",,,,,,,,,,,,,,
Variables described on separate worksheet,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
fam,tree,dbh,hite_m,hite_a,ht_blc,CW1,CW2,cw_avg,stem,branches,foliage,twigs,crn_wood,tot_wt
R,R9,24.3,18,18.05,12.2,5.60,5.10,5.35,150885.265,18829.54102,9959.725048,2244.543243,21074.08426,181919.0743
W,W1,12.4,13.8,13.90,10,,,,32820.8886,1376.54397,1519.949655,278.1607923,1654.704763,35995.54302
W,W2,23.3,16.8,17.31,7.6,6.75,5.70,6.23,136106.7716,26344.6518,12625.64108,3336.70598,29681.35778,178413.7705
W,W3,22.2,18,17.80,11,5.40,4.47,4.94,119864.6785,14690.06043,9803.76266,2032.99678,16723.05721,146391.4983
W,W4,16.9,17.1,16.40,10.1,3.95,3.12,3.54,78954.07774,7232.231665,5260.601976,1161.1859,8393.417566,92608.09728
W,W5,18.6,16.4,16.50,12.6,4.35,3.10,3.73,80479.84769,7245.673759,6267.144471,1199.263264,8444.937023,95191.92919
W,W6,20.5,17,17.25,10,5.90,5.07,5.49,115619.8558,15421.38494,11024.50653,2172.83731,17594.22225,144238.5846
W,W7,17.7,15.4,15.35,8.6,3.75,3.25,3.5,70492.86746,6367.81631,5202.950181,1187.423526,7555.239835,83251.05748
W,W8,21.7,17,17.32,9,5.20,3.90,4.55,126418.223,17751.92309,11856.95204,2972.56102,20724.48411,158999.6591
Y,Y1,17,17,16.90,11,4.35,3.23,3.79,78433.64658,5224.447288,6896.291834,1654.987774,6879.435062,92209.37347
Y,Y2,16.5,16.4,16.58,11.4,2.70,2.10,2.4,68347.67516,2787.252253,4594.48029,956.5388204,3743.791073,76685.94653
Y,Y3,14.7,16.4,16.30,11,3.13,3.15,3.14,53568.49606,2376.703568,3791.733188,780.1180686,3156.821637,60517.05089
Y,Y4,18,16.4,16.60,11.6,3.48,4.15,3.82,83674.10014,6654.414726,6599.477406,1083.657872,7738.072598,98011.65014
Y,Y5,14.5,16,16.45,11.6,3.65,2.95,3.3,51464.43585,2833.921103,3549.67949,874.1964365,3708.11754,58722.23288
Y,Y6,19.4,16.8,17.25,10.2,3.75,2.60,3.18,90257.9395,8289.198902,6099.271189,1486.27148,9775.470382,106132.6811
Y,Y7,19.3,18,16.50,9.6,3.60,2.90,3.25,83242.6601,6070.619544,5949.79165,1420.954274,7491.573818,96684.02556
Y,Y8,18.1,16.8,17.00,11.2,3.40,2.30,2.85,91367.79088,6482.5017,7282.074799,1831.681356,8314.183056,106964.0487
