Tree_no,Family,Genera,species,growth_form,dbh_95,Dbh_2004,tree_ht,Fork_ht,crown_depth,cr_width,crown_sil_area,rel_cr_width
142,Euphorbiaceae,Mallotus,Mal_wrayei,understorey,5.45,6.7,7.4285,2.4501,4.9784,3.85,15.05966,0.518274214
260,Euphorbiaceae,Mallotus,Mal_wrayei,understorey,5.6,6.1,8.01,4.5,3.51,3.675,10.135125,0.458801498
821,Euphorbiaceae,Mallotus,Mal_wrayei,understorey,7.1,7.5,9.009,3.2604,5.7486,4.77,21.54493157,0.529470529
713,Euphorbiaceae,Mallotus,Mal_wrayei,understorey,6.6,7.1,10.0983,7.2248,2.8735,2.4,5.4186,0.237663765
952,Euphorbiaceae,Mallotus,Mal_wrayei,understorey,7,7.2,10.1436,5.0244,5.1192,5.6,22.52448,0.552072243
827,Euphorbiaceae,Mallotus,Mal_wrayei,understorey,8.6,8.9,10.79,2.822,7.968,4.68,29.29947429,0.43373494
152,Euphorbiaceae,Mallotus,Mal_wrayei,understorey,6.9,7.8,11.1456,4.5666,6.579,5.265,27.21591321,0.472383721
154,Euphorbiaceae,Mallotus,Mal_wrayei,understorey,7.5,9.5,13.26,6.6,6.66,3.8,19.88485714,0.286576169
256,Euphorbiaceae,Mallotus,Mal_wrayei,understorey,10.5,10.7,13.719,5.133,8.586,4.8,32.38148571,0.349879729
642,Rubiaceae,Urophyllum,Urophyl_arboret,understorey,5.8,6,8.26,4.72,3.54,2.4,6.675428571,0.290556901
798,Rubiaceae,Urophyllum,Urophyl_arboret,understorey,5.4,6.1,9.1504,0.4816,8.6688,3.815,25.984728,0.416921665
87,Rubiaceae,Urophyllum,Urophyl_arboret,understorey,8.3,9,11.2,7.68,3.52,2.66,7.3568,0.2375
242,Rubiaceae,Urophyllum,Urophyl_arboret,understorey,8.1,9.1,11.316,7.626,3.69,3.59,10.40843571,0.317249912
122,Rubiaceae,Urophyllum,Urophyl_arboret,understorey,7,7.5,11.772,5.832,5.94,2.805,13.09133571,0.238277268
576,Rubiaceae,Urophyllum,Urophyl_arboret,understorey,10.2,13,14.49,9.45,5.04,2.25,8.91,0.155279503
346,Rubiaceae,Urophyllum,Urophyl_arboret,understorey,7.5,7.9,15.174,11.842,3.332,3.13,8.19434,0.20627389
113,Rubiaceae,Urophyllum,Urophyl_arboret,understorey,10,10.5,15.488,4.864,10.624,3.85,32.1376,0.248579545
550,Rubiaceae,Urophyllum,Urophyl_arboret,understorey,10,10.9,15.879,11.136,4.743,2.65,9.875603571,0.166887084
530,Rubiaceae,Urophyllum,Urophyl_arboret,understorey,13.6,16.35,16.095,9.9,6.195,2.17,10.562475,0.13482448
117,Rubiaceae,Urophyllum,Urophyl_arboret,understorey,10.65,14.1,16.402,11.954,4.448,4.425,15.46474286,0.269784173
312,Rubiaceae,Urophyllum,Urophyl_arboret,understorey,10.8,11.9,17.696,11.984,5.712,5.625,25.245,0.317868445
