,,,yr,m2,cm2 (5),m2,m,,g,g,g,g/m2,,,,,,mol/m2 (3) ,,-4,,,,,,,,
Species,Code,family,Age,a.lf,lf.sz,a.st,h.t,h.c,m.lf,m.st,m.br.2.,lf.ma.1.,d.st,n.lf,pft,growth.conditions,status,light,Dawkins,Climbing,group..7.,lat,long,vegetation,lai,map,mat,reference
Trema micrantha,2,2,0.5,0.828,26.9,0.000246057,2.21,1.59,57.7972,117.04,20.212,69.79982093,0.349410354,103.4501515,EA,unmanaged,,33.11600982,5,,secondary forest 6 mo,11S,66W,TropRF,1.66,1780,26,Selaya et al. (2007) Annals of Botany 99:141-151; Selaya & Anten (2010) Ecology 91: 1102-1113
Trema micrantha,7,7,0.5,0.1317,26.9,5.15E-05,1.23,0.55,6.235,13.552,,47.3439559,0.237259971,95.40672604,EA,unmanaged,,24.28200603,5,,secondary forest 6 mo,11S,66W,TropRF,1.66,1780,26,Selaya et al. (2007) Annals of Botany 99:141-151; Selaya & Anten (2010) Ecology 91: 1102-1113
Trema micrantha,11,11,0.5,0.4271,26.9,0.000145267,1.45,1.07,23.4398,31.246,5.782,54.88751094,0.189774372,114.3680249,EA,unmanaged,,22.99093116,5,,secondary forest 6 mo,11S,66W,TropRF,1.66,1780,26,Selaya et al. (2007) Annals of Botany 99:141-151; Selaya & Anten (2010) Ecology 91: 1102-1113
Trema micrantha,15,15,0.5,0.8264,26.9,0.000248846,1.83,1.1,49.4757,94.72,20.968,59.86875259,0.320327202,108.1369558,EA,unmanaged,,26.16762027,5,,secondary forest 6 mo,11S,66W,TropRF,1.66,1780,26,Selaya et al. (2007) Annals of Botany 99:141-151; Selaya & Anten (2010) Ecology 91: 1102-1113
Trema micrantha,21,21,0.5,0.1191,26.9,3.53E-05,1.32,0.66,6.878,17.015,1.717,57.74981476,0.442925122,89.17930897,EA,unmanaged,,29.15257377,5,,secondary forest 6 mo,11S,66W,TropRF,1.66,1780,26,Selaya et al. (2007) Annals of Botany 99:141-151; Selaya & Anten (2010) Ecology 91: 1102-1113
Trema micrantha,26,26,0.5,0.0593,26.9,2.46E-05,0.78,0.26,2.753,5.654,0.848,46.43839955,0.294303391,103.421606,EA,unmanaged,,27.65009448,5,,secondary forest 6 mo,11S,66W,TropRF,1.66,1780,26,Selaya et al. (2007) Annals of Botany 99:141-151; Selaya & Anten (2010) Ecology 91: 1102-1113
Trema micrantha,39,39,0.5,0.3301,26.9,8.66E-05,1.43,0.79,19.5702,29.587,5.373,59.28388633,0.301512363,86.59681968,EA,unmanaged,,29.61670272,5,,secondary forest 6 mo,11S,66W,TropRF,1.66,1780,26,Selaya et al. (2007) Annals of Botany 99:141-151; Selaya & Anten (2010) Ecology 91: 1102-1113
Trema micrantha,64,64,0.5,0.6446,26.9,0.000193593,2.35,1.79,31.0227,77.917,11.914,48.12670008,0.279256263,113.8007908,EA,unmanaged,,31.89772667,4,,secondary forest 6 mo,11S,66W,TropRF,1.66,1780,26,Selaya et al. (2007) Annals of Botany 99:141-151; Selaya & Anten (2010) Ecology 91: 1102-1113
Trema micrantha,116,116,0.5,0.2138,26.9,6.22E-05,1.56,1.16,10.165,16.995,1.428,47.54415292,0.229282778,112.6714534,EA,unmanaged,,26.60228895,4,,secondary forest 6 mo,11S,66W,TropRF,1.66,1780,26,Selaya et al. (2007) Annals of Botany 99:141-151; Selaya & Anten (2010) Ecology 91: 1102-1113
Trema micrantha,120,120,0.5,0.6224,26.9,0.000147411,1.87,1.59,37.3112,77.385,,59.94447511,0.336921068,124.9820985,EA,unmanaged,,24.55410234,5,,secondary forest 6 mo,11S,66W,TropRF,1.66,1780,26,Selaya et al. (2007) Annals of Botany 99:141-151; Selaya & Anten (2010) Ecology 91: 1102-1113
Trema micrantha,122,122,0.5,0.836,26.9,0.00011122,1.53,1.13,48.3076,41.719,15.423,57.78496792,0.331962977,126.9670883,EA,unmanaged,,22.87492409,5,,secondary forest 6 mo,11S,66W,TropRF,1.66,1780,26,Selaya et al. (2007) Annals of Botany 99:141-151; Selaya & Anten (2010) Ecology 91: 1102-1113
Trema micrantha,128,128,0.5,0.1615,26.9,4.78E-05,1,0.82,8.1413,7.199,2.54,50.41184929,0.147058749,82.68101761,EA,unmanaged,,17.9812549,5,,secondary forest 6 mo,11S,66W,TropRF,1.66,1780,26,Selaya et al. (2007) Annals of Botany 99:141-151; Selaya & Anten (2010) Ecology 91: 1102-1113
Trema micrantha,135,135,0.5,0.1119,26.9,4.90E-05,0.89,0.49,6.7352,7.489,1.908,60.19997437,0.171668163,119.5399491,EA,unmanaged,,17.57569729,3,,secondary forest 6 mo,11S,66W,TropRF,1.66,1780,26,Selaya et al. (2007) Annals of Botany 99:141-151; Selaya & Anten (2010) Ecology 91: 1102-1113
Trema micrantha,139,139,0.5,0.5145,26.9,0.000103869,1.36,1.13,28.9261,36.007,7.811,56.21771255,0.287978384,104.8442721,EA,unmanaged,,23.25129535,5,,secondary forest 6 mo,11S,66W,TropRF,1.66,1780,26,Selaya et al. (2007) Annals of Botany 99:141-151; Selaya & Anten (2010) Ecology 91: 1102-1113
Trema micrantha,167,167,0.5,0.1038,26.9,1.45E-05,0.7,0.52,4.6,3.581,0.581,44.33008567,0.352273106,120.8061665,EA,unmanaged,,9.641302533,5,,secondary forest 6 mo,11S,66W,TropRF,1.66,1780,26,Selaya et al. (2007) Annals of Botany 99:141-151; Selaya & Anten (2010) Ecology 91: 1102-1113
