"var_in","method","unit_in","var_out","notes"
"Replicate #",NA,NA,NA,NA
"Species",NA,NA,"species",NA
"Glasshouse#",NA,NA,NA,NA
"CO2",NA,NA,NA,NA
"H2O",NA,NA,NA,NA
"Number of leaves",NA,NA,NA,NA
"Leaf Area (m2)","b,o,1","m2","a.lf",NA
"Height (m)","m1","m","h.t",NA
"Mean leaf size (cm2)","a1,1","cm2","a.ilf",NA
"Mean leaf angle (deg)",NA,NA,NA,NA
"STARbar (m2.m2)",NA,NA,NA,NA
"Crown Volume (m3)",NA,NA,NA,NA
"Crown surface area (m2)",NA,"m2","a.cs",NA
"Crown width (m)",NA,"m","d.cr",NA
