spcode,replicate,height,firstbranch_diameter,base_diameter,wood_biomass,leaf_biomass,total_biomass
ASTTRY,1,66.3,0.99,0.88,0.0344,0.057,0.0914
PHESQU,1,40.13,1.28,1.13,0.0482,0.0591,0.1073
PROCUN,1,112.73,2,1.7,0.1923,0.1775,0.3698
ASTTRY,2,64.12,1.09,0.7,0.0445,0.0764,0.1209
PHESQU,2,82.49,1.47,1.13,0.0958,0.1928,0.2886
PHESQU,3,83.01,2.08,1.05,0.1096,0.191,0.3006
PHESQU,4,44.54,0.97,0.68,0.0273,0.0458,0.0731
PHESQU,5,71.32,1.87,1.37,0.1433,0.1897,0.333
PHESQU,6,51.91,0.85,0.38,0.016,0.0187,0.0347
PHESQU,7,59.27,1.06,0.07,0.0388,0.0582,0.097
PHESQU,8,60.9,2.17,1.81,0.153,0.1911,0.3441
PHESQU,9,63.64,1.52,1.04,0.0994,0.118,0.2174
PHESQU,10,75.67,1.64,1.33,0.1295,0.2339,0.3634
ASTTRY,3,72.9,1.03,0.77,0.0635,0.1292,0.1927
PROCUN,2,94.6,2.8,2.59,0.3804,0.5319,0.9123
PROCUN,3,89.9,2.33,1.94,0.4559,0.5528,1.0087
PROCUN,4,109.17,1.75,1.66,0.2077,0.4528,0.6605
PHESQU,11,42.59,1.52,1.06,0.0428,0.0734,0.1162
PHESQU,12,47.69,1.21,0.74,0.0371,0.0337,0.0708
PHESQU,13,41.47,1.03,0.64,0.0231,0.0161,0.0392
ASTTRY,4,107.47,1.73,1.15,0.1444,0.196,0.3404
ASTTRY,5,77.53,1.37,1.29,0.0966,0.15,0.2466
ASTTRY,6,99.03,0.77,0.62,0.0872,0.1346,0.2218
PROCUN,5,105.95,2.09,1.77,0.1833,0.3343,0.5176
PHESQU,14,39.23,1.53,0.81,0.0479,0.0707,0.1186
GREAUS,1,178.88,2.04,1.86,0.3059,0.3787,0.6846
GREAUS,2,79.59,1.36,0.95,0.0745,0.128,0.2025
PHESQU,15,53.1,0.66,0.48,0.0239,0.0392,0.0631
GREAUS,3,77.31,1.21,0.99,0.1111,0.1677,0.2788
GREAUS,4,81.92,1.3,0.64,0.062,0.0732,0.1352
GREAUS,5,59.48,1.16,1.24,0.057,0.0674,0.1244
GREAUS,6,58.69,1.14,1.44,0.0644,0.1191,0.1835
GREAUS,7,68.71,1.63,1.29,0.1253,0.1808,0.3061
PROCUN,6,101.11,1.82,1.64,0.2379,0.3201,0.558
ASTTRY,7,48.16,0.9,0.56,0.0467,0.05,0.0967
ASTTRY,8,55.59,1.38,1.28,0.1856,0.2831,0.4687
PROCUN,7,121.15,2.65,2.12,0.386,0.793,1.179
PROCUN,8,71.47,2.28,1.96,0.2286,0.4898,0.7184
PHESQU,16,51.96,0.89,0.82,0.0355,0.0712,0.1067
ASTTRY,9,69.47,1.13,1.01,0.072,0.091,0.163
GREAUS,8,72.29,1.18,1.07,0.0548,0.1118,0.1666
GREAUS,9,78.37,2.58,1.52,0.1801,0.4093,0.5894
GREAUS,10,94.8,2.51,2.48,0.3807,0.4367,0.8174
GREAUS,11,79.37,1.4,0.84,0.0694,0.0849,0.1543
GREAUS,12,43.06,1.43,1.41,0.0657,0.093,0.1587
GREAUS,13,79.31,0.81,0.87,0.0456,0.0917,0.1373
GREAUS,14,70.68,1.32,1.37,0.1311,0.2266,0.3577
GREAUS,15,51.61,1.2,0.9,0.0575,0.0855,0.143
GREAUS,16,75.58,1.41,1.47,0.1478,0.231,0.3788
GREAUS,17,69.54,1.12,1.17,0.0776,0.0956,0.1732
PROCUN,9,96.96,1.73,1.86,0.1609,0.374,0.5349
GREAUS,18,70.2,0.8,0.67,0.0391,0.0345,0.0736
GREAUS,19,68.14,1.16,1.12,0.0602,0.1298,0.19
GREAUS,20,59.21,2.1,1.5,0.1368,0.2321,0.3689
GREAUS,21,81.4,1.47,1.27,0.1331,0.2766,0.4097
GREAUS,22,72.91,1.2,1.01,0.0778,0.1278,0.2056
GREAUS,23,87.25,1.62,1.61,0.1157,0.2737,0.3894
GREAUS,24,70.95,1.11,1.11,0.0751,0.1137,0.1888
GREAUS,25,54.71,1.14,0.66,0.0575,0.1023,0.1598
PROCUN,10,126.99,2.48,1.63,0.2654,0.0911,0.3565
PROCUN,11,88.33,3.57,2.89,0.7579,0.5411,1.299
PROCUN,12,68.11,1.85,1.09,0.0965,0.1245,0.221
GREAUS,26,66.87,2.57,1.91,0.1569,0.1445,0.3014
GREAUS,27,65.36,3.04,2.21,0.181,0.1813,0.3623
GREAUS,28,62.34,2.33,1.46,0.115,0.2075,0.3225
ASTTRY,10,106.46,2.68,2.46,0.6541,0.9532,1.6073
ASTTRY,11,50.62,0.72,0.82,0.0583,0.1139,0.1722
GREAUS,29,87.81,2.18,1.85,0.2945,0.3842,0.6787
GREAUS,30,80.58,2.18,1.93,0.2237,0.3192,0.5429
GREAUS,31,45.97,1.24,1.13,0.0387,0.0347,0.0734
GREAUS,32,155.26,2.72,2.43,0.5997,0.7011,1.3008
PROCUN,13,74.89,1.99,1.99,0.2209,0.3935,0.6144
PROCUN,14,71.64,2.67,2.33,0.2794,0.5438,0.8232
ASTTRY,12,40.88,0.77,0.7,0.0211,0.043,0.0641
PROCUN,15,86.1,3,2.39,0.3064,0.6606,0.967
GREAUS,33,140.26,2.85,3.12,0.6861,0.7926,1.4787
GREAUS,34,43.61,1.54,1.52,0.0929,0.0612,0.1541
PROCUN,16,149.27,3.71,4.42,1.2475,0.9032,2.1507
ASTTRY,13,58.65,1.15,0.77,0.0442,0.0588,0.103
PROCUN,17,91.84,1.68,1.4,0.2124,0.4267,0.6391
GREAUS,35,134.22,2.18,1.94,0.2638,0.276,0.5398
GREAUS,36,114.31,2.61,2.52,0.4804,0.6708,1.1512
PROCUN,18,98.08,2.39,2.68,0.3215,0.4939,0.8154
ASTTRY,14,82.9,1.69,1.39,0.2269,0.4081,0.635
PROCUN,19,144.29,5.19,4.2,1.5121,1.8776,3.3897
PROCUN,20,92.47,2.44,2.22,0.3223,0.698,1.0203
GREAUS,37,105.42,2.57,2.53,0.4341,0.4949,0.929
GREAUS,38,82,2.13,1.98,0.2406,0.3628,0.6034
GREAUS,39,80.74,2.73,2.4,0.4318,0.443,0.8748
GREAUS,40,96.19,1.91,1.99,0.2076,0.3404,0.548
ASTTRY,15,28.03,0.64,0.66,0.0119,0.0277,0.0396
GREAUS,41,120.24,2.04,2.09,0.3506,0.3604,0.711
PROCUN,21,122.23,3.62,3.43,1.0166,0.7958,1.8124
PROCUN,22,95.92,2.41,2.08,0.3325,0.6871,1.0196
PHESQU,17,81.11,2.13,1.71,0.1709,0.1101,0.281
GREAUS,42,133.84,2.83,2.5,0.5454,0.7542,1.2996
PROCUN,23,130.34,2.66,2.87,0.76,0.7811,1.5411
PROCUN,24,69.61,1.76,2.92,0.1669,0.3071,0.474
ASTTRY,16,89.15,1.63,1.57,0.3297,0.4527,0.7824
PHESQU,31,68.67,1.49,1.24,0.092,0.05,0.142
PHESQU,18,50.63,1.22,1.28,0.0582,0.0883,0.1465
PHESQU,19,52.99,1.04,0.81,0.0395,0.0307,0.0702
PROCUN,25,44.4,0.93,0.94,0.0478,0.0496,0.0974
PROCUN,26,62.65,1.99,1.54,0.2251,0.2618,0.4869
ASTTRY,17,56.42,1.06,0.78,0.0516,0.0672,0.1188
ASTTRY,18,39.27,0.82,0.4,0.0145,0.0225,0.037
ASTTRY,19,92.85,2.59,2.74,0.7396,1.0139,1.7535
PROCUN,27,86.96,2.97,2.59,0.4957,0.9499,1.4456
PROCUN,28,84.94,1.86,1.64,0.2322,0.2938,0.526
PROCUN,29,77.18,1.79,1.79,0.1945,0.3524,0.5469
ASTTRY,20,33.05,0.73,0.64,0.0182,0.0293,0.0475
ASTTRY,21,138.11,4.4,2.54,0.9606,0.8401,1.8007
PHESQU,20,50.85,1,1.32,0.0604,0.0331,0.0935
PHESQU,21,53.3,1.91,2.02,0.1283,0.1251,0.2534
PHESQU,22,70.79,4,2.25,0.414,0.2638,0.6778
PHESQU,23,139.51,4.61,3.18,1.4023,0.8303,2.2326
PHESQU,24,67.94,1.03,1.04,0.0657,0.0996,0.1653
PHESQU,25,61.84,2.59,1.66,0.157,0.1678,0.3248
PHESQU,26,69.97,1.85,1.52,0.1707,0.1959,0.3666
PHESQU,27,38.15,1.08,0.52,0.0187,0.0153,0.034
PHESQU,28,109.85,3.71,2.58,0.6431,0.5626,1.2057
PHESQU,29,68.11,2.04,1.41,0.1639,0.0981,0.262
PHESQU,30,85.87,2.02,1.4,0.2071,0.154,0.3611
ASTTRY,22,69.92,1.02,1.01,0.0763,0.1269,0.2032
ASTTRY,23,42.55,1.12,0.62,0.029,0.0396,0.0686
ASTTRY,24,93.52,2.41,2.38,0.5041,0.6117,1.1158
ASTTRY,25,125.64,2.12,2.86,0.4822,0.4139,0.8961
ASTTRY,26,48.86,1.43,0.98,0.0547,0.0924,0.1471
ASTTRY,27,65.91,1.13,0.7,0.0699,0.0795,0.1494
ASTTRY,28,60.71,0.83,0.55,0.0525,0.1085,0.161
PROCUN,30,88.47,2.02,1.81,0.253,0.4067,0.6597
ASTTRY,29,63.16,1.12,0.76,0.088,0.1153,0.2033
ASTTRY,30,103.29,1.99,1.35,0.3048,0.3856,0.6904
ASTTRY,31,47.36,0.81,0.64,0.0293,0.0403,0.0696
