"var_in","method","unit_in","var_out","notes"
"dataset",NA,NA,NA,NA
"location",NA,"-","location",NA
"latitude",NA,"deg","latitude",NA
"longitude",NA,"deg","longitude",NA
"vegetation",NA,"-","vegetation",NA
"species",NA,"-","species",NA
"age","?","yr","age",NA
"h.t","?","m","h.t",NA
"d.bh","?","m","d.bh",NA
"m.lf","?","kg","m.lf",NA
"m.st","?","kg","m.st",NA
"m.so","?","kg","m.so",NA
"m.br","?","kg","m.br",NA
"m.rt","?","kg","m.rt",NA
"m.to","?","kg","m.to",NA
"growingCondition",NA,"-","growingCondition",NA
