dataset,location,latitude,longitude,vegetation,map,mat,grouping,species,family,pft,a.cp,h.t,h.c,d.ba,d.bh,c.d,m.lf,m.st,m.so,m.br,growingCondition
Breugel2011,Agua Salud,9,-79,TropSF,2700,26,early secondary forest,Miconia argentea,,,2.945243063,4.2,2.5,3.85,2.75,1.7,0.092542871,1.186032918,1.278575789,0.134889076,FW
Breugel2011,Agua Salud,9,-79,TropSF,2700,26,early secondary forest,Miconia argentea,,,0.196349538,3,2.6,1.8,1.45,0.4,0.011488851,0.18207585,0.193564701,0,FW
Breugel2011,Agua Salud,9,-79,TropSF,2700,26,early secondary forest,Byrsonima crassifolia,,,11.82024216,4.1,1,6.9,5,3.1,1.14424904,4.916373916,6.060622956,2.483585889,FW
Breugel2011,Agua Salud,9,-79,TropSF,2700,26,early secondary forest,Terminalia amazonia,,,2.474004173,2.4,0.9,2.85,1.35,1.5,0.054431917,0.344344135,0.398776052,0.073501804,FW
Breugel2011,Agua Salud,9,-79,TropSF,2700,26,early secondary forest,Miconia argentea,,,18.8495556,7.9,4.5,9,6.9,3.4,0.820343059,12.4713454,13.29168845,2.193805095,FW
Breugel2011,Agua Salud,9,-79,TropSF,2700,26,early secondary forest,Cordia bicolor,,,0.589048613,2.5,1.9,3.15,1.7,0.6,0.046053351,0.288366671,0.334420023,0.013667445,FW
Breugel2011,Agua Salud,9,-79,TropSF,2700,26,early secondary forest,Vismia macrophylla,,,9.621127338,5.7,5,6.95,5.15,0.7,0.429754729,6.783367664,7.213122394,1.407993517,FW
Breugel2011,Agua Salud,9,-79,TropSF,2700,26,early secondary forest,Vismia macrophylla,,,12.37002086,8.3,4.5,8.1,6.15,3.8,0.773157122,9.697368707,10.47052583,1.898391259,FW
Breugel2011,Agua Salud,9,-79,TropSF,2700,26,early secondary forest,Xylopia frutescens,,,19.63495375,7.25,6.05,9.9,7.75,1.2,1.81915272,16.96158024,18.78073296,3.017006569,FW
Breugel2011,Agua Salud,9,-79,TropSF,2700,26,early secondary forest,Schefflera morototoni,,,1.227184609,3,2.6,6.05,3.15,0.4,0.317706755,0.86740632,1.185113075,0,FW
Breugel2011,Agua Salud,9,-79,TropSF,2700,26,early secondary forest,Xylopia frutescens,,,19.63495375,7.9,6.6,11.85,9.15,1.3,2.622361609,24.76408614,27.38644775,4.651224527,FW
Breugel2011,Agua Salud,9,-79,TropSF,2700,26,early secondary forest,Schefflera morototoni,,,0.78539815,3.5,2.9,5.75,3.3,0.6,0.138040231,0.991475479,1.12951571,0,FW
Breugel2011,Agua Salud,9,-79,TropSF,2700,26,early secondary forest,Pachira sessilis,,,0.647953474,2.35,1.8,1.85,1,0.55,0.011231242,0.081998294,0.093229537,0.0049698,FW
Breugel2011,Agua Salud,9,-79,TropSF,2700,26,early secondary forest,Vismia baccifera,,,10.9955741,5.8,2.6,8.3,6.15,3.2,0.728937,6.440486097,7.169423097,2.348939141,FW
Breugel2011,Agua Salud,9,-79,TropSF,2700,26,early secondary forest,Vismia baccifera,,,18.8495556,7.2,3.5,8.55,7,3.7,0.809727167,9.18799527,9.997722437,3.218414396,FW
Breugel2011,Agua Salud,9,-79,TropSF,2700,26,early secondary forest,Cordia bicolor,,,9.621127338,8,6.3,13.1,10.75,1.7,1.976266238,21.51658012,23.49284636,4.609346145,FW
Breugel2011,Agua Salud,9,-79,TropSF,2700,26,early secondary forest,Trema micrantha,,,0.647953474,1.95,1.6,1.55,1,0.35,0.016264271,0.07631019,0.092574461,0.007713882,FW
Breugel2011,Agua Salud,9,-79,TropSF,2700,26,early secondary forest,Vernonanthura patens,,,0.691150372,1.8,0.8,1.95,0.8,1,0.031392668,0.064859185,0.096251853,0.01038708,FW
Breugel2011,Agua Salud,9,-79,TropSF,2700,26,early secondary forest,Cupania scrobiculata,,,0.99352866,3.5,2.3,3.95,2.55,1.2,0.118782766,1.047649507,1.166432272,0.077776497,FW
Breugel2011,Agua Salud,9,-79,TropSF,2700,26,early secondary forest,Cupania scrobiculata,,,0.559596182,3,2.6,2.85,2.1,0.4,0.042956028,0.48870558,0.531661608,0.013485285,FW
Breugel2011,Agua Salud,9,-79,TropSF,2700,26,early secondary forest,Byrsonima crassifolia,,,12.5663704,10.5,4,16.5,12.15,6.5,3.844964726,41.04309019,44.88805491,8.441108285,FW
Breugel2011,Agua Salud,9,-79,TropSF,2700,26,early secondary forest,Miconia affinis,,,0.753982224,2.8,1.8,2.2,1.25,1,0.060117258,0.226615449,0.286732708,0.036040449,FW
Breugel2011,Agua Salud,9,-79,TropSF,2700,26,early secondary forest,Vismia macrophylla,,,20.73451116,11.15,5,14.7,10.65,6.15,1.63574752,32.84019451,34.47594203,5.514407134,FW
Breugel2011,Agua Salud,9,-79,TropSF,2700,26,early secondary forest,Inga thibaudiana,,,1.178097225,2.1,1.3,1.8,0.95,0.8,0.041805638,0.109593697,0.151399335,0.024057,FW
Breugel2011,Agua Salud,9,-79,TropSF,2700,26,early secondary forest,Inga cocleensis,,,1.295906948,2.6,1,2.4,1.3,1.6,0.099654847,0.198248473,0.29790332,0.054880435,FW
Breugel2011,Agua Salud,9,-79,TropSF,2700,26,early secondary forest,Inga thibaudiana,,,8.042477056,2.8,0.9,2.9,2,1.9,0.351967215,0.889679533,1.241646747,0.412033193,FW
Breugel2011,Agua Salud,9,-79,TropSF,2700,26,early secondary forest,Inga cocleensis,,,0.950331762,2.3,0.6,1.6,1,1.7,0.062544666,0.096228,0.158772666,0.030096,FW
Breugel2011,Agua Salud,9,-79,TropSF,2700,26,early secondary forest,Inga cocleensis,,,0.565486668,2.2,0.9,1.4,0.8,1.3,0.029181745,0.052056022,0.081237767,0.007623,FW
Breugel2011,Agua Salud,9,-79,TropSF,2700,26,early secondary forest,Inga cocleensis,,,7.53982224,4.75,1,7.3,5.2,3.75,1.528015179,5.351258968,6.879274147,2.244809541,FW
Breugel2011,Agua Salud,9,-79,TropSF,2700,26,early secondary forest,Conostegia xalapensis,,,10.9955741,5.9,3.5,11.85,7.15,2.4,1.3160591,10.97158713,12.28764623,3.830945682,FW
Breugel2011,Agua Salud,9,-79,TropSF,2700,26,early secondary forest,Conostegia xalapensis,,,4.7123889,3,1.3,3.25,1.3,1.7,0.265761607,0.681863055,0.947624662,0.313209429,FW
Breugel2011,Agua Salud,9,-79,TropSF,2700,26,early secondary forest,Conostegia xalapensis,,,1.295906948,2.7,1.3,2.1,1.3,1.4,0.119130574,0.245686333,0.364816907,0.076735903,FW
Breugel2011,Agua Salud,9,-79,TropSF,2700,26,early secondary forest,Inga thibaudiana,,,1.335176855,2.2,0.5,2.6,1.5,1.7,0.156861181,0.19912365,0.355984831,0.066825,FW
Breugel2011,Agua Salud,9,-79,TropSF,2700,26,early secondary forest,Banara guianensis,,,4.900884456,2.5,1.3,3.05,1.65,1.2,0.089742633,0.370833201,0.460575834,0.074716182,FW
Breugel2011,Agua Salud,9,-79,TropSF,2700,26,early secondary forest,Conostegia xalapensis,,,2.261946672,3,1.5,2.25,1.2,1.5,0.118191305,0.381838759,0.500030064,0.098291275,FW
Breugel2011,Agua Salud,9,-79,TropSF,2700,26,early secondary forest,Conostegia xalapensis,,,21.20575005,5.2,3,9.95,6.1,2.2,0.977986415,8.477489919,9.455476334,3.330708046,FW
Breugel2011,Agua Salud,9,-79,TropSF,2700,26,early secondary forest,Inga cocleensis,,,0.441786459,1.9,1.1,1.3,0.8,0.8,0.03522816,0.06732,0.10254816,0,FW
Breugel2011,Agua Salud,9,-79,TropSF,2700,26,early secondary forest,Cordia bicolor,,,2.04203519,2.1,1.5,3.4,2.05,0.6,0.113990516,0.347788227,0.461778743,0.050405295,FW
Breugel2011,Agua Salud,9,-79,TropSF,2700,26,early secondary forest,Miconia affinis,,,2.35619445,2.9,1.8,2.8,1.85,1.1,0.129682169,0.521419961,0.65110213,0.099006365,FW
Breugel2011,Agua Salud,9,-79,TropSF,2700,26,early secondary forest,Pachira sessilis,,,3.282964267,3,2.1,5.35,3.95,0.9,0.228263096,1.407462862,1.635725958,0.201910162,FW
Breugel2011,Agua Salud,9,-79,TropSF,2700,26,early secondary forest,Trema micrantha,,,3.76991112,3,1.5,3.35,1.95,1.5,0.134905755,0.360478206,0.495383961,0.10570923,FW
Breugel2011,Agua Salud,9,-79,TropSF,2700,26,early secondary forest,Trema micrantha,,,1.25663704,3,2.3,3.6,2.4,0.7,0.061301552,0.493045542,0.554347094,0.04621023,FW
Breugel2011,Agua Salud,9,-79,TropSF,2700,26,early secondary forest,Trema micrantha,,,1.20165917,2.4,1.3,2.3,1.2,1.1,0.046844722,0.165017952,0.211862674,0.024354,FW
Breugel2011,Agua Salud,9,-79,TropSF,2700,26,early secondary forest,Pachira sessilis,,,25.1327408,15.9,10.4,25.5,20.8,5.5,6.384093703,65.20631079,71.59040449,9.975133346,FW
Breugel2011,Agua Salud,9,-79,TropSF,2700,26,early secondary forest,Xylopia frutescens,,,30.15928896,15.7,11.5,17.9,18.1,4.2,3.663610135,97.18164788,100.845258,17.37305723,FW
Breugel2011,Agua Salud,9,-79,TropSF,2700,26,early secondary forest,Vismia macrophylla,,,20.30254218,18.3,15.3,20,15.3,3,1.943976019,96.38887376,98.33284978,8.572722539,FW
Breugel2011,Agua Salud,9,-79,TropSF,2700,26,early secondary forest,Lacistema aggregatum,,,0.439822964,2.4,1.2,1.9,0.9,1.2,0.03324222,0.140085684,0.173327904,0.018018,FW
Breugel2011,Agua Salud,9,-79,TropSF,2700,26,early secondary forest,Ryania speciosa,,,1.036725558,2.6,2,2.4,1.15,0.6,0.0376992,0.216685491,0.254384691,0.018909,FW
Breugel2011,Agua Salud,9,-79,TropSF,2700,26,early secondary forest,Miconia argentea,,,91.89158355,12.15,7.8,33,22,4.35,6.265711159,188.4541798,194.719891,92.50431507,FW
Breugel2011,Agua Salud,9,-79,TropSF,2700,26,early secondary forest,Inga cocleensis,,,13.46957827,11.8,6.9,14.1,10.3,4.9,1.647425191,45.40547562,47.05290081,3.3778036,FW
Breugel2011,Agua Salud,9,-79,TropSF,2700,26,early secondary forest,Miconia affinis,,,7.06858335,6.5,2.7,7.3,5.9,3.8,1.08942018,8.100736626,9.190156806,4.287066074,FW
