treenr,site,altitude,age,socstatus,dbh,height,hcb,cw,leaflong,la,wf,FYnb,MRnb,wbr
57,stgallen,690,35,m,16.8,16,8.6,2.3,7,92.9,7.13,25.57,118,4.599357798
58,stgallen,690,35,d,19.8,17.4,9,2.6,6,183.7,17.29,64.8,116,12.71
59,stgallen,690,35,d,25.1,20,11.2,3.4,6,312.3,22.93,95.58,117,21.11608295
60,weissenstein,1240,39,b,6.6,7,3,1.8,9,19.9,1.45,5.19,104,1.094117647
61,weissenstein,1240,39,u,7.4,7.7,3.5,2.2,10,22.2,1.81,7.31,97,1.900659898
62,weissenstein,1240,39,u,7.9,8,3.2,1.6,10,21.3,1.87,6.6,98,1.463333333
63,weissenstein,1240,39,m,9.5,7.7,2.3,2.4,9,48,3.91,13.9,104,2.90372549
64,weissenstein,1240,39,m,10.7,8.7,2.7,2.2,9,53.5,4.35,15.39,99,3.383668342
65,weissenstein,1240,39,m,11.2,10.4,3.6,2.2,9,53.1,5.06,17.79,97,3.970456853
66,weissenstein,1240,39,d,12.8,10.7,2.4,3,11,93.2,7.76,29.82,100,7.15
67,weissenstein,1240,39,d,13.2,10.7,2.8,2.8,10,112.4,8.53,34.11,109,7.790574163
68,weissenstein,1240,39,d,13.4,11.7,2.6,2.8,10,116.8,10.07,33.42,99,6.723969849
69,weissenstein,1240,39,d,14.5,11.7,4.1,3,7,148.9,12.84,44.58,98,9.675151515
70,weissenstein,1240,39,d,16.9,12.8,3,3.2,9,180.8,17.15,57.54,94,12.50979381
71,weissenstein,1240,39,d,18,13.3,4.5,3.8,10,171.2,15.05,54.5,101,12.06442786
72,weiermatt,470,40,b,12.2,16.4,11,2,7,40.8,2.26,10.99,137,2.377130802
73,weiermatt,470,40,b,13.3,14.2,10.2,2.2,7,49.7,3.04,13.7,147,2.506558704
74,weiermatt,470,40,b,13.8,16.9,12.8,2.4,6,42.2,2.66,10.62,140,1.765
75,weiermatt,470,40,m,16.1,17.2,10.4,2.8,6,62.7,3.95,19.39,138,4.197058824
76,weiermatt,470,40,m,17,19,12.6,2.2,5,95.4,6.36,25.95,144,4.275245902
77,weiermatt,470,40,m,17.2,18,12.4,2.2,6,77.4,5.19,21.74,127,4.387092511
78,weiermatt,470,40,d,19.8,18.6,10,3,6,145.9,9.69,44.95,136,9.356610169
79,weiermatt,470,40,m,20.6,19,8.8,3.2,6,170.8,10.99,56.76,122,14.57756757
80,weiermatt,470,40,d,22.4,21.4,11.8,2.8,6,241.4,17.24,87.36,133,20.25356223
81,weiermatt,470,40,d,22.8,19,10.8,3.4,7,160.3,10.85,54.36,136,12.18389831
82,weiermatt,470,40,d,16.2,21.6,11.6,3.4,7,234.9,17.72,88.22,121,22.19855204
83,weiermatt,470,40,d,27.5,20.3,8.2,4,7,303.7,19.16,92.93,126,21.95946903
84,muot-berguen,1600,40,b,6.9,6.6,2.4,1.8,9,15.8,1.14,4.8,119,1.051780822
85,muot-berguen,1600,40,b,7.2,7.8,2.4,1.6,11,21.8,1.46,5.99,130,1.144347826
86,muot-berguen,1600,40,b,7.3,7,1.6,1.8,10,14.2,1.13,4.87,118,1.103944954
87,muot-berguen,1600,40,m,7.9,7.2,0.8,2.2,11,26.4,2.08,8.95,119,2.006757991
88,muot-berguen,1600,40,m,9.4,8.4,2.2,2,10,37.2,2.74,11.14,129,2.124628821
89,muot-berguen,1600,40,m,10.2,9.6,2.4,2.4,11,34,2.85,11.2,115,2.359302326
90,muot-berguen,1600,40,m,10.8,9.8,2.6,2.6,10,44.6,3.58,13.68,112,2.872830189
91,muot-berguen,1600,40,m,10.9,9,2.4,2.4,10,43.3,3.42,14.2,114,3.215514019
92,muot-berguen,1600,40,m,11.4,9.8,3.4,2.2,12,41.1,3.32,13.49,126,2.649026549
93,muot-berguen,1600,40,d,12.6,10.6,3.4,2.2,10,58.4,4.82,18.7,114,3.918317757
94,muot-berguen,1600,40,d,12.8,10.4,2.6,2.4,11,53.2,4.51,20.95,129,4.638471616
95,muot-berguen,1600,40,d,13.2,9.5,0.8,2.8,10,94.8,7.32,30.42,119,6.570410959
96,zuerich,600,40,d,17.2,18.2,7,3,6,142.8,11.31,50,128,10.61982456
97,schoeftland,560,45,m,15.4,18.6,11,2.2,6,79.4,6.5,27.2,126,5.53539823
98,schoeftland,560,45,d,16.4,19,12,2.2,7,110.8,8,35,127,7.418502203
99,schoeftland,560,45,d,18.4,19,11.8,1.8,7,126,11.3,58,124,14.59285714
100,lenzburg,400,46,b,13,15.8,11.4,2.2,4,47.6,3.1,12.1,122,2.35045045
101,lenzburg,400,46,m,15.6,18.4,11.6,2.9,6,111.3,8.4,31.7,119,6.074885845
102,lenzburg,400,46,m,19.1,18.4,11,3.8,5,201.9,14.1,59.6,119,13.11461187
103,lenzburg,400,46,d,24.2,22.6,12.6,3.3,7,326,25.7,98.6,116,19.94814815
104,lenzburg,400,46,d,28.6,21.4,11.6,4.2,6,434.1,30,130.8,118,30
105,hospental,1560,50,b,15,10.4,4.4,2.9,7,65.1,7,37.1,125,9.488888889
106,hospental,1560,50,m,17.7,12.6,3,3.6,8,118,11.6,59.2,123,14.9470852
107,hospental,1560,50,d,23.4,14.2,4.2,3.5,9,117.2,12.3,63.1,130,15.13478261
108,hospental,1560,50,d,25.3,15.8,2.4,4.5,10,124,14.6,87.2,135,22.50638298
