Topic, Description
Sampling strategy, "Trees were selected to cover a range in size and dominance classes, from a number of stands ranging in altitude from 400 to 1800 m asl."
Leaf area, "Methods unknown."
Stem cross sectional area,"DBH (measured by individual)."
Height,"Unknown (measured by individual)."
Crown area,"Unknown."
Biomass,"Branch biomass was converted from fresh weight and water content as provided in the publication."
traits,"None measured."
Growth environment,"Even-aged plantations, 'gleichaltrigen Hochwald'."
Other variables,"Unknown"
