"dataset","location","latitude","longitude","vegetation","map","mat","grouping","lai","species","family","pft","age","a.lf","a.ssba","a.ssbh","a.ssbc","a.shba","a.shbh","a.shbc","a.sbba","a.sbbh","a.sbbc","a.stba","a.stbh","a.stbc","a.cp","a.cs","h.t","h.c","d.ba","d.bh","d.cr","c.d","m.lf","m.ss","m.sh","m.sb","m.st","m.so","m.br","m.rf","m.rc","m.rt","m.to","a.ilf","ma.ilf","r.st","r.ss","r.sb","r.sh","n.lf","n.ss","n.sb","n.sh","n.rf","n.rc","growingCondition","status","light","Note","studyName"
"Ishihara0000","Japan-Usuda National Forest-104, Ro",36,138,"TempF",NA,NA,NA,NA,"Larix kaempferi","Pinaceae","DG",29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.015174678,NA,NA,15.75,7.2,NA,0.186,NA,NA,5.039,NA,NA,NA,92.142,113.86,16.679,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"PM",NA,NA,"Forestry Laboratories of Kyoto University, Tokyo University, Niigata University, Shinshu University (1963) Forest production data from the perspective of material cycle 1 [in Japanese with title translated by Ishihara].  pp. 373.","FLKU1963"
"Ishihara0000","Japan-Usuda National Forest-104, Ro",36,138,"TempF",NA,NA,NA,NA,"Larix kaempferi","Pinaceae","DG",30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.007542964,NA,NA,13.75,5.75,NA,0.125,NA,NA,2.057,NA,NA,NA,36.085,43.31,5.168,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"PM",NA,NA,"Forestry Laboratories of Kyoto University, Tokyo University, Niigata University, Shinshu University (1963) Forest production data from the perspective of material cycle 1 [in Japanese with title translated by Ishihara].  pp. 373.","FLKU1963"
"Ishihara0000","Japan-Usuda National Forest-104, Ro",36,138,"TempF",NA,NA,NA,NA,"Larix kaempferi","Pinaceae","DG",30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.001963495,NA,NA,8.8,4.4,NA,0.072,NA,NA,0.445,NA,NA,NA,7.576,9.093,1.072,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"PM",NA,NA,"Forestry Laboratories of Kyoto University, Tokyo University, Niigata University, Shinshu University (1963) Forest production data from the perspective of material cycle 1 [in Japanese with title translated by Ishihara].  pp. 373.","FLKU1963"
"Ishihara0000","Japan-Usuda National Forest-104, Ro",36,138,"TempF",NA,NA,NA,NA,"Larix kaempferi","Pinaceae","DG",30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00664761,NA,NA,12.75,4.85,NA,0.118,NA,NA,1.557,NA,NA,NA,29.053,36.087,5.477,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"PM",NA,NA,"Forestry Laboratories of Kyoto University, Tokyo University, Niigata University, Shinshu University (1963) Forest production data from the perspective of material cycle 1 [in Japanese with title translated by Ishihara].  pp. 373.","FLKU1963"
"Ishihara0000","Japan-Usuda National Forest-104, Ro",36,138,"TempF",NA,NA,NA,NA,"Larix kaempferi","Pinaceae","DG",30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.017203361,NA,NA,16.3,7.25,NA,0.205,NA,NA,6.23,NA,NA,NA,110.089,132.983,16.664,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"PM",NA,NA,"Forestry Laboratories of Kyoto University, Tokyo University, Niigata University, Shinshu University (1963) Forest production data from the perspective of material cycle 1 [in Japanese with title translated by Ishihara].  pp. 373.","FLKU1963"
"Ishihara0000","Japan-Usuda National Forest-104, Ro",36,138,"TempF",NA,NA,NA,NA,"Larix kaempferi","Pinaceae","DG",24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.005026548,NA,NA,11,4.4,NA,0.098,NA,NA,2.057,NA,NA,NA,20.354,27.929,5.518,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"PM",NA,NA,"Forestry Laboratories of Kyoto University, Tokyo University, Niigata University, Shinshu University (1963) Forest production data from the perspective of material cycle 1 [in Japanese with title translated by Ishihara].  pp. 373.","FLKU1963"
"Ishihara0000","Japan-Usuda National Forest-104, Ro",36,138,"TempF",NA,NA,NA,NA,"Larix kaempferi","Pinaceae","DG",30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.002290221,NA,NA,14.7,12.4,NA,0.147,NA,NA,2.84,NA,NA,NA,52.382,63.96,8.738,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"PM",NA,NA,"Forestry Laboratories of Kyoto University, Tokyo University, Niigata University, Shinshu University (1963) Forest production data from the perspective of material cycle 1 [in Japanese with title translated by Ishihara].  pp. 373.","FLKU1963"
"Ishihara0000","Japan-Usuda National Forest-104, Ro",36,138,"TempF",NA,NA,NA,NA,"Larix kaempferi","Pinaceae","DG",30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.003216991,NA,NA,11.5,6.3,NA,0.087,NA,NA,1.192,NA,NA,NA,16.896,20.792,2.704,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"PM",NA,NA,"Forestry Laboratories of Kyoto University, Tokyo University, Niigata University, Shinshu University (1963) Forest production data from the perspective of material cycle 1 [in Japanese with title translated by Ishihara].  pp. 373.","FLKU1963"
"Ishihara0000","Japan-Usuda National Forest-71",36,138,"TempF",NA,NA,NA,NA,"Larix kaempferi","Pinaceae","DG",42,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.010935884,NA,NA,18.05,11.9,NA,0.196,NA,NA,4.124,NA,NA,NA,123.571,139.573,11.878,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"PM",NA,NA,"Forestry Laboratories of Kyoto University, Tokyo University, Niigata University, Shinshu University (1963) Forest production data from the perspective of material cycle 1 [in Japanese with title translated by Ishihara].  pp. 373.","FLKU1963"
"Ishihara0000","Japan-Usuda National Forest-71",36,138,"TempF",NA,NA,NA,NA,"Larix kaempferi","Pinaceae","DG",44,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00664761,NA,NA,18.05,12.05,NA,0.158,NA,NA,2.625,NA,NA,NA,85.723,94.664,6.316,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"PM",NA,NA,"Forestry Laboratories of Kyoto University, Tokyo University, Niigata University, Shinshu University (1963) Forest production data from the perspective of material cycle 1 [in Japanese with title translated by Ishihara].  pp. 373.","FLKU1963"
