lookupVariable,lookupValue,newVariable,newValue
,,growingCondition,"FW" 
,, vegetation,"TempRf" 
,, pft,"EA" 
,, location,"Parque Nacional Puyehue, Chile" 
,, latitude,-40.65 
,, longitude,-72.18 
,, map,3500
