dataset,Country,Forest.type,Species,Family,a.lf,h.t,m.lf,m.st,m.rt,lf.sz,a.cs,h.c,a.cp,d.ba
Lusk2002,Chile,WTRF,Aristotelia chilensis,Elaeocarpaceae,0.00237,0.335,6.00E-05,0.00033,0.00072,NA,NA,NA,NA,NA
Lusk2002,Chile,WTRF,Aristotelia chilensis,Elaeocarpaceae,0.02294,0.53,0.00081,0.00199,0.00157,NA,NA,NA,NA,NA
Lusk2002,Chile,WTRF,Aristotelia chilensis,Elaeocarpaceae,0.01886,0.66,0.00071,0.00256,0.00123,NA,NA,NA,NA,NA
Lusk2002,Chile,WTRF,Aristotelia chilensis,Elaeocarpaceae,0.02703,0.48,0.00101,0.00189,0.00172,NA,NA,NA,NA,NA
Lusk2002,Chile,WTRF,Aristotelia chilensis,Elaeocarpaceae,0.03116,0.585,0.00122,0.00266,0.00142,NA,NA,NA,NA,NA
Lusk2002,Chile,WTRF,Aristotelia chilensis,Elaeocarpaceae,0.0208,0.58,0.00097,0.00221,0.00086,NA,NA,NA,NA,NA
Lusk2002,Chile,WTRF,Aristotelia chilensis,Elaeocarpaceae,0.04138,0.84,0.00172,0.00453,0.00575,NA,NA,NA,NA,NA
Lusk2002,Chile,WTRF,Aristotelia chilensis,Elaeocarpaceae,0.11723,1.41,0.00526,0.02222,0.01679,NA,NA,NA,NA,NA
Lusk2002,Chile,WTRF,Aristotelia chilensis,Elaeocarpaceae,0.006,0.275,0.00019,0.00027,0.00043,NA,NA,NA,NA,NA
Lusk2002,Chile,WTRF,Aristotelia chilensis,Elaeocarpaceae,0.02194,0.61,0.00124,0.00263,0.00198,NA,NA,NA,NA,NA
Lusk2002,Chile,WTRF,Aristotelia chilensis,Elaeocarpaceae,0.00694,0.355,0.00025,0.00059,0.00043,NA,NA,NA,NA,NA
Lusk2002,Chile,WTRF,Aristotelia chilensis,Elaeocarpaceae,0.00612,0.55,0.00019,0.00113,0.00077,NA,NA,NA,NA,NA
Lusk2002,Chile,WTRF,Aristotelia chilensis,Elaeocarpaceae,0.02548,0.61,0.00098,0.00254,0.00202,NA,NA,NA,NA,NA
Lusk2002,Chile,WTRF,Aristotelia chilensis,Elaeocarpaceae,0.00407,0.405,0.00015,0.00056,0.00056,NA,NA,NA,NA,NA
Lusk2002,Chile,WTRF,Aristotelia chilensis,Elaeocarpaceae,0.01451,0.725,0.00057,0.00279,0.00148,NA,NA,NA,NA,NA
Lusk2002,Chile,WTRF,Aristotelia chilensis,Elaeocarpaceae,0.11866,1.375,0.00615,0.02883,0.01057,NA,NA,NA,NA,NA
Lusk2002,Chile,WTRF,Aristotelia chilensis,Elaeocarpaceae,0.0373,1.145,0.0018,0.01046,0.00467,NA,NA,NA,NA,NA
Lusk2002,Chile,WTRF,Aristotelia chilensis,Elaeocarpaceae,0.0842,1.08,0.00575,0.02026,0.00963,NA,NA,NA,NA,NA
Lusk2002,Chile,WTRF,Aristotelia chilensis,Elaeocarpaceae,0.02742,1.13,0.00121,0.00793,0.0038,NA,NA,NA,NA,NA
Lusk2002,Chile,WTRF,Aristotelia chilensis,Elaeocarpaceae,0.0592,1.025,0.00294,0.00923,0.00407,NA,NA,NA,NA,NA
Lusk2002,Chile,WTRF,Aristotelia chilensis,Elaeocarpaceae,0.06408,1.22,0.0044,0.0226,0.01005,NA,NA,NA,NA,NA
Lusk2002,Chile,WTRF,Aristotelia chilensis,Elaeocarpaceae,0.02858,0.58,0.00102,0.00204,0.00146,NA,NA,NA,NA,NA
Lusk2002,Chile,WTRF,Aextoxicon punctatum,Aextoxicaceae,0.02611,0.32,0.00227,0.00121,0.00122,NA,NA,NA,NA,NA
Lusk2002,Chile,WTRF,Aextoxicon punctatum,Aextoxicaceae,0.21144,0.94,0.01766,0.01655,0.00795,NA,NA,NA,NA,NA
Lusk2002,Chile,WTRF,Aextoxicon punctatum,Aextoxicaceae,0.05016,0.37,0.00432,0.00305,0.00194,NA,NA,NA,NA,NA
