dataset,location,latitude,longitude,vegetation,species,family,pft,d.bh,h.t,m.lf,m.st,m.so,m.br,m.rt,m.to,growingCondition
Suzuki2012,Japan-Teshio Experimental Forest of Hokkaido University-,45.05,142.12,TempF,Abies sachalinensis,Pinaceae,EG,0.248,9.75 ,NA,100.76,189.82,NA,65.51,255.33,FW
Suzuki2012,Japan-Teshio Experimental Forest of Hokkaido University-,45.05,142.12,TempF,Abies sachalinensis,Pinaceae,EG,0.022,1.53 ,NA,0.44,0.72,NA,0.16,0.88,FW
Suzuki2012,Japan-Teshio Experimental Forest of Hokkaido University-,45.05,142.12,TempF,Sorbus commixta,Rosaceae,DA,0.218,11.90 ,4.23,121.97,179.40,53.21,72.18,251.59,FW
Suzuki2012,Japan-Teshio Experimental Forest of Hokkaido University-,45.05,142.12,TempF,Sorbus commixta,Rosaceae,DA,0.119,9.20 ,0.65,30.11,41.36,10.61,NA,NA,FW
Suzuki2012,Japan-Teshio Experimental Forest of Hokkaido University-,45.05,142.12,TempF,Hydrangea paniculata,Saxifragaceae,DA,0.020,3.30 ,0.05,0.39,0.59,0.16,2.39,2.98,FW
Suzuki2012,Japan-Teshio Experimental Forest of Hokkaido University-,45.05,142.12,TempF,Viburnum furcatum,Caprifoliaceae,DA,0.006,1.63 ,0.02,0.10,0.22,0.10,0.10,0.32,FW
Suzuki2012,Japan-Teshio Experimental Forest of Hokkaido University-,45.05,142.12,TempF,Acanthopanax sciadophylloides,Araliaceae,DA,0.100,9.50 ,0.74,18.32,25.10,6.04,10.79,35.88,FW
Suzuki2012,Japan-Teshio Experimental Forest of Hokkaido University-,45.05,142.12,TempF,Acer mono,Aceraceae,DA,0.104,8.50 ,1.03,23.19,30.86,6.65,7.89,38.75,FW
Suzuki2012,Japan-Teshio Experimental Forest of Hokkaido University-,45.05,142.12,TempF,Quercus crispula,Fagaceae,DA,0.465,18.30,27.54,595.87,1269.37,645.96,429.93,1699.30,FW
Suzuki2012,Japan-Teshio Experimental Forest of Hokkaido University-,45.05,142.12,TempF,Abies sachalinensis,Pinaceae,EG,0.029,2.39 ,NA,0.81,1.40,NA,0.52,1.93,FW
Suzuki2012,Japan-Teshio Experimental Forest of Hokkaido University-,45.05,142.12,TempF,Acer mono,Aceraceae,DA,0.057,5.70 ,0.26,5.76,7.30,1.28,2.70,10.00,FW
Suzuki2012,Japan-Teshio Experimental Forest of Hokkaido University-,45.05,142.12,TempF,Abies sachalinensis,Pinaceae,EG,0.063,5.25 ,NA,4.18,6.57,NA,2.41,8.98,FW
Suzuki2012,Japan-Teshio Experimental Forest of Hokkaido University-,45.05,142.12,TempF,Betula ermanii,Betulaceae,DA,0.120,13.18 ,1.12,45.41,49.11,2.58,9.11,58.22,FW
Suzuki2012,Japan-Teshio Experimental Forest of Hokkaido University-,45.05,142.12,TempF,Betula ermanii,Betulaceae,DA,0.126,13.15 ,1.05,57.04,64.72,6.62,19.86,84.57,FW
Suzuki2012,Japan-Teshio Experimental Forest of Hokkaido University-,45.05,142.12,TempF,Acer mono,Aceraceae,DA,0.031,4.50 ,0.11,1.61,2.06,0.33,1.77,3.83,FW
Suzuki2012,Japan-Teshio Experimental Forest of Hokkaido University-,45.05,142.12,TempF,Abies sachalinensis,Pinaceae,EG,0.089,6.70 ,NA,8.90,22.39,NA,3.94,26.33,FW
Suzuki2012,Japan-Teshio Experimental Forest of Hokkaido University-,45.05,142.12,TempF,Abies sachalinensis,Pinaceae,EG,0.057,3.39 ,NA,2.83,5.10,NA,1.29,6.39,FW
Suzuki2012,Japan-Teshio Experimental Forest of Hokkaido University-,45.05,142.12,TempF,Abies sachalinensis,Pinaceae,EG,0.049,4.10 ,NA,2.80,4.51,NA,1.67,6.18,FW
Suzuki2012,Japan-Teshio Experimental Forest of Hokkaido University-,45.05,142.12,TempF,Abies sachalinensis,Pinaceae,EG,0.024,1.75 ,NA,0.62,1.00,NA,0.35,1.35,FW
Suzuki2012,Japan-Teshio Experimental Forest of Hokkaido University-,45.05,142.12,TempF,Abies sachalinensis,Pinaceae,EG,0.041,4.36 ,NA,1.16,2.04,NA,0.35,2.39,FW
Suzuki2012,Japan-Teshio Experimental Forest of Hokkaido University-,45.05,142.12,TempF,Abies sachalinensis,Pinaceae,EG,0.162,11.20 ,NA,37.83,69.28,NA,16.53,85.80,FW
Suzuki2012,Japan-Teshio Experimental Forest of Hokkaido University-,45.05,142.12,TempF,Quercus crispula,Fagaceae,DA,0.491,19.70 ,NA,954.76,NA,118.34,287.89,NA,FW
Suzuki2012,Japan-Teshio Experimental Forest of Hokkaido University-,45.05,142.12,TempF,Abies sachalinensis,Pinaceae,EG,0.052,3.55 ,NA,2.99,4.42,NA,0.92,5.35,FW
Suzuki2012,Japan-Teshio Experimental Forest of Hokkaido University-,45.05,142.12,TempF,Acanthopanax sciadophylloides,Araliaceae,DA,0.089,8.56 ,0.41,12.47,15.41,2.53,3.78,19.19,FW
Suzuki2012,Japan-Teshio Experimental Forest of Hokkaido University-,45.05,142.12,TempF,Abies sachalinensis,Pinaceae,EG,0.075,3.57 ,NA,7.50,10.85,NA,2.55,13.40,FW
Suzuki2012,Japan-Teshio Experimental Forest of Hokkaido University-,45.05,142.12,TempF,Abies sachalinensis,Pinaceae,EG,0.039,3.56 ,NA,1.80,2.33,NA,1.90,4.22,FW
Suzuki2012,Japan-Teshio Experimental Forest of Hokkaido University-,45.05,142.12,TempF,Abies sachalinensis,Pinaceae,EG,0.035,2.27 ,NA,1.10,1.64,NA,NA,NA,FW
Suzuki2012,Japan-Teshio Experimental Forest of Hokkaido University-,45.05,142.12,TempF,Acanthopanax sciadophylloides,Araliaceae,DA,0.070,7.95 ,0.37,7.40,9.15,1.37,0.50,9.65,FW
Suzuki2012,Japan-Teshio Experimental Forest of Hokkaido University-,45.05,142.12,TempF,Abies sachalinensis,Pinaceae,EG,0.016,1.52 ,NA,0.30,0.51,NA,0.22,0.73,FW
Suzuki2012,Japan-Teshio Experimental Forest of Hokkaido University-,45.05,142.12,TempF,Viburnum furcatum,Caprifoliaceae,DA,0.015,3.74 ,0.07,1.26,1.69,0.36,0.71,2.40,FW
