Site,longitude,latitude,BurnYear,HarvestYear,Edaphic,Species,Number,Height,D0,D10,DBH,DWT,TotWood,TotBranch,TotFol,OldFol,NewFol,OldBranch,NewBranch,Cones,Stem,Sapwood,Root
YJP,-98.28706,55.89575,1964,1994,Dry,JP,1,182,,,0.9,170.72,134.89,32.1,35.83,29.75,6.07,30.52,1.58,0,102.79,,
YJP,-98.28706,55.89575,1964,1994,Dry,JP,2,284,,,2.1,801.6,600.66,122.41,200.94,172.19,28.74,114.52,7.9,0,478.24,,
YJP,-98.28706,55.89575,1964,1994,Dry,JP,3,298,,,2.4,791.34,656.14,97.64,135.2,117.4,17.8,94.02,3.61,0,558.5,,
YJP,-98.28706,55.89575,1964,1994,Dry,JP,4,335,,,2.8,1048.4,902.56,213.77,145.84,108.08,37.76,207.59,6.18,0,688.79,,
YJP,-98.28706,55.89575,1964,1994,Dry,JP,5,367,,,3.3,1820.61,1426.53,288.1,394.08,334.63,59.44,278.52,9.58,0,1138.43,,
YJP,-98.28706,55.89575,1964,1994,Dry,JP,6,334,,,3.35,1784.2,1379.17,276.77,405.04,318.38,86.66,261.52,15.25,0,1102.4,,
YJP,-98.28706,55.89575,1964,1994,Dry,JP,7,417,,,4,2977.86,2479.13,521.15,498.74,402.7,96.03,498.27,22.89,0,1957.97,,
YJP,-98.28706,55.89575,1964,1994,Dry,JP,8,395,,,4.2,3122.6,2536.55,653.44,586.05,476.64,109.4,638.25,15.2,0,1883.11,,
YJP,-98.28706,55.89575,1964,1994,Dry,JP,9,446,,,5,3884.92,3227.33,854.17,657.59,545.04,112.55,837.19,16.98,0,2373.16,,
YJP,-98.28706,55.89575,1964,1994,Dry,JP,10,517,,,6.7,7540.29,6604.09,1470.7,936.21,726.42,209.78,1429.21,41.5,0,5133.38,,
W1981,-98.48128,55.86351,1981,1999,Wet,T,1,277,4.01,3.26,2.02,762.4,690.82,195.18,71.58,0,71.58,190.88,4.3,0,495.64,,
W1981,-98.48128,55.86351,1981,2000,Wet,T,1,69,1,0.95,,26.8,22.2,8.9,4.6,0,4.6,8.7,0.2,0,13.3,,
W1981,-98.48128,55.86351,1981,1999,Wet,T,2,127,1.98,1.77,,164.23,138.94,57.55,25.29,0,25.29,57.34,0.21,0,81.39,,
W1981,-98.48128,55.86351,1981,2000,Wet,T,2,92,1.7,1.6,,80.3,68,26.5,12.3,0,12.3,26.4,0.1,0,41.5,,
W1981,-98.48128,55.86351,1981,1999,Wet,T,3,219,2.26,2.15,1.04,313.57,273.17,86.27,40.4,0,40.4,85.4,0.87,0.2,186.7,,
W1981,-98.48128,55.86351,1981,2000,Wet,T,3,92,1.65,1.45,,64,57,20.4,7,0,7,20.3,0.1,0,36.6,,
W1981,-98.48128,55.86351,1981,1999,Wet,T,4,109,1.37,1.2,,76.45,65.53,22.89,10.92,0,10.92,22.68,0.21,0,42.64,,
W1981,-98.48128,55.86351,1981,2000,Wet,T,4,124,2.2,1.95,,152.5,136.7,55.3,15.8,0,15.8,55.1,0.2,0,81.4,,
W1981,-98.48128,55.86351,1981,1999,Wet,T,5,180,2.63,2.36,0.72,417.19,354.06,143.68,63.13,0,63.13,142.76,0.92,0,210.38,,
W1981,-98.48128,55.86351,1981,2000,Wet,T,5,175,3.1,2.8,0.95,365.6,329.4,107.3,36.2,0,36.2,106.2,1.1,0,222.1,,
W1981,-98.48128,55.86351,1981,1999,Wet,T,6,159,2.51,2.4,0.62,325.37,271.43,98.58,53.94,0,53.94,97.92,0.66,0,172.85,,
W1981,-98.48128,55.86351,1981,2000,Wet,T,6,234,4.1,3.8,1.9,889,794.8,275.3,94.2,0,94.2,273.9,1.4,0,519.5,,
W1981,-98.48128,55.86351,1981,1999,Wet,T,7,161,1.55,1.33,0.21,155.1,134.2,57.43,20.9,0,20.9,57.3,0.13,0,76.77,,
W1981,-98.48128,55.86351,1981,1999,Wet,T,8,137,2.33,1.85,,210.83,158.02,67.72,52.81,0,52.81,62.86,4.86,0,90.3,,
W1981,-98.48128,55.86351,1981,1999,Wet,T,9,138,1.65,1.55,,159.87,127.55,51.51,32.32,0,32.32,49.69,1.82,0,76.04,,
W1981,-98.48128,55.86351,1981,1999,Wet,T,10,74,0.71,0.62,,21.34,14.57,5.92,6.77,0,6.77,5.22,0.7,0,8.65,,
D1989,-98.97953,55.90644,1989,1999,Dry,W,1,117,1.1,1.09,,37.6,28.3,6.4,9.3,0,9.3,4.6,1.8,0,21.9,,
D1989,-98.97953,55.90644,1989,1999,Dry,W,2,148,1.23,1.07,,50.1,37.8,9.7,12.3,0,12.3,8.1,1.6,0,28.1,,
D1989,-98.97953,55.90644,1989,1999,Dry,W,3,63,0.65,0.5,,5.5,4.1,0.4,1.4,0,1.4,0.2,0.2,0,3.7,,
D1989,-98.97953,55.90644,1989,1999,Dry,W,4,170,1.17,1.06,,68.2,49.9,10.7,18.3,0,18.3,8,2.7,0,39.2,,
D1989,-98.97953,55.90644,1989,1999,Dry,W,5,86,0.52,0.48,,7.2,5.2,0.8,2,0,2,0.6,0.2,0,4.4,,
D1989,-98.97953,55.90644,1989,1999,Dry,W,6,100,1.18,0.94,,57.1,42.2,21.4,14.9,0,14.9,18.9,2.5,0,20.8,,
D1989,-98.97953,55.90644,1989,1999,Dry,W,7,118,1.34,1.18,,70.2,53.1,19.9,17.1,0,17.1,17.8,2.1,0,33.2,,
D1989,-98.97953,55.90644,1989,1999,Dry,W,8,164,1.82,1.71,,121.7,100.2,35.1,21.5,0,21.5,30.6,4.5,0,65.1,,
D1989,-98.97953,55.90644,1989,1999,Dry,W,9,73,0.71,0.51,,7.9,5.9,0.9,2,0,2,0.7,0.2,0,5,,
D1989,-98.97953,55.90644,1989,1999,Dry,W,10,78,0.63,0.55,,8.7,6.5,1.3,2.2,0,2.2,1,0.3,0,5.2,,
D1995,-99.97442,56.46049,1995,2000,Dry,W,1,253,2.2,2,1,327.3,272.5,99.3,54.8,0,54.8,90.4,8.9,0,173.2,,
D1995,-99.97442,56.46049,1995,2000,Dry,W,2,115,1.1,0.9,,49.1,35.8,13.7,13.3,0,13.3,9.9,3.8,0,22.1,,
D1995,-99.97442,56.46049,1995,2000,Dry,W,3,158,1.5,1.4,0.3,109.5,88,36.1,21.5,0,21.5,29.8,6.3,0,51.9,,
D1995,-99.97442,56.46049,1995,2000,Dry,W,4,113,1.1,1,,47,37.5,14.7,9.5,0,9.5,13,1.7,0,22.8,,
D1995,-99.97442,56.46049,1995,2000,Dry,W,5,89,0.9,0.7,,25.6,20.3,7.8,5.3,0,5.3,7,0.8,0,12.5,,
D1995,-99.97442,56.46049,1995,2000,Dry,W,6,87,1,0.9,,32.2,23.8,11.3,8.4,0,8.4,10.1,1.2,0,12.5,,
D1995,-99.97442,56.46049,1995,2000,Dry,W,7,198,1.7,1.4,0.6,171.1,129.6,57.7,41.5,0,41.5,52.3,5.4,0,71.9,,
D1995,-99.97442,56.46049,1995,2000,Dry,W,8,229,2,1.8,0.4,221.9,184.9,49.8,37,0,37,43.5,6.3,0,135.1,,
D1995,-99.97442,56.46049,1995,2000,Dry,W,9,198,2,1.9,0.8,259.9,209.1,106.6,50.8,0,50.8,98.7,7.9,0,102.5,,
D1995,-99.97442,56.46049,1995,2000,Dry,W,10,184,1.5,1.3,0.5,107.9,87.2,30.1,20.7,0,20.7,27.1,3,0,57.1,,
W1981,-98.48128,55.86351,1981,2000,Wet,W,1,116,0.9,0.8,,23.1,20.6,4.3,2.5,0,2.5,3.6,0.7,0,16.3,,
W1981,-98.48128,55.86351,1981,2000,Wet,W,2,155,1,0.9,0.4,40.9,36.7,6.8,4.2,0,4.2,6.1,0.7,0,29.9,,
W1981,-98.48128,55.86351,1981,2000,Wet,W,3,164,1.35,1.2,0.4,69.6,65.5,16.9,4.1,0,4.1,16.6,0.3,0,48.6,,
W1981,-98.48128,55.86351,1981,2000,Wet,W,4,103,0.9,0.85,,23.8,20.9,5.1,2.9,0,2.9,4.7,0.4,0,15.8,,
W1981,-98.48128,55.86351,1981,2000,Wet,W,5,158,1.55,1.4,0.4,109.5,97.3,40.9,12.2,0,12.2,39.6,1.3,0,56.4,,
W1981,-98.48128,55.86351,1981,2000,Wet,W,6,190,2.2,2,0.9,267.6,244.6,90.5,23,0,23,86.7,3.8,0,154.1,,
W1989,-98.97767,55.90487,1989,1999,Wet,W,1,159,1.25,1.2,,78.1,59.5,25.9,18.6,0,18.6,23.4,2.5,0,33.6,,
W1989,-98.97767,55.90487,1989,1999,Wet,W,2,203,2,1.8,,187.2,148.3,51,38.9,0,38.9,44.8,6.2,0,97.3,,
W1989,-98.97767,55.90487,1989,1999,Wet,W,3,201,1.45,1.2,,102,79.5,17.5,22.5,0,22.5,13.8,3.7,0,62,,
W1989,-98.97767,55.90487,1989,1999,Wet,W,4,159,1.65,1.45,,127.8,103.5,19.6,24.3,0,24.3,14.3,5.3,0,83.9,,
W1989,-98.97767,55.90487,1989,1999,Wet,W,5,119,1.1,0.95,,56.9,40.4,27.3,16.5,0,16.5,24.4,2.9,0,13.1,,
W1989,-98.97767,55.90487,1989,1999,Wet,W,6,125,1,0.85,,38.2,29.9,5.6,8.3,0,8.3,4.4,1.2,0,24.3,,
W1989,-98.97767,55.90487,1989,1999,Wet,W,7,79,0.55,0.45,,8.9,6.1,0.9,2.8,0,2.8,0.5,0.4,0,5.2,,
W1989,-98.97767,55.90487,1989,1999,Wet,W,8,107,0.9,0.75,,28.3,20.8,10.6,7.5,0,7.5,9.4,1.2,0,10.2,,
W1989,-98.97767,55.90487,1989,1999,Wet,W,9,115,0.95,0.8,,36.3,24.5,14.6,11.8,0,11.8,13.5,1.1,0,9.9,,
W1989,-98.97767,55.90487,1989,1999,Wet,W,10,103,0.8,0.7,,23.4,17.4,3.6,6,0,6,2.7,0.9,0,13.8,,
D1964,-98.38986,55.92019,1964,1999,Dry,A,,,,,8.3,,,,,,,,,,,38.21697512,
D1964,-98.38986,55.92019,1964,1999,Dry,A,,,,,7.2,,,,,,,,,,,18.82970106,
D1964,-98.38986,55.92019,1964,1999,Dry,A,,,,,5.5,,,,,,,,,,,11.26591776,
D1964,-98.38986,55.92019,1964,1999,Dry,A,,,,,4.6,,,,,,,,,,,11.15665945,
D1964,-98.38986,55.92019,1964,1999,Dry,A,,,,,2.1,,,,,,,,,,,2.068776462,
D1964,-98.38986,55.92019,1964,1999,Dry,A,,,,,2.1,,,,,,,,,,,1.511027527,
D1981,-98.4826,55.86407,1981,1999,Dry,A,,,,,5.2,,,,,,,,,,,18.00111542,
D1981,-98.4826,55.86407,1981,1999,Dry,A,,,,,4.6,,,,,,,,,,,11.30003546,
D1981,-98.4826,55.86407,1981,1999,Dry,A,,,,,3.7,,,,,,,,,,,8.719367888,
D1981,-98.4826,55.86407,1981,1999,Dry,A,,,,,3.5,,,,,,,,,,,7.354961632,
D1981,-98.4826,55.86407,1981,1999,Dry,A,,,,,2.7,,,,,,,,,,,4.566276648,
D1981,-98.4826,55.86407,1981,1999,Dry,A,,,,,2.4,,,,,,,,,,,2.821071663,
D1981,-98.4826,55.86407,1981,1999,Dry,A,,,,,2.1,,,,,,,,,,,2.832459936,
D1981,-98.4826,55.86407,1981,1999,Dry,A,,,,,1.9,,,,,,,,,,,1.11273641,
D1981,-98.4826,55.86407,1981,1999,Dry,A,,,,,1.01,,,,,,,,,,,0.44747275,
D1981,-98.4826,55.86407,1981,1999,Dry,A,,,,,1,,,,,,,,,,,0.416612885,
D1981,-98.4826,55.86407,1981,1999,Dry,A,,,,,1,,,,,,,,,,,0.460230757,
D1981,-98.4826,55.86407,1981,1999,Dry,A,,,,,1,,,,,,,,,,,0.522933805,
D1981,-98.4826,55.86407,1981,1999,Dry,A,,,,,0.9,,,,,,,,,,,0.46540496,
D1981,-98.4826,55.86407,1981,1999,Dry,A,,,,,0.7,,,,,,,,,,,0.228868166,
D1981,-98.4826,55.86407,1981,1999,Dry,A,,,,,0.55,,,,,,,,,,,0.156341358,
D1989,-98.97953,55.90644,1989,1999,Dry,A,,,0.31,,,,,,,,,,,,,0.035968087,
D1989,-98.97953,55.90644,1989,1999,Dry,A,,,0.55,,,,,,,,,,,,,0.132025404,
D1989,-98.97953,55.90644,1989,1999,Dry,A,,,0.67,,,,,,,,,,,,,0.177952337,
D1989,-98.97953,55.90644,1989,1999,Dry,A,,,0.69,,,,,,,,,,,,,0.205887373,
D1989,-98.97953,55.90644,1989,1999,Dry,A,,,0.71,,,,,,,,,,,,,0.205887373,
D1989,-98.97953,55.90644,1989,1999,Dry,A,,,0.78,,,,,,,,,,,,,0.286525757,
D1989,-98.97953,55.90644,1989,1999,Dry,A,,,0.77,,,,,,,,,,,,,0.294166109,
D1989,-98.97953,55.90644,1989,1999,Dry,A,,,0.84,,,,,,,,,,,,,0.321699021,
D1995,-99.97442,56.46049,1995,1999,Dry,A,,,0.75,,,,,,,,,,,,,0.41519594,
D1995,-99.97442,56.46049,1995,1999,Dry,A,,,0.8,,,,,,,,,,,,,0.416085011,
D1995,-99.97442,56.46049,1995,1999,Dry,A,,,0.98,,,,,,,,,,,,,0.645609722,
D1995,-99.97442,56.46049,1995,1999,Dry,A,,,1,,,,,,,,,,,,,0.681335907,
D1995,-99.97442,56.46049,1995,1999,Dry,A,,,1.21,,,,,,,,,,,,,1.090072734,
D1995,-99.97442,56.46049,1995,1999,Dry,A,,,1.29,,,,,,,,,,,,,1.195944384,
D1995,-99.97442,56.46049,1995,1999,Dry,A,,,1.52,,,,,,,,,,,,,1.630599345,
W1981,-98.48128,55.86351,1981,1999,Wet,A,,,,,2.6,,,,,,,,,,,2.976156384,
W1981,-98.48128,55.86351,1981,1999,Wet,A,,,,,1.43,,,,,,,,,,,1.218234233,
W1981,-98.48128,55.86351,1981,1999,Wet,A,,,,,1.2,,,,,,,,,,,0.608011276,
W1981,-98.48128,55.86351,1981,1999,Wet,A,,,,,0.75,,,,,,,,,,,0.258757279,
W1981,-98.48128,55.86351,1981,1999,Wet,A,,,,,0.7,,,,,,,,,,,0.215346752,
W1981,-98.48128,55.86351,1981,1999,Wet,A,,,,,0.7,,,,,,,,,,,0.218642282,
W1981,-98.48128,55.86351,1981,1999,Wet,A,,,,,0.38,,,,,,,,,,,0.040309775,
W1989,-98.97767,55.90487,1989,1999,Wet,A,,,0.83,,,,,,,,,,,,,0.329791762,
W1989,-98.97767,55.90487,1989,1999,Wet,A,,,0.96,,,,,,,,,,,,,0.331830655,
W1989,-98.97767,55.90487,1989,1999,Wet,A,,,1.09,,,,,,,,,,,,,0.425446955,
W1989,-98.97767,55.90487,1989,1999,Wet,A,,,1.16,,,,,,,,,,,,,0.546288291,
W1989,-98.97767,55.90487,1989,1999,Wet,A,,,1.26,,,,,,,,,,,,,0.702865237,
W1989,-98.97767,55.90487,1989,1999,Wet,A,,,1.29,,,,,,,,,,,,,0.788542734,
W1989,-98.97767,55.90487,1989,1999,Wet,A,,,1.48,,,,,,,,,,,,,1.045927083,
W1989,-98.97767,55.90487,1989,1999,Wet,A,,,1.63,,,,,,,,,,,,,1.53938008,
D1989,-98.97953,55.90644,1989,1999,Dry,BI,,,0.37,,,,,,,,,,,,,0.076453783,
D1989,-98.97953,55.90644,1989,1999,Dry,BI,,,0.82,,,,,,,,,,,,,0.325732825,
D1989,-98.97953,55.90644,1989,1999,Dry,BI,,,0.86,,,,,,,,,,,,,0.356787462,
D1989,-98.97953,55.90644,1989,1999,Dry,BI,,,0.88,,,,,,,,,,,,,0.451261416,
D1989,-98.97953,55.90644,1989,1999,Dry,BI,,,1.41,,,,,,,,,,,,,1.149901212,
D1989,-98.97953,55.90644,1989,1999,Dry,BI,,,1.51,,,,,,,,,,,,,1.149901212,
D1989,-98.97953,55.90644,1989,1999,Dry,BI,,,1.78,,,,,,,,,,,,,1.54157998,
D1989,-98.97953,55.90644,1989,1999,Dry,BI,,,2.55,,,,,,,,,,,,,3.93377898,
W1989,-98.97767,55.90487,1989,1999,Wet,BI,,,0.58,,,,,,,,,,,,,0.227328739,
W1989,-98.97767,55.90487,1989,1999,Wet,BI,,,1.17,,,,,,,,,,,,,0.624912914,
W1989,-98.97767,55.90487,1989,1999,Wet,BI,,,1.05,,,,,,,,,,,,,0.691027718,
W1989,-98.97767,55.90487,1989,1999,Wet,BI,,,1.39,,,,,,,,,,,,,1.053190444,
W1989,-98.97767,55.90487,1989,1999,Wet,BI,,,1.57,,,,,,,,,,,,,1.3009089,
W1989,-98.97767,55.90487,1989,1999,Wet,BI,,,1.61,,,,,,,,,,,,,1.422918123,
W1989,-98.97767,55.90487,1989,1999,Wet,BI,,,2.25,,,,,,,,,,,,,2.460573394,
W1989,-98.97767,55.90487,1989,1999,Wet,BI,,,2.41,,,,,,,,,,,,,3.3070785,
W1995,-99.97617,56.46217,1995,1999,Wet,BI,,,0.52,,,,,,,,,,,,,0.101787581,
W1995,-99.97617,56.46217,1995,1999,Wet,BI,,,0.57,,,,,,,,,,,,,0.152053053,
W1995,-99.97617,56.46217,1995,1999,Wet,BI,,,0.85,,,,,,,,,,,,,0.358908036,
W1995,-99.97617,56.46217,1995,1999,Wet,BI,,,0.95,,,,,,,,,,,,,0.451261416,
W1995,-99.97617,56.46217,1995,1999,Wet,BI,,,1.03,,,,,,,,,,,,,0.616534288,
W1995,-99.97617,56.46217,1995,1999,Wet,BI,,,1.03,,,,,,,,,,,,,0.673459935,
W1995,-99.97617,56.46217,1995,1999,Wet,BI,,,1.24,,,,,,,,,,,,,0.72986722,
W1995,-99.97617,56.46217,1995,1999,Wet,BI,,,1.44,,,,,,,,,,,,,1.174742565,
D1850,-98.48088,55.8796,1870,1999,Dry,BS,,,,,17.1,,,,,,,,,,,26.64056747,
D1850,-98.48088,55.8796,1870,1999,Dry,BS,,,,,16.1,,,,,,,,,,,15.17631468,
D1850,-98.48088,55.8796,1870,1999,Dry,BS,,,,,15.6,,,,,,,,,,,48.59258437,
D1850,-98.48088,55.8796,1870,1999,Dry,BS,,,,,15.5,,,,,,,,,,,69.03868511,
D1850,-98.48088,55.8796,1870,1999,Dry,BS,,,,,12.8,,,,,,,,,,,31.68099842,
D1850,-98.48088,55.8796,1870,1999,Dry,BS,,,,,11.4,,,,,,,,,,,31.03616767,
D1850,-98.48088,55.8796,1870,1999,Dry,BS,,,,,11.2,,,,,,,,,,,28.66381283,
D1850,-98.48088,55.8796,1870,1999,Dry,BS,,,,,10.9,,,,,,,,,,,28.7730303,
D1850,-98.48088,55.8796,1870,1999,Dry,BS,,,,,10.3,,,,,,,,,,,17.71114327,
D1850,-98.48088,55.8796,1870,1999,Dry,BS,,,,,9.6,,,,,,,,,,,16.63696677,
D1850,-98.48088,55.8796,1870,1999,Dry,BS,,,,,9.6,,,,,,,,,,,24.7390337,
D1850,-98.48088,55.8796,1870,1999,Dry,BS,,,,,9.4,,,,,,,,,,,50.8562244,
D1850,-98.48088,55.8796,1870,1999,Dry,BS,,,,,3.7,,,,,,,,,,,5.531147716,
D1850,-98.48088,55.8796,1870,1999,Dry,BS,,,,,3.7,,,,,,,,,,,6.87442362,
D1850,-98.48088,55.8796,1870,1999,Dry,BS,,,,,3,,,,,,,,,,,5.755963228,
D1850,-98.48088,55.8796,1870,1999,Dry,BS,,,,,2.6,,,,,,,,,,,2.34027604,
D1850,-98.48088,55.8796,1870,1999,Dry,BS,,,,,15.3,,,,,,,,,,,63.1559704,
D1850,-98.48088,55.8796,1870,1999,Dry,BS,,,,,9.6,,,,,,,,,,,15.23631442,
D1850,-98.48088,55.8796,1870,1999,Dry,BS,,,,,6.5,,,,,,,,,,,8.542525627,
D1850,-98.48088,55.8796,1870,1999,Dry,BS,,,,,4,,,,,,,,,,,2.781941996,
D1850,-98.48088,55.8796,1870,1999,Dry,BS,,,,,16.2,,,,,,,,,,,23.82242453,
D1850,-98.48088,55.8796,1870,1999,Dry,BS,,,,,8,,,,,,,,,,,8.268176467,
D1850,-98.48088,55.8796,1870,1999,Dry,BS,,,,,13.2,,,,,,,,,,,42.04058567,
D1850,-98.48088,55.8796,1870,1999,Dry,BS,,,,,3.1,,,,,,,,,,,3.150163892,
D1850,-98.48088,55.8796,1870,1999,Dry,BS,,,,,13.3,,,,,,,,,,,32.75319182,
D1850,-98.48088,55.8796,1870,1999,Dry,BS,,,,,10,,,,,,,,,,,35.1899845,
D1850,-98.48088,55.8796,1870,1999,Dry,BS,,,,,6.6,,,,,,,,,,,17.3488949,
D1850,-98.48088,55.8796,1870,1999,Dry,BS,,,,,4.2,,,,,,,,,,,9.346383412,
D1850,-98.48088,55.8796,1870,1999,Dry,BS,,,,,13.2,,,,,,,,,,,15.44375533,
D1850,-98.48088,55.8796,1870,1999,Dry,BS,,,,,10.5,,,,,,,,,,,19.3041533,
D1850,-98.48088,55.8796,1870,1999,Dry,BS,,,,,8.4,,,,,,,,,,,12.63819798,
D1850,-98.48088,55.8796,1870,1999,Dry,BS,,,,,4.8,,,,,,,,,,,9.984676342,
D1930,-98.51922,55.90813,1930,1999,Dry,BS,,,,,14.8,,,,,,,,,,,77.65707593,
D1930,-98.51922,55.90813,1930,1999,Dry,BS,,,,,12,,,,,,,,,,,52.42513891,
D1930,-98.51922,55.90813,1930,1999,Dry,BS,,,,,11.8,,,,,,,,,,,37.70755644,
D1930,-98.51922,55.90813,1930,1999,Dry,BS,,,,,10.9,,,,,,,,,,,34.68372011,
D1930,-98.51922,55.90813,1930,1999,Dry,BS,,,,,8.7,,,,,,,,,,,27.1783453,
D1930,-98.51922,55.90813,1930,1999,Dry,BS,,,,,8.5,,,,,,,,,,,26.27429547,
D1930,-98.51922,55.90813,1930,1999,Dry,BS,,,,,8.45,,,,,,,,,,,48.7655636,
D1930,-98.51922,55.90813,1930,1999,Dry,BS,,,,,8.4,,,,,,,,,,,20.85326372,
D1930,-98.51922,55.90813,1930,1999,Dry,BS,,,,,8.3,,,,,,,,,,,27.83751427,
D1930,-98.51922,55.90813,1930,1999,Dry,BS,,,,,8,,,,,,,,,,,22.65209255,
D1930,-98.51922,55.90813,1930,1999,Dry,BS,,,,,7.9,,,,,,,,,,,38.96038275,
D1930,-98.51922,55.90813,1930,1999,Dry,BS,,,,,7.4,,,,,,,,,,,37.46985412,
D1930,-98.51922,55.90813,1930,1999,Dry,BS,,,,,6,,,,,,,,,,,8.79638089,
D1930,-98.51922,55.90813,1930,1999,Dry,BS,,,,,3.8,,,,,,,,,,,9.292953591,
D1930,-98.51922,55.90813,1930,1999,Dry,BS,,,,,3.1,,,,,,,,,,,4.241175215,
D1930,-98.51922,55.90813,1930,1999,Dry,BS,,,,,2.4,,,,,,,,,,,3.02790784,
D1930,-98.51922,55.90813,1930,1999,Dry,BS,,,,,2.2,,,,,,,,,,,2.093384557,
D1964,-98.38986,55.92019,1964,1999,Dry,BS,,,,,7.5,,,,,,,,,,,31.64493607,
D1964,-98.38986,55.92019,1964,1999,Dry,BS,,,,,6.8,,,,,,,,,,,17.75477371,
D1964,-98.38986,55.92019,1964,1999,Dry,BS,,,,,5.7,,,,,,,,,,,19.35228929,
D1964,-98.38986,55.92019,1964,1999,Dry,BS,,,,,4.1,,,,,,,,,,,8.952571452,
D1964,-98.38986,55.92019,1964,1999,Dry,BS,,,,,4,,,,,,,,,,,9.423216589,
D1964,-98.38986,55.92019,1964,1999,Dry,BS,,,,,4,,,,,,,,,,,8.039260202,
D1964,-98.38986,55.92019,1964,1999,Dry,BS,,,,,2.9,,,,,,,,,,,4.417258342,
D1964,-98.38986,55.92019,1964,1999,Dry,BS,,,,,2.8,,,,,,,,,,,4.166201106,
D1981,-98.4826,55.86407,1981,1999,Dry,BS,,,,,2.3,,,,,,,,,,,3.288631756,
D1981,-98.4826,55.86407,1981,1999,Dry,BS,,,,,1.9,,,,,,,,,,,1.685612114,
D1981,-98.4826,55.86407,1981,1999,Dry,BS,,,,,1.9,,,,,,,,,,,2.101684645,
D1981,-98.4826,55.86407,1981,1999,Dry,BS,,,,,1.9,,,,,,,,,,,2.070871904,
D1981,-98.4826,55.86407,1981,1999,Dry,BS,,,,,1.2,,,,,,,,,,,0.891725367,
D1981,-98.4826,55.86407,1981,1999,Dry,BS,,,,,1,,,,,,,,,,,0.417266336,
D1981,-98.4826,55.86407,1981,1999,Dry,BS,,,,,0.9,,,,,,,,,,,0.251013253,
D1981,-98.4826,55.86407,1981,1999,Dry,BS,,,,,0.9,,,,,,,,,,,0.320602672,
D1981,-98.4826,55.86407,1981,1999,Dry,BS,,,,,0.8,,,,,,,,,,,0.204282062,
D1981,-98.4826,55.86407,1981,1999,Dry,BS,,,,,0.8,,,,,,,,,,,0.291753427,
D1981,-98.4826,55.86407,1981,1999,Dry,BS,,,,,0.7,,,,,,,,,,,0.151270828,
D1981,-98.4826,55.86407,1981,1999,Dry,BS,,,,,0.7,,,,,,,,,,,0.215623212,
D1981,-98.4826,55.86407,1981,1999,Dry,BS,,,,,0.6,,,,,,,,,,,0.081175613,
D1981,-98.4826,55.86407,1981,1999,Dry,BS,,,,,0.55,,,,,,,,,,,0.021271724,
D1981,-98.4826,55.86407,1981,1999,Dry,BS,,,,,0.5,,,,,,,,,,,0.053912872,
D1981,-98.4826,55.86407,1981,1999,Dry,BS,,,,,0.5,,,,,,,,,,,0.070685835,
D1989,-98.97953,55.90644,1989,1999,Dry,BS,,,0.25,,,,,,,,,,,,,0.01495712,
D1989,-98.97953,55.90644,1989,1999,Dry,BS,,,0.31,,,,,,,,,,,,,0.033979459,
D1989,-98.97953,55.90644,1989,1999,Dry,BS,,,0.52,,,,,,,,,,,,,0.099538201,
D1989,-98.97953,55.90644,1989,1999,Dry,BS,,,0.57,,,,,,,,,,,,,0.132025404,
D1989,-98.97953,55.90644,1989,1999,Dry,BS,,,0.51,,,,,,,,,,,,,0.138544207,
D1989,-98.97953,55.90644,1989,1999,Dry,BS,,,0.58,,,,,,,,,,,,,0.166190217,
D1989,-98.97953,55.90644,1989,1999,Dry,BS,,,0.72,,,,,,,,,,,,,0.227328739,
D1989,-98.97953,55.90644,1989,1999,Dry,BS,,,0.86,,,,,,,,,,,,,0.376098828,
W1850,-98.47954,55.88155,1870,1999,Wet,BS,,,,,7,,,,,,,,,,,9.022756643,
W1850,-98.47954,55.88155,1870,1999,Wet,BS,,,,,5.2,,,,,,,,,,,5.265193645,
W1850,-98.47954,55.88155,1870,1999,Wet,BS,,,,,3.1,,,,,,,,,,,1.507755746,
W1850,-98.47954,55.88155,1870,1999,Wet,BS,,,,,2,,,,,,,,,,,0.841976865,
W1850,-98.47954,55.88155,1870,1999,Wet,BS,,,,,9,,,,,,,,,,,6.637382003,
W1850,-98.47954,55.88155,1870,1999,Wet,BS,,,,,6.2,,,,,,,,,,,6.013584853,
W1850,-98.47954,55.88155,1870,1999,Wet,BS,,,,,6.3,,,,,,,,,,,4.914365711,
W1850,-98.47954,55.88155,1870,1999,Wet,BS,,,,,3.8,,,,,,,,,,,3.742922107,
W1850,-98.47954,55.88155,1870,1999,Wet,BS,,,,,8.8,,,,,,,,,,,6.655451345,
W1850,-98.47954,55.88155,1870,1999,Wet,BS,,,,,6.6,,,,,,,,,,,8.526672019,
W1850,-98.47954,55.88155,1870,1999,Wet,BS,,,,,5.6,,,,,,,,,,,2.162079219,
W1850,-98.47954,55.88155,1870,1999,Wet,BS,,,,,3.6,,,,,,,,,,,6.417846032,
W1850,-98.47954,55.88155,1870,1999,Wet,BS,,,,,8.6,,,,,,,,,,,13.00742983,
W1850,-98.47954,55.88155,1870,1999,Wet,BS,,,,,7.3,,,,,,,,,,,7.414036737,
W1850,-98.47954,55.88155,1870,1999,Wet,BS,,,,,6,,,,,,,,,,,5.803451543,
W1850,-98.47954,55.88155,1870,1999,Wet,BS,,,,,3.4,,,,,,,,,,,5.043122001,
