Site,longitude,latitude,BurnYear,HarvestYear,Edaphic,Species,Number,Height,D0,D10,DBH,DWT,TotWood,TotBranch,TotFol,OldFol,NewFol,OldBranch,NewBranch,Cones,Stem,Sapwood,Root
D1989,-98.97953,55.90644,1989,1999,Dry,BS,2,68,0.9,0.81,,34.6,14.78,5.65,19.82,13.77,6.05,4.42,1.23,0,9.13,,
D1989,-98.97953,55.90644,1989,1999,Dry,BS,3,44,0.53,0.49,,9.6,3.89,1.3,5.71,3.73,1.98,0.9,0.4,0,2.59,,
D1989,-98.97953,55.90644,1989,1999,Dry,BS,4,68,0.77,0.69,,24.9,9.63,3.37,15.27,9.99,5.28,2.17,1.2,0,6.26,,
D1989,-98.97953,55.90644,1989,1999,Dry,BS,5,44,0.47,0.41,,7.13,2.95,0.96,4.18,2.59,1.59,0.6,0.36,0,1.99,,
D1989,-98.97953,55.90644,1989,1999,Dry,BS,6,36,0.48,0.41,,6.25,2.46,0.82,3.79,2.69,1.1,0.61,0.21,0,1.64,,
D1989,-98.97953,55.90644,1989,1999,Dry,BS,7,49,0.58,0.48,,13.96,5.19,2.05,8.77,5.7,3.07,1.45,0.6,0,3.14,,
D1989,-98.97953,55.90644,1989,1999,Dry,BS,8,24,0.28,0.21,,1.29,0.44,0.12,0.85,0.52,0.33,0.04,0.08,0,0.32,,
D1989,-98.97953,55.90644,1989,1999,Dry,BS,9,33,0.37,0.34,,3.23,1.12,0.36,2.11,1.62,0.49,0.26,0.1,0,0.76,,
D1989,-98.97953,55.90644,1989,1999,Dry,BS,10,44,0.57,0.51,,13.93,5.3,2.15,8.63,6.38,2.25,1.72,0.43,0,3.15,,
D1995,-99.97442,56.46049,1995,1999,Dry,BS,1,16.2,0.23,0.14,,1.019,0.354,0.162,0.665,0.288,0.377,0.055,0.107,0,0.192,,
D1995,-99.97442,56.46049,1995,1999,Dry,BS,2,18.6,0.27,0.21,,1.61,0.567,0.32,1.043,0.317,0.726,0.062,0.258,0,0.247,,
D1995,-99.97442,56.46049,1995,1999,Dry,BS,3,15.5,0.17,0.17,,0.694,0.402,0.286,0.292,0.212,0.08,0.026,0.26,0,0.116,,
D1995,-99.97442,56.46049,1995,1999,Dry,BS,4,12.8,0.11,0.09,,0.359,0.113,0.067,0.246,0.068,0.178,0.003,0.064,0,0.046,,
D1995,-99.97442,56.46049,1995,1999,Dry,BS,5,16.7,0.17,0.15,,0.673,0.238,0.1,0.435,0.178,0.257,0.014,0.086,0,0.138,,
D1995,-99.97442,56.46049,1995,1999,Dry,BS,6,17.8,0.18,0.15,,0.811,0.253,0.173,0.558,0.125,0.433,0.017,0.156,0,0.08,,
D1995,-99.97442,56.46049,1995,1999,Dry,BS,7,13.3,0.17,0.1,,0.85,0.312,0.146,0.538,0.21,0.328,0.041,0.105,0,0.166,,
D1995,-99.97442,56.46049,1995,1999,Dry,BS,8,10.9,0.17,0.15,,0.354,0.092,0.031,0.262,0.119,0.143,0,0.031,0,0.061,,
D1995,-99.97442,56.46049,1995,1999,Dry,BS,9,16.5,0.15,0.08,,0.424,0.169,0.076,0.255,0.095,0.16,0.008,0.068,0,0.093,,
D1995,-99.97442,56.46049,1995,1999,Dry,BS,11,3.9,0.02,,,0.022,0.002,0.001,0.02,0.01,0.01,0,0.001,0,0.001,,
D1995,-99.97442,56.46049,1995,1999,Dry,BS,12,19.1,0.15,,,1.13,0.38,0.16,0.75,0.61,0.14,0.11,0.05,0,0.22,,
D1995,-99.97442,56.46049,1995,1999,Dry,BS,13,8.3,0.06,,,0.12,0.03,0.01,0.09,0.05,0.04,0,0.01,0,0.02,,
D1995,-99.97442,56.46049,1995,1999,Dry,BS,14,13.9,0.21,,,1.5,0.53,0.35,0.97,0.49,0.48,0.16,0.19,0,0.18,,
D1995,-99.97442,56.46049,1995,1999,Dry,BS,15,11.6,0.09,,,0.34,0.11,0.05,0.23,0.1,0.13,0.01,0.04,0,0.06,,
D1995,-99.97442,56.46049,1995,1999,Dry,BS,16,21.8,0.21,,,1.58,0.58,0.23,1,0.42,0.58,0.07,0.16,0,0.35,,
U6W5S,-98.48,55.88,1962,1994,Wet,BS,1,88,,,0.5,118.89,49.45,20.3,69.44,56.59,12.84,18.39,1.91,0,29.15,,
U6W5S,-98.48,55.88,1962,1994,Wet,BS,2,112,,,0.6,253.34,142.1,53.55,111.24,96.64,14.6,50.97,2.58,0,88.55,,
U6W5S,-98.48,55.88,1962,1994,Wet,BS,3,125,,,0.9,380.82,171.01,60.46,209.8,190.62,19.18,57.51,2.95,0,110.55,,
