"dataset","location","latitude","longitude","vegetation","species","family","pft","age","a.lf","a.stbc","h.t","h.c","d.bh","m.lf","m.st","m.so","m.br","m.rt","m.to","growingCondition"
"Nakagaki1983","Japan-Inabu Nagoya University Forest-",35.2,137.57,"TempF","Chamaecyparis obtusa","Cupressaceae","EG",24,22.6,0.007838282,12.1,4.73,0.133,5.82,32.8,42.04,3.42,11,53.04,"PM"
"Nakagaki1983","Japan-Inabu Nagoya University Forest-",35.2,137.57,"TempF","Chamaecyparis obtusa","Cupressaceae","EG",24,12.8,0.006418399,10.4,3.8,0.106,3.26,19.4,24.91,2.25,7.32,32.23,"PM"
"Nakagaki1983","Japan-Inabu Nagoya University Forest-",35.2,137.57,"TempF","Chamaecyparis obtusa","Cupressaceae","EG",24,6.1,0.001698227,9.21,5.32,0.0681,1.47,7.92,9.97,0.58,2.29,12.26,"PM"
"Nakagaki1983","Japan-Inabu Nagoya University Forest-",35.2,137.57,"TempF","Chamaecyparis obtusa","Cupressaceae","EG",24,2.47,0.000962113,6.96,4.09,0.0583,0.404,4.46,5.074,0.21,1.35,6.424,"PM"
"Nakagaki1983","Japan-Inabu Nagoya University Forest-",35.2,137.57,"TempF","Chamaecyparis obtusa","Cupressaceae","EG",24,1.3,0.001017876,5.18,1.76,0.0388,0.184,1.65,2.085,0.251,0.63,2.715,"PM"
"Nakagaki1983","Japan-Inabu Nagoya University Forest-",35.2,137.57,"TempF","Chamaecyparis obtusa","Cupressaceae","EG",24,0.89,0.000642424,4.17,2.26,0.035,0.139,1.6,1.917,0.178,0.957,2.874,"PM"
