Tree ,species,family,light conditions,NUTRITION,growing year,trunk height cm,trunk dry mass g,Coarse root length cm,coarse root dry mass g,fine root length cm,fine root dry mass g,trunk diameter at soil level cm,leaves fresh mass g, total leaves dry mass g,total leaves area cm 2,above ground dry mass g ,below ground dry mass g ,total dry mass g,Leaf mass per area :LMA*100 g cm-2,Shoot/ root: S/R g g-1,Leaf area ratio: LAR cm2 g-1,Leaf weigh ratio: LWR g g-1,Shoot weigh ratio: SWR g g -1,Root weigh ratio: RWR g g-1,fine root/ coarse root g g-1,average minimum weight at the beginning of the experiment,Relative growth rate RGR la (l›ppkaal)-ln(algkaal)/63,log total dry mass,ln total dry mass,P (mg/g) in leaves ,C (%) in leaves,N (%) in leaves,C/N in leaves,P % in leaves,all data together P % in leaves ,NAR=RGR/LAR,leaves % of total dry mass,stem% of total dry mass,fine roots % of total dry mass,coarse roots % of total dry mass,nothing
64.3,Betula pubescens,Betulaceae,3,A,2000,6.1,0.0632,2,0.0375,15,0.0819,0.19,,0.1147,39.1366,0.1779,0.1194,0.2973,0.2931,1.4899,131.6401,0.3858,0.5984,0.4016,2.184,0.0371,0.033,-0.526805091,-1.213013549,,45.552,2.621,17.37760649,0.29,0.29,0.00025094,38.58055836,21.25798856,27.54793138,12.6135217,100
62.1,Betula pubescens,Betulaceae,3,B,1999,2.7,0.0191,2.9,0.0321,8.5,0.0273,0.2,0.142,0.0637,19.9,0.0828,0.0594,0.1422,0.3201,1.3941,139.9368,0.448,0.5823,0.4177,0.8505,0.0133,0.0376,-0.847078874,-1.950471187,4.17,43.1,3.13,13.79,,0.417,0.000268774,44.79879855,13.43112035,19.19736051,22.57272059,100
60.1,Betula pubescens,Betulaceae,3,B,1999,4.4,0.0248,4.7,0.0185,6.5,0.0096,0.11,0.042,0.0386,10.94,0.0634,0.0281,0.0915,0.353,2.2567,119.5459,0.4219,0.6929,0.3071,0.5189,0.0133,0.0306,-1.038517287,-2.391274424,,46.66,,11.68,,,0.00025609,42.19399459,27.09997985,10.49031478,20.21571078,100
60.2,Betula pubescens,Betulaceae,3,B,1999,3,0.0162,1.6,0,9.5,0.0133,0.12,0.048,0.0442,13.83,0.0604,0.0133,0.0737,0.3197,4.5429,187.6018,0.5998,0.8196,0.1804,,0.0133,0.0272,-1.132414916,-2.607481706,,46.66,,11.68,,,0.000144896,59.98369981,21.97505299,18.04124721,,100
60.3,Betula pubescens,Betulaceae,3,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33.1,Betula pubescens,Betulaceae,3,B,2000,10.4,0.0871,4.5,0.0608,11,0.076,0.166,,0.1694,56.6695,0.2565,0.1368,0.3933,0.2989,1.875,144.0873,0.4307,0.6522,0.3478,1.25,0.0371,0.0375,-0.405276457,-0.933183529,,,3.068,,0.266,0.266,0.000260089,43.07139383,22.14596515,19.32368945,15.45895156,100
33.2,Betula pubescens,Betulaceae,3,B,2000,7,0.0375,1.5,0.0109,5.5,0.032,0.116,,0.0967,30.8935,0.1342,0.0429,0.1771,0.313,3.1284,174.4328,0.546,0.7578,0.2422,2.9358,0.0371,0.0248,-0.751761335,-1.730994443,,,3.068,,0.266,0.266,0.000142243,54.60402129,21.17349753,18.06805123,6.15442995,100
34.2,Betula pubescens,Betulaceae,3,B,2000,8.1,0.0799,2.5,0.0407,19,0.0855,0.173,,0.1765,60.3216,0.2564,0.1262,0.3826,0.2925,2.0313,157.6828,0.4612,0.6701,0.3299,2.1007,0.0371,0.037,-0.417311424,-0.960895064,,,3.018,,0.313,0.313,0.000234874,46.12473543,20.8861409,22.35000059,10.63912309,100
34.3,Betula pubescens,Betulaceae,3,B,2000,7,0.0368,2,0.014,9,0.0346,0.113,,0.0853,31.3988,0.1221,0.0486,0.1707,0.2716,2.5121,183.9525,0.4997,0.7153,0.2847,2.4714,0.0371,0.0242,-0.767792744,-1.767908126,,,3.018,,0.313,0.313,0.000131696,49.96768315,21.55959321,20.27070448,8.202019156,100
57.1,Betula pubescens,Betulaceae,3,C,1999,5,0.0392,3.3,0.0322,13.5,0.0484,0.14,0.121,0.0669,27.46,0.1061,0.0806,0.1867,0.2438,1.3169,147.0472,0.3585,0.5684,0.4316,1.5031,0.0133,0.0419,-0.728756372,-1.67802356,3.98,45.68,3.12,14.62,,0.398,0.000285187,35.84755832,20.99145003,25.91801483,17.24297681,100
