Tree ,species,family,light conditions,NUTRITION,growing year,trunk height cm,trunk dry mass g,Coarse root length cm,coarse root dry mass g,fine root length cm,fine root dry mass g,trunk diameter at soil level cm,leaves fresh mass g, total leaves dry mass g,total leaves area cm 2,above ground dry mass g ,below ground dry mass g ,total dry mass g,Leaf mass per area :LMA*100 g cm-2,Shoot/ root: S/R g g-1,Leaf area ratio: LAR cm2 g-1,Leaf weigh ratio: LWR g g-1,Shoot weigh ratio: SWR g g -1,Root weigh ratio: RWR g g-1,fine root/ coarse root g g-1,average minimum weight at the beginning of the experiment,Relative growth rate RGR la (l›ppkaal)-ln(algkaal)/63,log total dry mass,ln total dry mass,P (mg/g) in leaves ,C (%) in leaves,N (%) in leaves,C/N in leaves,P % in leaves,all data together P % in leaves ,NAR=RGR/LAR,leaves % of total dry mass,stem% of total dry mass,fine roots % of total dry mass,coarse roots % of total dry mass,nothing
83.2,Betula pubescens,Betulaceae,4,B,1999,1.8,0.0042,2.4,0,4,0.0186,0.06,0.009,0.0061,3.1,0.0103,0.0186,0.0289,0.1968,0.5538,107.2664,0.2111,0.3564,0.6436,,0.0133,0.0123,-1.539102157,-3.543913684,3.63,44.17,2.41,18.32,,0.363,0.000114842,21.10726644,14.53287197,64.35986159,,100
83.3,Betula pubescens,Betulaceae,4,B,1999,2,0.009,3,0,5,0.0194,0.13,0.013,0.0071,3.26,0.0161,0.0194,0.0355,0.2169,0.8284,91.9082,0.1993,0.4531,0.5469,,0.0133,0.0156,-1.450136585,-3.339062884,3.63,44.17,2.41,18.32,,0.363,0.000169411,19.93274761,25.37342505,54.69382734,,100
68.1,Betula pubescens,Betulaceae,4,B,2000,3,0.0072,2,0,4,0.0167,0.07,,0.0157,3.5334,0.0229,0.0167,0.0396,0.4443,1.3713,89.2273,0.3965,0.5783,0.4217,,0.0371,0.001,-1.402304814,-3.228926161,,,2.572,,,,1.16E-05,39.64646465,18.18181818,42.17171717,,100
68.2,Betula pubescens,Betulaceae,4,B,2000,3,0.0092,1.5,0,6,0.0176,0.065,,0.0214,7.0105,0.0306,0.0176,0.0482,0.3053,1.7386,145.4461,0.444,0.6349,0.3651,,0.0371,0.0042,-1.316952962,-3.032396258,,,2.572,,,,2.86E-05,44.39834025,19.08713693,36.51452282,,100
70.1,Betula pubescens,Betulaceae,4,B,2000,7.1,0.0439,1.2,0.0129,4,0.0156,0.127,,0.0517,12.9334,0.0956,0.0285,0.1241,0.3995,3.3535,104.2397,0.4165,0.7703,0.2297,1.2093,0.0371,0.0192,-0.906320501,-2.086880075,,,2.719,,0.588,0.588,0.000183834,41.64755379,35.38221531,12.57317902,10.39705188,100
70.2,Betula pubescens,Betulaceae,4,B,2000,3.2,0.0079,1.5,0,4,0.0116,0.07,,0.0234,7.3229,0.0313,0.0116,0.0429,0.3195,2.6983,170.697,0.5455,0.7296,0.2704,,0.0371,0.0023,-1.367542708,-3.148883453,,,2.719,,0.588,0.588,1.35E-05,54.54545455,18.41491841,27.03962704,,100
70.3,Betula pubescens,Betulaceae,4,B,2000,3.5,0.0115,1,0,5,0.0125,0.058,,0.023,8.9911,0.0345,0.0125,0.047,0.2554,2.7572,191.4428,0.489,0.7338,0.2662,,0.0371,0.0037,-1.328226277,-3.058354026,,,2.719,,0.588,0.588,1.95E-05,48.89804455,24.48635365,26.6156018,,100
78.1,Betula pubescens,Betulaceae,4,C,1999,3.2,0.018,1.5,0.0142,7.5,0.031,0.14,0.22,0.0758,38.66,0.0938,0.0452,0.139,0.1962,2.0762,,0.5455,0.6749,0.3251,2.1831,0.0133,0.0373,-0.856842224,-1.972952133,3.76,44.38,2.94,15.09,,0.376,#DIV/0!,54.54734016,12.9453778,22.29481733,10.21246471,100
78.2,Betula pubescens,Betulaceae,4,C,1999,2.3,0.0157,3.5,0.0248,6.5,0.0252,0.08,0.083,0.0344,11.92,0.0501,0.05,0.1001,0.2884,1.0016,119.1036,0.3435,0.5004,0.4996,1.0161,0.0133,0.032,-0.999648802,-2.30177643,3.76,44.38,2.94,15.09,,0.376,0.000268969,34.35310766,15.68730913,25.17962994,24.77995327,100
84.1,Betula pubescens,Betulaceae,4,C,1999,5.2,0.0223,0.7,0,10,0.0213,0.09,0.043,0.0207,10.65,0.043,0.0213,0.0643,0.1944,2.0191,165.6149,0.322,0.6688,0.3312,,0.0133,0.025,-1.191749872,-2.744105491,3.86,43.2,3.13,13.81,,0.386,0.000151037,32.19895905,34.67805535,33.1229856,,100
84.2,Betula pubescens,Betulaceae,4,C,1999,7.5,0.0263,1.3,0.0091,6,0.0234,0.14,0.138,0.0354,16.06,0.0617,0.0325,0.0942,0.2203,1.8978,170.5268,0.3757,0.6549,0.3451,2.5714,0.0133,0.0311,-1.026047,-2.362560527,3.86,43.2,3.13,13.81,,0.386,0.000182202,37.56554484,27.92561515,24.84636481,9.662475203,100
84.3,Betula pubescens,Betulaceae,4,C,1999,3.4,0.0094,3,0,6.5,0.0151,0.08,0.04,0.0222,10.66,0.0316,0.0151,0.0467,0.2083,2.0932,228.2261,0.4755,0.6767,0.3233,,0.0133,0.0199,-1.330608161,-3.063838515,3.86,43.2,3.13,13.81,,0.386,8.74E-05,47.54652743,20.1250058,32.32846677,,100
85.1,Betula pubescens,Betulaceae,4,C,2000,3.7,0.0122,1.1,0,5,0.0163,0.084,,0.0282,9.3546,0.0404,0.0163,0.0567,0.3015,2.4785,164.9841,0.4974,0.7125,0.2875,,0.0371,0.0067,-1.246416941,-2.869981068,,,2.413,,0.656,0.656,4.08E-05,49.73544974,21.51675485,28.74779541,,100
85.2,Betula pubescens,Betulaceae,4,C,2000,4.5,0.0215,3,0,7,0.039,0.085,,0.0556,13.5637,0.0771,0.039,0.1161,0.4096,1.9757,116.8774,0.4787,0.6639,0.3361,,0.0371,0.0181,-0.935352234,-2.153728112,,,2.413,,0.656,0.656,0.000154878,47.86761317,18.5263854,33.60600143,,100
86.1,Betula pubescens,Betulaceae,4,C,2000,4.3,0.0141,1,0,6,0.0137,0.081,,0.0305,10.0023,0.0446,0.0137,0.0583,0.3049,3.2555,171.566,0.5232,0.765,0.235,,0.0371,0.0072,-1.234331445,-2.842153186,,,2.367,,0.467,0.467,4.18E-05,52.31560892,24.18524871,23.49914237,,100
86.2,Betula pubescens,Betulaceae,4,C,2000,3.4,0.0141,2.5,0,8,0.0269,0.064,,0.0277,6.09,0.0418,0.0269,0.0687,0.4548,1.5539,88.6475,0.4032,0.6084,0.3916,,0.0371,0.0098,-1.163049647,-2.678020779,,,2.367,,0.467,0.467,0.000110321,40.31935564,20.52431916,39.1563252,,100
89.1,Betula pubescens,Betulaceae,4,D,1999,11.4,0.0872,2.3,0.0218,4.5,0.0433,0.18,0.295,0.0914,38.8,0.1786,0.0651,0.2437,0.2356,2.7437,159.204,0.3751,0.7329,0.2671,1.9862,0.0133,0.0462,-0.613122313,-1.411766298,4.57,43.6,3.49,12.48,,0.457,0.000289957,37.50831768,35.77987327,17.76684074,8.944968316,100
90.1,Betula pubescens,Betulaceae,4,D,1999,2.7,0.0119,5.2,0,5,0.0251,0.09,0.028,0.0166,9.07,0.0285,0.0251,0.0536,0.1832,1.136,169.176,0.3099,0.5318,0.4682,,0.0133,0.0221,-1.270731545,-2.925967513,2.49,43.6,2.8,15.59,,0.249,0.000130795,30.9866246,22.19619371,46.81718169,,100
90.2,Betula pubescens,Betulaceae,4,D,1999,4.5,0.0074,3.7,0,5,0.0164,0.05,0.024,0.0104,5.31,0.0178,0.0164,0.0342,0.1954,1.0839,155.3725,0.3036,0.5201,0.4799,,0.0133,0.015,-1.466279576,-3.376233493,2.49,43.6,2.8,15.59,,0.249,9.64E-05,30.36035752,21.65266195,47.98698054,,100
90.3,Betula pubescens,Betulaceae,4,D,1999,4.5,0.0253,5.4,0.0341,8,0.0468,0.13,0.099,0.0368,15.93,0.0621,0.0809,0.143,0.2311,0.7678,111.3878,0.2574,0.4343,0.5657,1.3724,0.0133,0.0377,-0.844621895,-1.944813784,2.49,43.6,2.8,15.59,,0.249,0.000338468,25.74145913,17.69059401,32.72410276,23.8438441,100
79.1,Betula pubescens,Betulaceae,4,D,2000,4,0.0099,2.1,0,6,0.0116,0.074,,0.0119,3.8754,0.0218,0.0116,0.0334,0.3058,1.8753,116.1938,0.3554,0.6522,0.3478,,0.0371,,-1.476866368,-3.400610483,,,2.246,,0.537,0.537,,35.53784384,29.68257423,34.77958193,,100
79.2,Betula pubescens,Betulaceae,4,D,2000,3,0.0139,2,0,7,0.0167,0.06,,0.0324,6.8247,0.0463,0.0167,0.063,0.4747,2.7725,108.3286,0.5143,0.7349,0.2651,,0.0371,0.0084,-1.200659451,-2.764620553,,,2.246,,0.537,0.537,7.76E-05,51.42857143,22.06349206,26.50793651,,100
79.3,Betula pubescens,Betulaceae,4,D,2000,2.2,0.0038,1.2,0,2,0.0045,0.048,,0.0215,5.6901,0.0253,0.0045,0.0298,0.3778,5.6222,190.943,0.7215,0.849,0.151,,0.0371,,-1.525783736,-3.513246885,,,2.246,,0.537,0.537,,72.14765101,12.75167785,15.10067114,,100
80.1,Betula pubescens,Betulaceae,4,D,2000,2.6,0.009,0.5,0,5,0.0076,0.088,,0.0102,3.126,0.0192,0.0076,0.0268,0.3263,2.5263,116.6418,0.3806,0.7164,0.2836,,0.0371,,-1.571865206,-3.619353391,,,2.599,,0.516,0.516,,38.05970149,33.58208955,28.35820896,,100
80.2,Betula pubescens,Betulaceae,4,D,2000,2.7,0.0131,2.1,0,7,0.0247,0.087,,0.0401,10.8711,0.0532,0.0247,0.0779,0.3692,2.1555,139.4793,0.515,0.6831,0.3169,,0.0371,0.0118,-1.108236411,-2.55180864,,,2.599,,0.516,0.516,8.45E-05,51.50151065,16.80767753,31.69081182,,100
