Topic,Description
Sampling strategy,"Two species  Betula pendula and B. pubescens seedlings were grown in 4 different light (Light: 1- 100%, 2 - 34%, 3- 10%, 4- 5% of full sunlight) and nutrient (Nutrition: - A-control, B-low, C-medium, D-high (concentrations in the article)) availabilities."
Leaf area,"total leaves areal: all leaves were scanned and measured with software."
Stem cross sectional area,"diametr at soil level: measured with caliper."
Height,"Seedling height: height of seedling trunk from soli level to the top."
Biomass,"ALL DRY MASS at least 48 H at 75degC."
Growth environment,"Shade house."
